source,item_id,title,family,eval_count,delta_hit10,orig_sid,orig_l1,orig_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_same_family_count,orig_l2_same_family_count,orig_l1_family_purity,orig_l2_family_purity,v2_sid,v2_l1,v2_l2,v2_l1_bucket_size,v2_l2_bucket_size,v2_l1_same_family_count,v2_l2_same_family_count,v2_l1_family_purity,v2_l2_family_purity,r650_sid,r650_l1,r650_l2,r650_l1_bucket_size,r650_l2_bucket_size,r650_l1_same_family_count,r650_l2_same_family_count,r650_l1_family_purity,r650_l2_family_purity,r660_sid,r660_l1,r660_l2,r660_l1_bucket_size,r660_l2_bucket_size,r660_l1_same_family_count,r660_l2_same_family_count,r660_l1_family_purity,r660_l2_family_purity
r650_hotspot,724,"Duck Brand EZ Start Packing Tape With Dispenser, 1.88 Inch x 22.2 Yard, Clear, 1 Roll (393185)",tape,4,-0.25,<a_202><b_55><c_251>,<a_202>,<a_202><b_55>,117,2,115,2,0.9829059829059829,1.0,<a_234><b_249><c_250>,<a_234>,<a_234><b_249>,15,1,15,1,1.0,1.0,<a_232><b_214><c_98>,<a_232>,<a_232><b_214>,22,1,22,1,1.0,1.0,<a_201><b_141><c_146>,<a_201>,<a_201><b_141>,19,1,18,1,0.9473684210526315,1.0
r650_hotspot,93,"White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25' Length",other,4,-0.25,<a_228><b_158><c_82>,<a_228>,<a_228><b_158>,96,2,55,2,0.5729166666666666,1.0,<a_179><b_169><c_135>,<a_179>,<a_179><b_169>,30,1,26,1,0.8666666666666667,1.0,<a_38><b_50><c_23>,<a_38>,<a_38><b_50>,28,2,21,2,0.75,1.0,<a_35><b_143><c_18>,<a_35>,<a_35><b_143>,31,2,23,2,0.7419354838709677,1.0
r650_hotspot,2924,"Hilitchi 635 Pcs 40 Pin 2.54mm Pitch Single Row Pin Headers,Dupont Connector Housing Female,Dupont Male/Female Pin Connector Kit",connector_fitting,4,-0.25,<a_73><b_244><c_79>,<a_73>,<a_73><b_244>,114,1,20,1,0.17543859649122806,1.0,<a_191><b_210><c_11>,<a_191>,<a_191><b_210>,24,3,8,2,0.3333333333333333,0.6666666666666666,<a_233><b_51><c_56>,<a_233>,<a_233><b_51>,16,1,8,1,0.5,1.0,<a_74><b_64><c_141>,<a_74>,<a_74><b_64>,32,2,6,2,0.1875,1.0
r650_hotspot,257,"Gorilla 5000408  Original Gorilla Glue, Waterproof Polyurethane Glue, 4 ounce Bottle, Brown",adhesive_epoxy,4,-0.25,<a_165><b_107><c_20>,<a_165>,<a_165><b_107>,72,5,59,5,0.8194444444444444,1.0,<a_107><b_87><c_110>,<a_107>,<a_107><b_87>,21,1,15,1,0.7142857142857143,1.0,<a_89><b_230><c_1>,<a_89>,<a_89><b_230>,39,4,13,4,0.3333333333333333,1.0,<a_13><b_72><c_222>,<a_13>,<a_13><b_72>,16,5,15,5,0.9375,1.0
r650_hotspot,2070,"CLR Pro CL-4Pro Calcium, Lime and Rust Remover, 1 Gallon Bottle",other,4,-0.25,<a_66><b_16><c_196>,<a_66>,<a_66><b_16>,40,1,39,1,0.975,1.0,<a_153><b_252><c_238>,<a_153>,<a_153><b_252>,13,1,13,1,1.0,1.0,<a_62><b_216><c_131>,<a_62>,<a_62><b_216>,14,1,13,1,0.9285714285714286,1.0,<a_9><b_24><c_224>,<a_9>,<a_9><b_24>,8,1,8,1,1.0,1.0
r650_hotspot,42,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",connector_fitting,4,-0.25,<a_71><b_242><c_21>,<a_71>,<a_71><b_242>,118,2,11,2,0.09322033898305085,1.0,<a_248><b_109><c_145>,<a_248>,<a_248><b_109>,21,1,13,1,0.6190476190476191,1.0,<a_230><b_221><c_252>,<a_230>,<a_230><b_221>,24,2,14,2,0.5833333333333334,1.0,<a_228><b_12><c_200>,<a_228>,<a_228><b_12>,21,1,8,1,0.38095238095238093,1.0
r650_hotspot,377,"Gorilla Tape, Black Tough & Wide Duct Tape, 2.88"" x 30 yd, Black, (Pack of 1)",tape,4,-0.25,<a_202><b_52><c_132>,<a_202>,<a_202><b_52>,117,8,115,8,0.9829059829059829,1.0,<a_171><b_140><c_211>,<a_171>,<a_171><b_140>,27,5,22,5,0.8148148148148148,1.0,<a_89><b_247><c_3>,<a_89>,<a_89><b_247>,39,4,24,4,0.6153846153846154,1.0,<a_175><b_145><c_129>,<a_175>,<a_175><b_145>,34,5,33,5,0.9705882352941176,1.0
r650_hotspot,699,"POWERTEC 15501 1/2"" Arbor 60-Grit Silicon Carbide Grinding Wheel, 6"" by 3/4",other,4,-0.25,<a_193><b_177><c_173>,<a_193>,<a_193><b_177>,133,3,118,3,0.8872180451127819,1.0,<a_136><b_246><c_246>,<a_136>,<a_136><b_246>,25,2,22,2,0.88,1.0,<a_159><b_121><c_162>,<a_159>,<a_159><b_121>,14,1,13,1,0.9285714285714286,1.0,<a_112><b_14><c_176>,<a_112>,<a_112><b_14>,24,2,21,2,0.875,1.0
r650_hotspot,1545,Top-cofrLD 1/4w Resistors Pack 164 values x 10pcs = 1640pcs 0-22M Metal Film Full range resistors Assortment Kits,other,4,-0.25,<a_73><b_183><c_142>,<a_73>,<a_73><b_183>,114,3,81,3,0.7105263157894737,1.0,<a_76><b_109><c_71>,<a_76>,<a_76><b_109>,36,3,26,3,0.7222222222222222,1.0,<a_148><b_156><c_13>,<a_148>,<a_148><b_156>,29,1,22,1,0.7586206896551724,1.0,<a_48><b_29><c_245>,<a_48>,<a_48><b_29>,25,1,25,1,1.0,1.0
r650_hotspot,128,"MegaDeal AC201710300001 12 Pack 2"" Swivel Caster Wheels Rubber Base with Top Plate & Bearing Heavy Duty",other,4,-0.25,<a_87><b_74><c_149>,<a_87>,<a_87><b_74>,71,3,66,2,0.9295774647887324,0.6666666666666666,<a_59><b_133><c_142>,<a_59>,<a_59><b_133>,22,1,21,1,0.9545454545454546,1.0,<a_235><b_58><c_104>,<a_235>,<a_235><b_58>,8,2,6,1,0.75,0.5,<a_31><b_72><c_158>,<a_31>,<a_31><b_72>,15,1,11,1,0.7333333333333333,1.0
r650_hotspot,2835,Ginsco 108pcs Insulated Heat Shrink Waterproof Butt Connectors Wire electrical 14-16 AWG Kit Blue,connector_fitting,4,-0.25,<a_67><b_126><c_54>,<a_67>,<a_67><b_126>,119,2,94,2,0.7899159663865546,1.0,<a_83><b_196><c_249>,<a_83>,<a_83><b_196>,56,4,7,4,0.125,1.0,<a_84><b_77><c_14>,<a_84>,<a_84><b_77>,23,3,9,3,0.391304347826087,1.0,<a_118><b_51><c_147>,<a_118>,<a_118><b_51>,34,1,10,1,0.29411764705882354,1.0
r650_hotspot,1107,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",3d_filament,9,-0.2222222222222222,<a_223><b_198><c_230>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_187>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_214>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_35>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_hotspot,1850,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",3d_filament,15,-0.2,<a_223><b_198><c_182>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_53>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_68>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_68>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_hotspot,1344,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),other,5,-0.2,<a_251><b_44><c_87>,<a_251>,<a_251><b_44>,92,3,61,3,0.6630434782608695,1.0,<a_0><b_81><c_21>,<a_0>,<a_0><b_81>,24,3,21,3,0.875,1.0,<a_120><b_50><c_32>,<a_120>,<a_120><b_50>,17,3,15,3,0.8823529411764706,1.0,<a_99><b_84><c_83>,<a_99>,<a_99><b_84>,28,2,22,2,0.7857142857142857,1.0
r650_hotspot,3405,"HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",3d_filament,5,-0.2,<a_223><b_72><c_209>,<a_223>,<a_223><b_72>,247,10,229,10,0.9271255060728745,1.0,<a_112><b_35><c_4>,<a_112>,<a_112><b_35>,97,10,97,10,1.0,1.0,<a_107><b_254><c_211>,<a_107>,<a_107><b_254>,74,11,74,11,1.0,1.0,<a_90><b_46><c_229>,<a_90>,<a_90><b_46>,59,10,59,10,1.0,1.0
r650_hotspot,2893,"eSUN 3D 1.75mm PETG White Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque White",3d_filament,5,-0.2,<a_223><b_126><c_20>,<a_223>,<a_223><b_126>,247,10,229,10,0.9271255060728745,1.0,<a_211><b_35><c_200>,<a_211>,<a_211><b_35>,38,7,38,7,1.0,1.0,<a_107><b_68><c_44>,<a_107>,<a_107><b_68>,74,8,74,8,1.0,1.0,<a_90><b_171><c_78>,<a_90>,<a_90><b_171>,59,8,59,8,1.0,1.0
r650_hotspot,2934,Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,5,-0.1999999999999999,<a_158><b_72><c_70>,<a_158>,<a_158><b_72>,109,19,61,19,0.5596330275229358,1.0,<a_33><b_187><c_219>,<a_33>,<a_33><b_187>,33,17,33,17,1.0,1.0,<a_243><b_254><c_152>,<a_243>,<a_243><b_254>,47,16,36,16,0.7659574468085106,1.0,<a_111><b_184><c_206>,<a_111>,<a_111><b_184>,45,15,19,15,0.4222222222222222,1.0
r650_hotspot,2063,"3Doodler Create 3D Pen with 50 Plastic Strands, No Mess, Non-Toxic -",other,5,-0.1999999999999999,<a_223><b_102><c_158>,<a_223>,<a_223><b_102>,247,2,17,2,0.06882591093117409,1.0,<a_204><b_12><c_0>,<a_204>,<a_204><b_12>,19,2,14,2,0.7368421052631579,1.0,<a_145><b_93><c_2>,<a_145>,<a_145><b_93>,17,2,8,2,0.47058823529411764,1.0,<a_192><b_157><c_1>,<a_192>,<a_192><b_157>,10,2,3,2,0.3,1.0
r650_hotspot,1128,Loctite Heavy Duty Epoxy Quick Set 8-Fluid Ounce Bottle (1365736),adhesive_epoxy,6,-0.1666666666666666,<a_165><b_35><c_57>,<a_165>,<a_165><b_35>,72,3,59,3,0.8194444444444444,1.0,<a_63><b_48><c_253>,<a_63>,<a_63><b_48>,18,1,13,1,0.7222222222222222,1.0,<a_125><b_136><c_150>,<a_125>,<a_125><b_136>,29,3,23,3,0.7931034482758621,1.0,<a_14><b_140><c_83>,<a_14>,<a_14><b_140>,19,3,12,3,0.631578947368421,1.0
r650_hotspot,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",tape,6,-0.1666666666666666,<a_202><b_100><c_73>,<a_202>,<a_202><b_100>,117,1,115,1,0.9829059829059829,1.0,<a_242><b_231><c_123>,<a_242>,<a_242><b_231>,18,1,15,1,0.8333333333333334,1.0,<a_174><b_64><c_160>,<a_174>,<a_174><b_64>,11,1,6,1,0.5454545454545454,1.0,<a_32><b_131><c_84>,<a_32>,<a_32><b_131>,10,1,9,1,0.9,1.0
r650_hotspot,3470,SCStyle 5 Meters GT2 2mm Pitch 6mm Wide Timing Belt for 3D Printer CNC,3d_filament,6,-0.1666666666666666,<a_23><b_192><c_221>,<a_23>,<a_23><b_192>,50,1,5,1,0.1,1.0,<a_170><b_67><c_84>,<a_170>,<a_170><b_67>,34,1,1,1,0.029411764705882353,1.0,<a_252><b_125><c_211>,<a_252>,<a_252><b_125>,22,1,12,1,0.5454545454545454,1.0,<a_164><b_27><c_14>,<a_164>,<a_164><b_27>,29,1,13,1,0.4482758620689655,1.0
