source,item_id,title,family,eval_count,delta_hit10_rate,orig_hit10_rate,r650_hit10_rate,orig_sid,orig_l1,orig_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_same_family_count,orig_l2_same_family_count,orig_l1_family_purity,orig_l2_family_purity,v2_sid,v2_l1,v2_l2,v2_l1_bucket_size,v2_l2_bucket_size,v2_l1_same_family_count,v2_l2_same_family_count,v2_l1_family_purity,v2_l2_family_purity,r650_sid,r650_l1,r650_l2,r650_l1_bucket_size,r650_l2_bucket_size,r650_l1_same_family_count,r650_l2_same_family_count,r650_l1_family_purity,r650_l2_family_purity,r660_sid,r660_l1,r660_l2,r660_l1_bucket_size,r660_l2_bucket_size,r660_l1_same_family_count,r660_l2_same_family_count,r660_l1_family_purity,r660_l2_family_purity
r650_regression,3557,3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG),3d_filament,8,-0.375,0.5,0.125,<a_223><b_80><c_0>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_11>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_223><c_187>,<a_107>,<a_107><b_223>,74,6,74,6,1.0,1.0,<a_58><b_68><c_181>,<a_58>,<a_58><b_68>,64,9,57,8,0.890625,0.8888888888888888
r650_regression,338,"Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black",gauge_meter,19,-0.1052631578947368,0.2105263157894736,0.1052631578947368,<a_107><b_90><c_50>,<a_107>,<a_107><b_90>,66,2,38,2,0.5757575757575758,1.0,<a_209><b_169><c_44>,<a_209>,<a_209><b_169>,28,1,13,1,0.4642857142857143,1.0,<a_65><b_83><c_218>,<a_65>,<a_65><b_83>,16,1,13,1,0.8125,1.0,<a_92><b_246><c_227>,<a_92>,<a_92><b_246>,18,3,15,3,0.8333333333333334,1.0
r650_regression,176,URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size,other,11,-0.0909090909090908,0.2727272727272727,0.1818181818181818,<a_17><b_80><c_8>,<a_17>,<a_17><b_80>,99,1,59,1,0.5959595959595959,1.0,<a_250><b_21><c_4>,<a_250>,<a_250><b_21>,18,5,8,4,0.4444444444444444,0.8,<a_243><b_172><c_226>,<a_243>,<a_243><b_172>,47,4,8,4,0.1702127659574468,1.0,<a_210><b_251><c_4>,<a_210>,<a_210><b_251>,32,3,20,2,0.625,0.6666666666666666
r650_regression,635,Texas Instruments NE555N NE555 NE555P General Purpose Single Bipolar Timer DIP8 50 Pack,other,2,-1.0,1.0,0.0,<a_30><b_191><c_20>,<a_30>,<a_30><b_191>,68,3,64,3,0.9411764705882353,1.0,<a_32><b_40><c_1>,<a_32>,<a_32><b_40>,15,2,15,2,1.0,1.0,<a_227><b_241><c_105>,<a_227>,<a_227><b_241>,24,2,22,2,0.9166666666666666,1.0,<a_170><b_152><c_71>,<a_170>,<a_170><b_152>,22,2,19,2,0.8636363636363636,1.0
r650_regression,2869,"13cm Dia. (5.1"") Filter Funnel, Buchner Style - 2 Parts, Polypropylene, Designed for 11-12.5cm Filter Paper",other,3,-0.6666666666666666,0.6666666666666666,0.0,<a_94><b_93><c_57>,<a_94>,<a_94><b_93>,111,2,94,2,0.8468468468468469,1.0,<a_99><b_160><c_223>,<a_99>,<a_99><b_160>,21,1,17,1,0.8095238095238095,1.0,<a_3><b_67><c_142>,<a_3>,<a_3><b_67>,9,2,7,2,0.7777777777777778,1.0,<a_44><b_121><c_205>,<a_44>,<a_44><b_121>,14,1,11,1,0.7857142857142857,1.0
r650_regression,3151,Anycubic Pulley Version Unassemble Delta Rostock 3D Printer Kossel Kit Large Print Size with Heatbed and Power Supply,3d_filament,3,-0.6666666666666666,0.6666666666666666,0.0,<a_158><b_211><c_119>,<a_158>,<a_158><b_211>,109,1,61,1,0.5596330275229358,1.0,<a_21><b_35><c_145>,<a_21>,<a_21><b_35>,12,2,11,2,0.9166666666666666,1.0,<a_199><b_254><c_190>,<a_199>,<a_199><b_254>,38,1,34,1,0.8947368421052632,1.0,<a_251><b_109><c_4>,<a_251>,<a_251><b_109>,43,2,38,2,0.8837209302325582,1.0
r650_regression,2204,"Proto-pasta CFP11705 The Original Carbon Fiber Spool , PLA 1.75 mm, 500 g , Black",3d_filament,4,-0.5,0.5,0.0,<a_223><b_89><c_223>,<a_223>,<a_223><b_89>,247,2,229,2,0.9271255060728745,1.0,<a_226><b_249><c_42>,<a_226>,<a_226><b_249>,17,3,15,3,0.8823529411764706,1.0,<a_240><b_22><c_73>,<a_240>,<a_240><b_22>,25,2,24,2,0.96,1.0,<a_104><b_84><c_211>,<a_104>,<a_104><b_84>,48,2,47,1,0.9791666666666666,0.5
r650_regression,2063,"3Doodler Create 3D Pen with 50 Plastic Strands, No Mess, Non-Toxic -",other,5,-0.4,0.8,0.4,<a_223><b_102><c_158>,<a_223>,<a_223><b_102>,247,2,17,2,0.06882591093117409,1.0,<a_204><b_12><c_0>,<a_204>,<a_204><b_12>,19,2,14,2,0.7368421052631579,1.0,<a_145><b_93><c_2>,<a_145>,<a_145><b_93>,17,2,8,2,0.47058823529411764,1.0,<a_192><b_157><c_1>,<a_192>,<a_192><b_157>,10,2,3,2,0.3,1.0
r650_regression,2157,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",3d_filament,6,-0.3333333333333333,0.5,0.1666666666666666,<a_223><b_126><c_16>,<a_223>,<a_223><b_126>,247,10,229,10,0.9271255060728745,1.0,<a_211><b_35><c_7>,<a_211>,<a_211><b_35>,38,7,38,7,1.0,1.0,<a_107><b_68><c_204>,<a_107>,<a_107><b_68>,74,8,74,8,1.0,1.0,<a_90><b_171><c_26>,<a_90>,<a_90><b_171>,59,8,59,8,1.0,1.0
r650_regression,416,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,connector_fitting,7,-0.2857142857142857,0.4285714285714285,0.1428571428571428,<a_228><b_75><c_44>,<a_228>,<a_228><b_75>,96,2,11,2,0.11458333333333333,1.0,<a_161><b_203><c_20>,<a_161>,<a_161><b_203>,16,2,10,2,0.625,1.0,<a_156><b_243><c_19>,<a_156>,<a_156><b_243>,18,2,3,2,0.16666666666666666,1.0,<a_164><b_154><c_200>,<a_164>,<a_164><b_154>,29,2,5,2,0.1724137931034483,1.0
r650_regression,2152,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gold",3d_filament,8,-0.25,0.375,0.125,<a_223><b_198><c_100>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_103>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_110>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_233>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_regression,2659,"3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,8,-0.25,0.25,0.0,<a_223><b_80><c_0>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_248>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_203>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_150><c_155>,<a_58>,<a_58><b_150>,64,14,57,14,0.890625,1.0
r650_regression,42,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",connector_fitting,4,-0.25,0.5,0.25,<a_71><b_242><c_21>,<a_71>,<a_71><b_242>,118,2,11,2,0.09322033898305085,1.0,<a_248><b_109><c_145>,<a_248>,<a_248><b_109>,21,1,13,1,0.6190476190476191,1.0,<a_230><b_221><c_252>,<a_230>,<a_230><b_221>,24,2,14,2,0.5833333333333334,1.0,<a_228><b_12><c_200>,<a_228>,<a_228><b_12>,21,1,8,1,0.38095238095238093,1.0
r650_regression,1107,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",3d_filament,9,-0.2222222222222222,0.3333333333333333,0.1111111111111111,<a_223><b_198><c_230>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_187>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_214>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_35>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_regression,3494,"3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,10,-0.2,0.9,0.7,<a_223><b_80><c_101>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_17>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_214>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_150><c_172>,<a_58>,<a_58><b_150>,64,14,57,14,0.890625,1.0
r650_regression,1824,DTOL 10 X Mini Laser Dot Diode Module Head WL Red 650nm 6mm 5V 5mW Pack of 10,other,6,-0.1666666666666666,0.3333333333333333,0.1666666666666666,<a_73><b_110><c_3>,<a_73>,<a_73><b_110>,114,2,81,2,0.7105263157894737,1.0,<a_170><b_181><c_30>,<a_170>,<a_170><b_181>,34,2,28,2,0.8235294117647058,1.0,<a_56><b_202><c_19>,<a_56>,<a_56><b_202>,23,2,21,2,0.9130434782608695,1.0,<a_172><b_71><c_224>,<a_172>,<a_172><b_71>,27,2,25,2,0.9259259259259259,1.0
r650_regression,3442,"3D Solutech Real Purple 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,9,-0.1111111111111111,0.2222222222222222,0.1111111111111111,<a_223><b_80><c_4>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_38>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_39>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_68><c_0>,<a_58>,<a_58><b_68>,64,9,57,8,0.890625,0.8888888888888888
r650_regression,2472,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",3d_filament,10,-0.1,0.2,0.1,<a_223><b_198><c_6>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_39><c_179>,<a_112>,<a_112><b_39>,97,21,97,21,1.0,1.0,<a_107><b_101><c_83>,<a_107>,<a_107><b_101>,74,21,74,21,1.0,1.0,<a_90><b_109><c_125>,<a_90>,<a_90><b_109>,59,21,59,21,1.0,1.0
r650_regression,2932,Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,10,-0.0999999999999999,0.3,0.2,<a_158><b_72><c_219>,<a_158>,<a_158><b_72>,109,19,61,19,0.5596330275229358,1.0,<a_33><b_187><c_18>,<a_33>,<a_33><b_187>,33,17,33,17,1.0,1.0,<a_243><b_254><c_180>,<a_243>,<a_243><b_254>,47,16,36,16,0.7659574468085106,1.0,<a_111><b_184><c_249>,<a_111>,<a_111><b_184>,45,15,19,15,0.4222222222222222,1.0
r650_regression,3453,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,12,-0.0833333333333333,0.5833333333333334,0.5,<a_223><b_80><c_91>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_5>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_32>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_150><c_107>,<a_58>,<a_58><b_150>,64,14,57,14,0.890625,1.0
r650_regression,40,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",other,17,0.2352941176470588,0.1176470588235294,0.3529411764705882,<a_173><b_93><c_124>,<a_173>,<a_173><b_93>,64,2,59,2,0.921875,1.0,<a_114><b_112><c_29>,<a_114>,<a_114><b_112>,12,1,12,1,1.0,1.0,<a_193><b_104><c_254>,<a_193>,<a_193><b_104>,12,1,11,1,0.9166666666666666,1.0,<a_88><b_103><c_194>,<a_88>,<a_88><b_103>,16,2,14,2,0.875,1.0
r650_regression,148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",other,1,-1.0,1.0,0.0,<a_94><b_35><c_31>,<a_94>,<a_94><b_35>,111,1,94,1,0.8468468468468469,1.0,<a_42><b_203><c_209>,<a_42>,<a_42><b_203>,16,1,15,1,0.9375,1.0,<a_209><b_223><c_149>,<a_209>,<a_209><b_223>,19,1,19,1,1.0,1.0,<a_205><b_200><c_150>,<a_205>,<a_205><b_200>,20,1,20,1,1.0,1.0
r650_regression,265,"ZJchao 10 pieces Tungsten Carbide Rotary Burr SET 1/8"" shank [Misc.]",other,1,-1.0,1.0,0.0,<a_193><b_113><c_101>,<a_193>,<a_193><b_113>,133,5,118,5,0.8872180451127819,1.0,<a_48><b_111><c_254>,<a_48>,<a_48><b_111>,18,1,18,1,1.0,1.0,<a_185><b_126><c_39>,<a_185>,<a_185><b_126>,11,1,9,1,0.8181818181818182,1.0,<a_34><b_150><c_1>,<a_34>,<a_34><b_150>,14,2,13,2,0.9285714285714286,1.0
r650_regression,355,"PORTER-CABLE PBN18100-1 1-Inch 18 Gauge Brad Nails, 1000-Pack",gauge_meter,1,-1.0,1.0,0.0,<a_42><b_133><c_136>,<a_42>,<a_42><b_133>,100,4,42,3,0.42,0.75,<a_195><b_89><c_217>,<a_195>,<a_195><b_89>,26,3,22,3,0.8461538461538461,1.0,<a_130><b_251><c_45>,<a_130>,<a_130><b_251>,12,4,7,3,0.5833333333333334,0.75,<a_15><b_8><c_2>,<a_15>,<a_15><b_8>,26,3,22,3,0.8461538461538461,1.0
r650_regression,356,"PORTER-CABLE PNS18075 3/4-Inch, 18 Gauge Narrow Crown (1/4-Inch) Staple (5000-Pack)",gauge_meter,1,-1.0,1.0,0.0,<a_42><b_226><c_0>,<a_42>,<a_42><b_226>,100,5,42,5,0.42,1.0,<a_195><b_35><c_180>,<a_195>,<a_195><b_35>,26,1,22,1,0.8461538461538461,1.0,<a_130><b_101><c_183>,<a_130>,<a_130><b_101>,12,1,7,1,0.5833333333333334,1.0,<a_15><b_133><c_4>,<a_15>,<a_15><b_133>,26,2,22,2,0.8461538461538461,1.0
r650_regression,417,American Terminal E-FFB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects,connector_fitting,1,-1.0,1.0,0.0,<a_67><b_56><c_2>,<a_67>,<a_67><b_56>,119,8,94,8,0.7899159663865546,1.0,<a_24><b_159><c_148>,<a_24>,<a_24><b_159>,29,6,27,6,0.9310344827586207,1.0,<a_54><b_83><c_26>,<a_54>,<a_54><b_83>,21,3,14,3,0.6666666666666666,1.0,<a_63><b_191><c_151>,<a_63>,<a_63><b_191>,30,6,23,6,0.7666666666666667,1.0
r650_regression,526,"Rubbermaid Commercial Products FG263100GRAY Rubbermaid Commercial Round Brute Container Lid, Gray, 32G",ventilation_fan,1,-1.0,1.0,0.0,<a_210><b_156><c_215>,<a_210>,<a_210><b_156>,95,4,9,2,0.09473684210526316,0.5,<a_172><b_173><c_158>,<a_172>,<a_172><b_173>,18,1,7,1,0.3888888888888889,1.0,<a_165><b_153><c_230>,<a_165>,<a_165><b_153>,22,1,7,1,0.3181818181818182,1.0,<a_167><b_178><c_165>,<a_167>,<a_167><b_178>,18,1,7,1,0.3888888888888889,1.0
r650_regression,1002,"Rubbermaid Commercial Products FG267360BLUE Slim Jim Trash Can, Swing Lid, Blue",ventilation_fan,1,-1.0,1.0,0.0,<a_210><b_98><c_142>,<a_210>,<a_210><b_98>,95,4,9,3,0.09473684210526316,0.75,<a_172><b_92><c_55>,<a_172>,<a_172><b_92>,18,1,7,1,0.3888888888888889,1.0,<a_165><b_100><c_73>,<a_165>,<a_165><b_100>,22,2,7,1,0.3181818181818182,0.5,<a_167><b_9><c_181>,<a_167>,<a_167><b_9>,18,1,7,1,0.3888888888888889,1.0
r650_regression,1193,"Forney 70451 Wire Rope, Vinyl Coated Aircraft Cable, 250-Feet-by 3/32-Inch thru 3/16-Inch",other,1,-1.0,1.0,0.0,<a_71><b_119><c_9>,<a_71>,<a_71><b_119>,118,5,98,5,0.8305084745762712,1.0,<a_84><b_203><c_1>,<a_84>,<a_84><b_203>,29,2,21,2,0.7241379310344828,1.0,<a_221><b_74><c_16>,<a_221>,<a_221><b_74>,26,2,18,2,0.6923076923076923,1.0,<a_98><b_108><c_8>,<a_98>,<a_98><b_108>,20,2,10,2,0.5,1.0
r650_regression,1227,TapeCase 3431 0.75in X 5yd Yellow Reflective Tape (1 Roll),tape,1,-1.0,1.0,0.0,<a_68><b_121><c_203>,<a_68>,<a_68><b_121>,67,4,18,4,0.26865671641791045,1.0,<a_26><b_5><c_215>,<a_26>,<a_26><b_5>,14,1,14,1,1.0,1.0,<a_15><b_114><c_11>,<a_15>,<a_15><b_114>,18,4,16,4,0.8888888888888888,1.0,<a_241><b_25><c_210>,<a_241>,<a_241><b_25>,21,3,12,3,0.5714285714285714,1.0
r650_regression,1267,Wago 222-412 LEVER-NUTS 2 Conductor Compact Connectors 100 PK,connector_fitting,1,-1.0,1.0,0.0,<a_67><b_179><c_92>,<a_67>,<a_67><b_179>,119,1,94,1,0.7899159663865546,1.0,<a_238><b_246><c_220>,<a_238>,<a_238><b_246>,22,1,20,1,0.9090909090909091,1.0,<a_221><b_3><c_11>,<a_221>,<a_221><b_3>,26,1,1,1,0.038461538461538464,1.0,<a_146><b_202><c_198>,<a_146>,<a_146><b_202>,44,1,29,1,0.6590909090909091,1.0
r650_regression,1354,Red Devil Available 3332 Steel Wool Multi-Grade Pack,other,1,-1.0,1.0,0.0,<a_173><b_194><c_0>,<a_173>,<a_173><b_194>,64,2,59,2,0.921875,1.0,<a_18><b_224><c_165>,<a_18>,<a_18><b_224>,20,1,16,1,0.8,1.0,<a_253><b_251><c_15>,<a_253>,<a_253><b_251>,9,2,8,2,0.8888888888888888,1.0,<a_24><b_37><c_6>,<a_24>,<a_24><b_37>,14,1,14,1,1.0,1.0
r650_regression,1358,"RMP .249 3003 H14 Aluminum Sheet, 12"" x 12",other,1,-1.0,1.0,0.0,<a_251><b_111><c_0>,<a_251>,<a_251><b_111>,92,2,61,2,0.6630434782608695,1.0,<a_47><b_118><c_26>,<a_47>,<a_47><b_118>,17,3,5,3,0.29411764705882354,1.0,<a_48><b_54><c_197>,<a_48>,<a_48><b_54>,24,1,23,1,0.9583333333333334,1.0,<a_199><b_52><c_107>,<a_199>,<a_199><b_52>,18,3,13,3,0.7222222222222222,1.0
r650_regression,1416,"Gardner Bender 10-084 WingGard Wire Connector, 100 Pack, Yellow",connector_fitting,1,-1.0,1.0,0.0,<a_67><b_106><c_9>,<a_67>,<a_67><b_106>,119,3,94,3,0.7899159663865546,1.0,<a_184><b_186><c_239>,<a_184>,<a_184><b_186>,27,1,3,1,0.1111111111111111,1.0,<a_191><b_147><c_4>,<a_191>,<a_191><b_147>,29,1,24,1,0.8275862068965517,1.0,<a_146><b_31><c_30>,<a_146>,<a_146><b_31>,44,3,29,3,0.6590909090909091,1.0
r650_regression,1546,BreakFree CLP-PS Precision Shooter,other,1,-1.0,1.0,0.0,<a_173><b_100><c_244>,<a_173>,<a_173><b_100>,64,2,59,2,0.921875,1.0,<a_153><b_109><c_219>,<a_153>,<a_153><b_109>,13,1,13,1,1.0,1.0,<a_249><b_69><c_183>,<a_249>,<a_249><b_69>,21,1,16,1,0.7619047619047619,1.0,<a_88><b_209><c_188>,<a_88>,<a_88><b_209>,16,1,14,1,0.875,1.0
r650_regression,1658,Loctite Epoxy Quick Set 0.85-Fluid Ounce Syringe (1395391),adhesive_epoxy,1,-1.0,1.0,0.0,<a_165><b_35><c_0>,<a_165>,<a_165><b_35>,72,3,59,3,0.8194444444444444,1.0,<a_63><b_11><c_215>,<a_63>,<a_63><b_11>,18,2,13,2,0.7222222222222222,1.0,<a_125><b_136><c_52>,<a_125>,<a_125><b_136>,29,3,23,3,0.7931034482758621,1.0,<a_14><b_140><c_7>,<a_14>,<a_14><b_140>,19,3,12,3,0.631578947368421,1.0
