source,item_id,title,family,eval_count,loss,gain,net_loss,orig_sid,orig_l1,orig_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_same_family_count,orig_l2_same_family_count,orig_l1_family_purity,orig_l2_family_purity,v2_sid,v2_l1,v2_l2,v2_l1_bucket_size,v2_l2_bucket_size,v2_l1_same_family_count,v2_l2_same_family_count,v2_l1_family_purity,v2_l2_family_purity,r650_sid,r650_l1,r650_l2,r650_l1_bucket_size,r650_l2_bucket_size,r650_l1_same_family_count,r650_l2_same_family_count,r650_l1_family_purity,r650_l2_family_purity,r660_sid,r660_l1,r660_l2,r660_l1_bucket_size,r660_l2_bucket_size,r660_l1_same_family_count,r660_l2_same_family_count,r660_l1_family_purity,r660_l2_family_purity
r650_graph_loss,2807,VIVOSUN 6 Inch 440 CFM Inline Duct Ventilation Fan with Variable Speed Controller,ventilation_fan,8,3,0,3,<a_158><b_91><c_208>,<a_158>,<a_158><b_91>,109,2,4,1,0.03669724770642202,0.5,<a_141><b_44><c_97>,<a_141>,<a_141><b_44>,12,1,3,1,0.25,1.0,<a_21><b_100><c_138>,<a_21>,<a_21><b_100>,36,1,1,1,0.027777777777777776,1.0,<a_182><b_184><c_0>,<a_182>,<a_182><b_184>,19,3,3,3,0.15789473684210525,1.0
r650_graph_loss,560,"Litmus pH Test Strips, Universal Application (pH 1-14), 2 Packs of 100 Strips",test_strip,6,3,0,3,<a_94><b_166><c_155>,<a_94>,<a_94><b_166>,111,5,5,5,0.04504504504504504,1.0,<a_92><b_115><c_7>,<a_92>,<a_92><b_115>,12,2,5,2,0.4166666666666667,1.0,<a_160><b_234><c_77>,<a_160>,<a_160><b_234>,19,1,5,1,0.2631578947368421,1.0,<a_101><b_155><c_75>,<a_101>,<a_101><b_155>,13,2,5,2,0.38461538461538464,1.0
r650_graph_loss,98,"Industrial & Scientific"" />",metadata_placeholder,5,3,0,3,<a_15><b_155><c_49>,<a_15>,<a_15><b_155>,31,1,24,1,0.7741935483870968,1.0,<a_247><b_248><c_33>,<a_247>,<a_247><b_248>,25,1,23,1,0.92,1.0,<a_177><b_64><c_5>,<a_177>,<a_177><b_64>,24,1,23,1,0.9583333333333334,1.0,<a_26><b_225><c_52>,<a_26>,<a_26><b_225>,19,1,18,1,0.9473684210526315,1.0
r650_graph_loss,273,"Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 2 ounce Bottle, Brown, (Pack of 4)",adhesive_epoxy,3,3,0,3,<a_165><b_107><c_4>,<a_165>,<a_165><b_107>,72,5,59,5,0.8194444444444444,1.0,<a_65><b_51><c_16>,<a_65>,<a_65><b_51>,18,3,17,3,0.9444444444444444,1.0,<a_89><b_230><c_0>,<a_89>,<a_89><b_230>,39,4,13,4,0.3333333333333333,1.0,<a_13><b_72><c_104>,<a_13>,<a_13><b_72>,16,5,15,5,0.9375,1.0
r650_graph_loss,175,"Gorilla Crystal Clear Duct Tape, 1.88&rdquo; x 9 yd, Clear, (Pack of 1)",tape,8,3,1,2,<a_202><b_52><c_97>,<a_202>,<a_202><b_52>,117,8,115,8,0.9829059829059829,1.0,<a_79><b_21><c_174>,<a_79>,<a_79><b_21>,14,1,2,1,0.14285714285714285,1.0,<a_89><b_157><c_17>,<a_89>,<a_89><b_157>,39,3,24,2,0.6153846153846154,0.6666666666666666,<a_175><b_72><c_54>,<a_175>,<a_175><b_72>,34,2,33,2,0.9705882352941176,1.0
r650_graph_loss,1851,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",3d_filament,20,2,0,2,<a_223><b_198><c_9>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_164>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_200><c_220>,<a_18>,<a_18><b_200>,60,4,60,4,1.0,1.0,<a_58><b_106><c_8>,<a_58>,<a_58><b_106>,64,1,57,1,0.890625,1.0
r650_graph_loss,1107,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",3d_filament,9,2,0,2,<a_223><b_198><c_230>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_187>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_214>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_35>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_graph_loss,444,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,8,2,0,2,<a_223><b_198><c_114>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_39><c_244>,<a_112>,<a_112><b_39>,97,21,97,21,1.0,1.0,<a_107><b_101><c_115>,<a_107>,<a_107><b_101>,74,21,74,21,1.0,1.0,<a_90><b_109><c_174>,<a_90>,<a_90><b_109>,59,21,59,21,1.0,1.0
r650_graph_loss,2152,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gold",3d_filament,8,2,0,2,<a_223><b_198><c_100>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_103>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_110>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_233>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_graph_loss,416,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,connector_fitting,7,2,0,2,<a_228><b_75><c_44>,<a_228>,<a_228><b_75>,96,2,11,2,0.11458333333333333,1.0,<a_161><b_203><c_20>,<a_161>,<a_161><b_203>,16,2,10,2,0.625,1.0,<a_156><b_243><c_19>,<a_156>,<a_156><b_243>,18,2,3,2,0.16666666666666666,1.0,<a_164><b_154><c_200>,<a_164>,<a_164><b_154>,29,2,5,2,0.1724137931034483,1.0
r650_graph_loss,3210,Ancor Heat Shrink Ring Terminals,other,6,2,0,2,<a_67><b_199><c_0>,<a_67>,<a_67><b_199>,119,3,5,0,0.04201680672268908,0.0,<a_83><b_203><c_0>,<a_83>,<a_83><b_203>,56,2,24,0,0.42857142857142855,0.0,<a_84><b_124><c_0>,<a_84>,<a_84><b_124>,23,2,10,0,0.43478260869565216,0.0,<a_118><b_179><c_1>,<a_118>,<a_118><b_179>,34,4,11,0,0.3235294117647059,0.0
r650_graph_loss,450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",tape,4,2,0,2,<a_202><b_198><c_80>,<a_202>,<a_202><b_198>,117,10,115,10,0.9829059829059829,1.0,<a_177><b_238><c_163>,<a_177>,<a_177><b_238>,34,10,34,10,1.0,1.0,<a_89><b_88><c_194>,<a_89>,<a_89><b_88>,39,10,24,10,0.6153846153846154,1.0,<a_175><b_131><c_198>,<a_175>,<a_175><b_131>,34,10,33,10,0.9705882352941176,1.0
r650_graph_loss,338,"Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black",gauge_meter,19,3,2,1,<a_107><b_90><c_50>,<a_107>,<a_107><b_90>,66,2,38,2,0.5757575757575758,1.0,<a_209><b_169><c_44>,<a_209>,<a_209><b_169>,28,1,13,1,0.4642857142857143,1.0,<a_65><b_83><c_218>,<a_65>,<a_65><b_83>,16,1,13,1,0.8125,1.0,<a_92><b_246><c_227>,<a_92>,<a_92><b_246>,18,3,15,3,0.8333333333333334,1.0
r650_graph_loss,2721,"3D Solutech Navy Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,12,2,1,1,<a_223><b_246><c_2>,<a_223>,<a_223><b_246>,247,2,229,2,0.9271255060728745,1.0,<a_22><b_104><c_15>,<a_22>,<a_22><b_104>,24,2,23,2,0.9583333333333334,1.0,<a_243><b_202><c_19>,<a_243>,<a_243><b_202>,47,2,36,2,0.7659574468085106,1.0,<a_251><b_99><c_121>,<a_251>,<a_251><b_99>,43,2,38,2,0.8837209302325582,1.0
r650_graph_loss,2333,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",3d_filament,12,2,1,1,<a_91><b_162><c_93>,<a_91>,<a_91><b_162>,72,1,51,1,0.7083333333333334,1.0,<a_226><b_148><c_116>,<a_226>,<a_226><b_148>,17,1,15,1,0.8823529411764706,1.0,<a_240><b_79><c_121>,<a_240>,<a_240><b_79>,25,1,24,1,0.96,1.0,<a_174><b_242><c_9>,<a_174>,<a_174><b_242>,18,1,11,1,0.6111111111111112,1.0
r650_graph_loss,2507,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",3d_filament,7,2,1,1,<a_223><b_198><c_173>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_32>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_17>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_45>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_graph_loss,1824,DTOL 10 X Mini Laser Dot Diode Module Head WL Red 650nm 6mm 5V 5mW Pack of 10,other,6,2,1,1,<a_73><b_110><c_3>,<a_73>,<a_73><b_110>,114,2,81,2,0.7105263157894737,1.0,<a_170><b_181><c_30>,<a_170>,<a_170><b_181>,34,2,28,2,0.8235294117647058,1.0,<a_56><b_202><c_19>,<a_56>,<a_56><b_202>,23,2,21,2,0.9130434782608695,1.0,<a_172><b_71><c_224>,<a_172>,<a_172><b_71>,27,2,25,2,0.9259259259259259,1.0
r650_graph_loss,2063,"3Doodler Create 3D Pen with 50 Plastic Strands, No Mess, Non-Toxic -",other,5,2,1,1,<a_223><b_102><c_158>,<a_223>,<a_223><b_102>,247,2,17,2,0.06882591093117409,1.0,<a_204><b_12><c_0>,<a_204>,<a_204><b_12>,19,2,14,2,0.7368421052631579,1.0,<a_145><b_93><c_2>,<a_145>,<a_145><b_93>,17,2,8,2,0.47058823529411764,1.0,<a_192><b_157><c_1>,<a_192>,<a_192><b_157>,10,2,3,2,0.3,1.0
r650_graph_loss,42,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",connector_fitting,4,2,1,1,<a_71><b_242><c_21>,<a_71>,<a_71><b_242>,118,2,11,2,0.09322033898305085,1.0,<a_248><b_109><c_145>,<a_248>,<a_248><b_109>,21,1,13,1,0.6190476190476191,1.0,<a_230><b_221><c_252>,<a_230>,<a_230><b_221>,24,2,14,2,0.5833333333333334,1.0,<a_228><b_12><c_200>,<a_228>,<a_228><b_12>,21,1,8,1,0.38095238095238093,1.0
r650_graph_loss,59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),adhesive_epoxy,12,1,0,1,<a_165><b_214><c_30>,<a_165>,<a_165><b_214>,72,2,59,2,0.8194444444444444,1.0,<a_63><b_21><c_254>,<a_63>,<a_63><b_21>,18,4,13,4,0.7222222222222222,1.0,<a_125><b_126><c_128>,<a_125>,<a_125><b_126>,29,4,23,4,0.7931034482758621,1.0,<a_14><b_175><c_10>,<a_14>,<a_14><b_175>,19,3,12,3,0.631578947368421,1.0
