idx,item_id,title,family,eval_count_global,r720b_output_sid,r720b_top1_sid,r720b_hit1,r720b_hit10,r720b_hit50,r720b_top1_item_ids,r720b_top1_titles,orig_align_output_sid,orig_align_top1_sid,orig_align_hit1,orig_align_hit10,orig_align_hit50,orig_align_top1_item_ids,orig_align_top1_titles,orig_best_output_sid,orig_best_top1_sid,orig_best_hit1,orig_best_hit10,orig_best_hit50,orig_best_top1_item_ids,orig_best_top1_titles
10,2253,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",tape,1,<a_179><b_67><c_219>,<a_237><b_57><c_120>,0,0,0,2158,"eSUN 3D 1.75mm PETG Green Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Green",<a_233><b_86><c_124>,<a_223><b_144><c_153>,0,0,0,1795,"eSUN 1.75mm Black PLA 3D Printer filament 1kg Spool (2.2lbs), Black",<a_233><b_86><c_124>,<a_223><b_86><c_176>,0,0,0,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm"
11,450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",tape,4,<a_179><b_162><c_202>,<a_220><b_59><c_150>,0,0,1,145,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing",<a_202><b_198><c_80>,<a_173><b_93><c_124>,0,0,0,40,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",<a_202><b_198><c_80>,<a_173><b_93><c_136>,0,0,0,74,"Hot Max 27050 Tap Magic Cutting Fluid, 4 oz."
12,59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),adhesive_epoxy,12,<a_48><b_208><c_155>,<a_14><b_46><c_121>,0,0,0,1840,TapeCase 3430 0.75in X 5yd White Reflective Tape (1 Roll),<a_165><b_214><c_30>,<a_68><b_121><c_7>,0,0,0,1198,TapeCase 3432 1in X 50yd Red Reflective Tape (1 Roll),<a_165><b_214><c_30>,<a_68><b_121><c_117>,0,0,0,1840,TapeCase 3430 0.75in X 5yd White Reflective Tape (1 Roll)
13,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,other,5,<a_216><b_184><c_138>,<a_235><b_227><c_207>,0,0,0,2164,"Rubbermaid Commercial Maximizer Mop Head, Blend, Medium, Blue (1924783)",<a_104><b_85><c_106>,<a_71><b_225><c_89>,0,0,0,794,"Keeper (07512) Koastal 12' x 1-1/2"" Lashing Strap with Protective Cover, (Pack of 2)",<a_104><b_85><c_106>,<a_24><b_91><c_4>,0,0,0,2352,iRobot Roomba 870 Robotic Vacuum Cleaner
14,3340,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",other,1,<a_101><b_10><c_209>,<a_130><b_49><c_1>,0,0,0,1949,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threads (Pack of 100)",<a_73><b_10><c_6>,<a_224><b_81><c_180>,0,0,0,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",<a_73><b_10><c_6>,<a_224><b_81><c_180>,0,0,0,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack"
15,352,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,other,2,<a_166><b_93><c_213>,<a_131><b_6><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_71><b_70><c_24>,<a_202><b_100><c_73>,0,0,0,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",<a_71><b_70><c_24>,<a_202><b_100><c_73>,0,0,0,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle"
16,516,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",other,1,<a_166><b_116><c_94>,<a_76><b_151><c_121>,0,0,0,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",<a_71><b_127><c_119>,<a_202><b_100><c_73>,0,0,1,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",<a_71><b_127><c_119>,<a_107><b_93><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator"
17,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,10,<a_165><b_71><c_94>,<a_99><b_213><c_161>,0,0,0,2229,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,<a_228><b_113><c_68>,<a_210><b_171><c_62>,0,1,1,2607,Muslin Bags 10 Count,<a_228><b_113><c_68>,<a_228><b_187><c_137>,0,0,1,399,Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES
18,1080,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",other,1,<a_86><b_235><c_170>,<a_99><b_213><c_161>,0,0,0,2229,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,<a_94><b_195><c_69>,<a_210><b_171><c_62>,0,0,0,2607,Muslin Bags 10 Count,<a_94><b_195><c_69>,<a_228><b_113><c_68>,0,0,0,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)"
19,326,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,3,<a_211><b_78><c_9>,<a_59><b_100><c_111>,0,0,0,1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",<a_165><b_59><c_20>,<a_210><b_46><c_168>,0,0,0,638,"Amamax Clear Zip Lock Bags, 4 X 6"", 500 Count",<a_165><b_59><c_20>,<a_210><b_239><c_121>,0,0,0,812,ShipGuard 600 Ziplock Bags 6 Assorted Sizes Clear 2MIL baggies1.5x2 2x2 2x3 3x3 3x4 3x5
20,1098,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,adhesive_epoxy,4,<a_211><b_63><c_157>,<a_59><b_100><c_111>,0,0,0,1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",<a_165><b_159><c_154>,<a_165><b_59><c_69>,0,0,0,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,<a_165><b_159><c_154>,<a_165><b_59><c_69>,0,0,0,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.
21,1305,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",other,7,<a_115><b_16><c_98>,<a_76><b_151><c_121>,0,0,0,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",<a_251><b_111><c_10>,<a_17><b_80><c_8>,0,0,0,176,URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size,<a_251><b_111><c_10>,<a_165><b_247><c_68>,0,0,0,57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear"
22,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,132,<a_131><b_6><c_0>,<a_131><b_6><c_0>,1,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_107><b_93><c_0>,<a_68><b_98><c_239>,0,1,1,151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",<a_107><b_93><c_0>,<a_68><b_98><c_239>,0,0,1,151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)"
23,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,132,<a_131><b_6><c_0>,<a_131><b_6><c_0>,1,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_107><b_93><c_0>,<a_107><b_93><c_0>,1,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_107><b_93><c_0>,<a_107><b_93><c_0>,1,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator"
24,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,68,<a_131><b_6><c_0>,<a_131><b_6><c_0>,1,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_107><b_93><c_0>,<a_107><b_93><c_0>,1,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_107><b_93><c_0>,<a_107><b_93><c_0>,1,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator"
25,3287,Pomona 1296 BNC (M) Binding Posts,other,4,<a_118><b_199><c_138>,<a_59><b_183><c_212>,0,0,0,175,"Gorilla Crystal Clear Duct Tape, 1.88&rdquo; x 9 yd, Clear, (Pack of 1)",<a_170><b_226><c_111>,<a_202><b_52><c_171>,0,0,0,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",<a_170><b_226><c_111>,<a_73><b_9><c_0>,0,0,0,502,Uxcell a10073000ux0031 2 Pcs 8 Position Double Row Screw Terminal Covered Barrier Strip 600V 25A
26,2899,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",other,4,<a_75><b_144><c_140>,<a_10><b_45><c_37>,0,0,0,140,DuPont Teflon Silicone Lubricant,<a_173><b_86><c_176>,<a_206><b_62><c_157>,0,0,0,2292,"Bluecell Pack of 12 Sandpaper abrasive dry/wet paper Sheets 400/600/800/1000/1200/1500 Grit 9"" x 3.6"" hobby tool",<a_173><b_86><c_176>,<a_202><b_62><c_182>,0,0,0,116,Rescue Tape RT1000201202USCO
27,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,2,<a_158><b_45><c_124>,<a_59><b_100><c_111>,0,0,0,1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",<a_99><b_170><c_176>,<a_224><b_114><c_148>,0,0,0,603,"The Hillman Group 591519 Small Small Wood Screw Assortment, 195-Pack",<a_99><b_170><c_176>,<a_224><b_77><c_43>,0,0,0,914,"The Hillman Group 591518 Small Machine Screws with Nuts Assortment, 195-Pack"
28,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,2,<a_158><b_45><c_124>,<a_158><b_45><c_124>,1,1,1,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",<a_99><b_170><c_176>,<a_99><b_170><c_176>,1,1,1,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",<a_99><b_170><c_176>,<a_99><b_170><c_176>,1,1,1,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz."
29,1392,Pomona 4970 Bnc (M) with 20 Awg Leads,other,3,<a_118><b_32><c_143>,<a_131><b_6><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_170><b_228><c_53>,<a_107><b_93><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_170><b_228><c_53>,<a_180><b_221><c_210>,0,0,0,2977,"Heathrow Scientific HD15906 Hayman-Type Spatula with Flat End and Spoon End, 6-1/4"" Overall Length"
30,2175,Pomona 3788 Bnc (F) to Minigrabber Test Clips,other,1,<a_95><b_169><c_97>,<a_241><b_85><c_125>,0,0,0,84,Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion,<a_170><b_208><c_80>,<a_94><b_35><c_31>,0,0,0,148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",<a_170><b_208><c_80>,<a_180><b_221><c_210>,0,0,0,2977,"Heathrow Scientific HD15906 Hayman-Type Spatula with Flat End and Spoon End, 6-1/4"" Overall Length"
31,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,other,2,<a_117><b_37><c_16>,<a_58><b_172><c_168>,0,0,0,1850,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",<a_236><b_35><c_44>,<a_223><b_86><c_176>,0,0,0,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",<a_236><b_35><c_44>,<a_223><b_160><c_251>,0,0,0,2477,BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
32,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,31,<a_58><b_78><c_0>,<a_58><b_172><c_168>,0,0,0,1850,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",<a_223><b_80><c_84>,<a_158><b_217><c_2>,0,0,1,3444,RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle,<a_223><b_80><c_84>,<a_158><b_138><c_227>,0,1,1,2513,2 Meters PTFE Teflon Bowden Tube 1.75 Filament 3D printer RepRap Rostock Kossel
33,123,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",other,5,<a_119><b_216><c_4>,<a_131><b_6><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_173><b_194><c_4>,<a_165><b_247><c_68>,0,0,0,57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",<a_173><b_194><c_4>,<a_165><b_15><c_16>,0,0,1,202,Loctite Liquid Professional Super Glue  20-Gram Bottle (1365882)
34,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,other,5,<a_216><b_184><c_138>,<a_235><b_227><c_207>,0,0,0,2164,"Rubbermaid Commercial Maximizer Mop Head, Blend, Medium, Blue (1924783)",<a_104><b_85><c_106>,<a_71><b_162><c_173>,0,0,0,187,"South Main Hardware 810180, 12'/1"""", Silver Lashing Strap (2 Pack)",<a_104><b_85><c_106>,<a_66><b_78><c_36>,0,0,0,150,Colgate Cavity Protection Toothpaste with Fluoride - 1 ounce (24 Pack)
35,1874,"FastenMaster FMHLGM278-50 HeadLOK Heavy-Duty Flathead Fastener, 2-7/8 Inches, 50-Count",fastener,2,<a_130><b_84><c_73>,<a_26><b_109><c_82>,0,0,0,415,"Miller Electric 229895 Gage, Wire Metal Sizes",<a_224><b_33><c_237>,<a_71><b_225><c_89>,0,0,0,794,"Keeper (07512) Koastal 12' x 1-1/2"" Lashing Strap with Protective Cover, (Pack of 2)",<a_224><b_33><c_237>,<a_71><b_81><c_211>,0,0,0,512,Highland (9002900) Fat Strap Bungee Cord Assortment - 6 Piece
36,1344,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),other,5,<a_180><b_89><c_216>,<a_131><b_6><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_251><b_44><c_87>,<a_193><b_5><c_106>,0,0,0,341,"Neiko 11108A 4.5&rdquo; x 7/8-Inch Aluminum Oxide Flap Disc, 80 Grit | Flat Type #27 | 10-Pack",<a_251><b_44><c_87>,<a_193><b_176><c_173>,0,0,0,365,Dremel EZ506CU 1-1/2-Inch Premium Metal Cutting Rotary Wheel
37,2817,"PHARMEX 1-78G Permanent Paper Label,""FOR RECTAL USE"", 1 9/16"" x 3/8"", Blue (500 per Roll, 2 Rolls per Box)",other,1,<a_239><b_68><c_15>,<a_76><b_151><c_121>,0,0,0,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",<a_44><b_157><c_179>,<a_202><b_100><c_73>,0,0,0,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",<a_44><b_157><c_179>,<a_73><b_8><c_168>,0,0,0,285,Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs
38,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,other,2,<a_117><b_37><c_16>,<a_50><b_235><c_31>,0,0,0,338,"Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black",<a_236><b_35><c_44>,<a_44><b_217><c_50>,0,0,0,303,"AMMEX - AINPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 3 mil, Large, Indigo (Case of 1000)",<a_236><b_35><c_44>,<a_150><b_98><c_251>,0,0,0,1482,Propylene Glycol 1 Quart - USP - KOSHER - PURE
39,725,"Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded",other,3,<a_125><b_145><c_102>,<a_109><b_54><c_213>,0,0,0,42,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",<a_197><b_33><c_216>,<a_109><b_225><c_156>,0,0,0,2270,Elkay LKSMHOOK SinkMate Hook,<a_197><b_33><c_216>,<a_107><b_93><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator"
40,2216,SE 526SF 7&rdquo; Self-Locking Sponge Forceps,other,1,<a_105><b_198><c_194>,<a_131><b_6><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_180><b_213><c_155>,<a_193><b_42><c_1>,0,0,0,831,"DEWALT DW8062B5 4-1/2-Inch by 0.045-Inch Metal and Stainless Cutting Wheel, 7/8-Inch Arbor, 5-Pack",<a_180><b_213><c_155>,<a_193><b_178><c_185>,0,0,0,1459,"Forney 72730 Wire Cup Brush, Fine Crimped with 1/4-Inch Hex Shank, 2-Inch-by-.008-Inch"
