variant,l1,size,dominant_family,family_purity,brand_purity,family_counts,sample_titles
original,<a_211>,45,gauge_meter,0.4888888888888889,0.26666666666666666,gauge_meter:22; other:13; connector_fitting:8; adhesive_epoxy:2,"Amprobe TL36A Test Leads with Alligator Clips, 1000V || SE TL10 10-Piece Test Lead Set with Alligator Clips || Fluke TP1 Slim-Reach Flat Blade Test Probe with Stainless Steel Tip, 1000V Voltage, 10A Current || Vktech 5pcs 2M Waterproof Digital Temperature Temp Sensor Probe DS18b20 || VicTsing RJ45 RJ11 Cable Tester Network LAN Ethernet Phone Telephone Cable Tester Wire Tracker Scanning Device Wire Meas"
original,<a_180>,81,other,0.6049382716049383,0.06172839506172839,other:49; gauge_meter:27; fastener:2; connector_fitting:1; adhesive_epoxy:1; tape:1,"Titan Tools 11185 Telescoping Inspection Mirror || Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length || Fantronics 7mm Android Endoscope OTG Micro USB Endoscope Waterproof Borescopes Inspection Camera with 6 LED and 3.5M Cab || First Aid Only Scissors & Metal Forcep Pack || Solar Eclipse SE001CAM Wall and Pipe Inspection Camera with 2.4"" Color LCD Monitor"
original,<a_197>,60,gauge_meter,0.31666666666666665,0.06666666666666667,gauge_meter:19; other:14; adhesive_epoxy:12; fastener:7; 3d_filament:4; tape:2,"Eye-Vac EVPRO Tuxedo Black Touchless Stationary Vacuum &ndash; 1400 Watts Professional Vacuum with HEPA Filtration, Bag- || Wixey WR510 Digital Planer Readout with Fractions || Bercom BER-2520-CT INC 6PK Handy 2520-CT Paint Pail Liners, 6-Count, Clear || DuPont Teflon Non-Stick || Gorilla Glue Adhesive, 2-Ounces #50001"
original,<a_150>,116,other,0.6293103448275862,0.06896551724137931,other:73; gauge_meter:16; fastener:15; adhesive_epoxy:11; connector_fitting:1,"Wine Yeast Red Star Premier Classique Formerly Montrachet For Wine Making x10 || A World Of Deals 1 oz. Non-Sterile Graduated Plastic Medicine Cups, 100 Piece || Bentonite - 8 oz. || Science Purchase Disposable Luer-Slip Tip 3mL Syringe, Sterile without Needle, 100 Count || 5 Ml Amber Glass Bottle W/euro Dropper. Black Cap. 12 Pack"
original,<a_23>,50,other,0.38,0.36,other:19; connector_fitting:11; gauge_meter:11; fastener:5; adhesive_epoxy:3; 3d_filament:1,"Uxcell a11060700ux0191 RG6 F-Type Coax Coaxial Cable RF Connector Male (Pack of 5) || Uxcell a14092200ux1053 LED Pilot Light Panel Indicator (Pack of 3) || kingsmart Anti Static ESD Wrist Strap Discharge Band Grounding || Nilight GA0005 Holder TAP Adapter Mini ATM APM Blade Fuse Holder-10 Pack || Koch 015021 Cable, 7 by 7 Construction, Trade Size 1/16 by 125 Feet, Stainless Steel"
original,<a_99>,32,adhesive_epoxy,0.6875,0.21875,adhesive_epoxy:22; other:9; fastener:1,"System Three 1100K16 T-88 Kit, 1 quart Bottle, Amber || 3M Vetbond Tissue Adhesive, 3ml Bottles w/MSDS || Gorilla 7500101 07221000673 Glue Brush & Nozzle, 1-Pack, Clear || Rockler Silicone Mini Glue Brush, 2-Pack || 3M 08946 Clear Silicone Paste - 8 oz."
original,<a_159>,52,other,0.4807692307692308,0.09615384615384616,other:25; fastener:10; gauge_meter:9; connector_fitting:4; adhesive_epoxy:4,"Ludell 11604 High Grade Steel Splitting Wedge, 4lb || Jumbo 51pc Drum Sanding Kit - Fits Dremel - Includes Rubber Drum Mandrels - 1/2, 3/8 & 1/4 || PSI LCENTLT2 No. 2MT Heavy Duty Live Tailstock Center || 25-Pack 7/64"" Stainless Steel Screw Eye Rings || Bulldog 131525 Multi-Screwdriver Holder Peg Hook"
original,<a_206>,60,other,0.4166666666666667,0.05,other:25; tape:12; gauge_meter:10; adhesive_epoxy:8; fastener:2; connector_fitting:2,"Racor LDL-1B Ladder Lift || Eagle 1654 Yellow Blow-Molded HDPE Salvage Drum with Metal Ring Lever-Lock Lid, 20 gallon Capacity, 21"" Height, 21"" Diam || RapidFix Dual Adhesive System, 25 mL,Boss Products USA,RFX7121100,RFX7121101"" /> || Gorilla Gripper 44010 Panel Carrier || High Temperature Heat Resistant Tape Sublimation Tape Koptan Tape 2 Rolls 10mm X 33m 100ft"
original,<a_173>,64,other,0.609375,0.15625,other:39; gauge_meter:8; adhesive_epoxy:8; fastener:7; connector_fitting:2,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon || POR-15 40204 Metal Prep - 1 quart || CRC 5037 White Lithium Grease - 10 Wt Oz. || Hot Max 27050 Tap Magic Cutting Fluid, 4 oz. || Rust Bullet MB24SP Metal Blast Rust Treatment and Rust Remover, 24 oz. Spray Bottle, Clear Liquid"
original,<a_71>,118,other,0.5169491525423728,0.0847457627118644,other:61; fastener:26; gauge_meter:21; adhesive_epoxy:8; connector_fitting:2,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10) || South Main Hardware 810180, 12'/1"""", Silver Lashing Strap (2 Pack) || Master Lock Strap, 12 ft. Long Lashing Strap, 3060DAT (Pack of 2) || ZING 6063 RecycLockout Mini Lockout Station - Stocked || KNAPE & VOGT 208TI550 Hardware Brackets"
original,<a_87>,71,other,0.5211267605633803,0.07042253521126761,other:37; gauge_meter:17; fastener:10; adhesive_epoxy:4; connector_fitting:3,"4 Pack Caster Wheels Swivel Plate Stem Brake Casters On Red Polyurethane Wheels (4 inch with brake) || RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity) || Vestil FWD-1824-3R Fiberwood Dolly with 3"" Rubber Casters, 800 lbs Capacity, 23-3/4"" Length x 17-7/8"" Width x 4-11/16"" H || MegaDeal AC201710300001 12 Pack 2"" Swivel Caster Wheels Rubber Base with Top Plate & Bearing Heavy Duty || Alltrade 640912 Black 3 Ton,All-in-One Bottle Jack"
original,<a_244>,72,adhesive_epoxy,0.7777777777777778,0.2361111111111111,adhesive_epoxy:56; tape:7; other:5; fastener:2; gauge_meter:1; 3d_filament:1,"Permatex 51813 Anaerobic Gasket Maker, 50 ml Tube || Permatex 80050 Clear RTV Silicone Adhesive Sealant, 3 oz || Loctite 2-In-1 All Purpose Adhesive Caulk, 10 Ounce Cartridge, Clear (1936462) || Oatey 30246 PVC Regular Cement and 4-Ounce NSF Purple Primer Handy Pack, 4 oz || Rutland Products 76C 500-Degree RTV High Heat Silicone Seal, 10.3-Ounce Cartridge, Clear"
original,<a_158>,109,other,0.44036697247706424,0.1651376146788991,other:48; 3d_filament:40; gauge_meter:9; connector_fitting:7; ventilation_fan:3; fastener:2,"New 12V 5A 12V 19mm Red LED Momentary Push Button Metal Switch Car Boat Speakers Bells Horn || Caster Classics 2-inch Low Profile HD Rubber Wheel Plate Casters - 4-Pack || Workbench Caster Kit 4 Pack || VIVOSUN 4 inch Inline Duct Booster Fan 100 CFM, Low Noise & Extra Long 5.5' Grounded Power Cord || HDE RJ45 RJ11 RJ12 Cat5 Cat6 UTP Network Cable Tester for LAN Phone Wire Test Tool"
original,<a_91>,72,3d_filament,0.4583333333333333,0.08333333333333333,3d_filament:33; other:27; gauge_meter:5; adhesive_epoxy:3; connector_fitting:2; fastener:1,"Geeetech I3 Pro C, Dual Extruder,double Head,reprap Pursa I3 3d Printer,two-color Printing, High Resolution || XYZprinting da Vinci 1.0 AiO All-in-One 3D Printer (Scan/Edit/Print) || Octave Tool Kit A for 3D Printer || da Vinci 1.0 3D Printer - 7.8"" x 7.8"" x 7.8"" Built Volume (Fully Enclosed Design for ABS/PLA/Flexible Material) || [Open Resin] XYZprinting Nobel 1.0 SLA 3D Printer (Included FREE Resin, FREE Printing Platform & Tank)"
original,<a_223>,247,3d_filament,0.9473684210526315,0.2631578947368421,3d_filament:234; other:6; fastener:4; gauge_meter:2; tape:1,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue || HATCHBOX 1 Spool 3D Printer Filament Tabletop Wall Mount Rack || HATCHBOX Glow in the Dark PLA 3D Printer Filament, Dimension Accuracy +/-0.03 mm, 1 kg Spool, 1.75 mm - Blue || USAFilament 9800429 ABS 3D Printing Filament, 2.2 lb, 1.75 mm, White Spool || HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Green"
original,<a_15>,31,gauge_meter,0.5161290322580645,0.0967741935483871,gauge_meter:16; other:9; fastener:5; 3d_filament:1,"Industrial & Scientific"" /> || Industrial & Scientific"" /> || Industrial & Scientific"" /> || Industrial & Scientific"" /> || Industrial & Scientific"" />"
original,<a_67>,119,gauge_meter,0.5126050420168067,0.15126050420168066,gauge_meter:61; connector_fitting:42; adhesive_epoxy:13; fastener:1; tape:1; other:1,"American Terminal E-FFR250N-100 22/18-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects || Wago Wire Connector 600 V Clear 4 Conductor 100 / Box || Arlington LPCG50-1 Low-Profile Strain Relief Cord Connector, 1/2 Inch || HOODDEAL 50pcs Waterproof Solder Seal Heat Shrink Butt Connectors with Soldering Sleeve || Yueton 100pcs Female Fully Insulated Wire Crimp Terminal Nylon Quick Connectors Wiring Spade"
original,<a_36>,54,gauge_meter,0.5740740740740741,0.09259259259259259,gauge_meter:31; other:9; connector_fitting:7; 3d_filament:4; fastener:2; adhesive_epoxy:1,"B&K Precision 879B Dual Display Handheld Deluxe Universal LCR Meter with Backlit Display || Fluke 1AC-A1-II VoltAlert Non-Contact Voltage Tester || URBEST Digital PH Meter, Black || Honeytek A6013L Capacitor Tester || Uni-T B4Q094 UT210E True RMS AC/DC Current Mini Clamp M W Capacitance Tester"
original,<a_17>,99,other,0.5656565656565656,0.24242424242424243,other:56; gauge_meter:29; fastener:7; connector_fitting:3; tape:1; adhesive_epoxy:1,"W1 Tool Steel Round Rod, Polished Finish, Precision Ground, Annealed, 0.0625"" Diameter, 36"" Length || Metronic 12 inch Impulse Bag Sealer Poly Bag Sealing Machine Heat Seal Closer with Repair Kit(12 inch) || Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip; || Stainless Steel Tumbling Media Pins - 0.047"" Diameter, 0.255"" Length (5 lb Pack) || Polycarbonate (PC) Sheet, Transparent Clear, Standard Tolerance, ASTM D3935, 0.093"" Thickness, 12"" Width, 24"" Length"
original,<a_44>,65,other,0.8153846153846154,0.16923076923076924,other:53; gauge_meter:6; adhesive_epoxy:4; fastener:2,"Spectra 360 Electrode Gel - Parker Laboratories - 60g (2oz) Tube - (Pack of 3) || SafeTouch Nitrile Exam Gloves, Non Latex, Powder Free, Small, 100/Box || Dynarex 2201 Medical Surgical Face Masks (Pack of 50) || Nitrile Exam Glove (non-latex) PF Medium Blue 100/BX || PhysiciansCare by First Aid Only by First Aid Only 90293 First Aid Titanium Non Stick Bandage Shears, 7"" Bent, Blue"
original,<a_228>,96,gauge_meter,0.6041666666666666,0.125,gauge_meter:58; other:22; adhesive_epoxy:10; connector_fitting:4; tape:2,"White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25' Length || White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10' Length || LDR Industries 516 B1210 Nylon Tubing, 1/2"" x 10', Clear || Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter || URBEST 328 Pcs Assorted Heat Shrink Tube 5 Colors 8 Sizes Tubing Wrap Sleeve Set Combo (328PCS)"
original,<a_73>,114,other,0.5,0.32456140350877194,other:57; connector_fitting:24; gauge_meter:19; fastener:7; adhesive_epoxy:6; 3d_filament:1,"uxcell 5 Pcs Dual Row 4 Position Covered Screw Terminal Strip 600V 25A || LEDMart(tm) 50w LED Flood Light (2) Cool White Lamp Landscape Outdoor Waterproof 90-240v, 120 Degree Beam Angle (2) || SA180 Adhesive Standoffs, 24 Pack, 0.180"" Height, Offset 0.6x0.6"" Base, Fits 0.125"" PCB Hole || Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs || Uxcell a10073000ux0031 2 Pcs 8 Position Double Row Screw Terminal Covered Barrier Strip 600V 25A"
original,<a_94>,111,other,0.6486486486486487,0.22522522522522523,other:72; gauge_meter:29; test_strip:5; adhesive_epoxy:2; fastener:2; connector_fitting:1,"1 X Hydrometer - Triple Scale || Plastic Transfer Pipettes 3ml, Graduated, Pack of 100 || Plastic Transfer Pipettes 3ml Graduated Pack of 100 || SEOH GLASS FUNNEL Neutral glass 100 mm 100 mm stem || Karter Scientific 213A2 Borosilicate Glass Low Form Glass Beaker, 50/100/250/500/1000 mL (Pack of 5)"
original,<a_251>,92,gauge_meter,0.5543478260869565,0.2826086956521739,gauge_meter:51; other:36; adhesive_epoxy:3; fastener:2,"Stainless Steel 304L Welded Round Tubing, 2"" OD, 1.93"" ID, 0.035"" Wall, 36"" Length || Applied Magnets 2-pc, 1.5"" Strong NdFeB Neodymium Cup Magnet with Countersunk Hole. || 110 Copper Rectangular Bar, Unpolished (Mill) Finish, H04 Temper, ASTM B187, 1/4"" Thickness, 2"" Width, 36"" Length || 6061 Aluminum Rectangular Bar, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/8"" Thickness, 1"" Width, 36 || 6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length"
original,<a_14>,39,other,0.6666666666666666,0.07692307692307693,other:26; gauge_meter:5; fastener:5; connector_fitting:2; 3d_filament:1,"#10 Solid Rubber Stopper || Polar Ice PI125200CT 125 Count Plastic Jello Shot Cups with Lids, 2-Ounce || Learning Resources Skeleton Model || 5 Gallon Plastic Hedpack with cap || CB 7101S1 72-Pieces Blank Microscope Slides & 100-Pieces Square Cover Glass"
original,<a_79>,60,other,0.38333333333333336,0.15,other:23; tape:17; adhesive_epoxy:13; 3d_filament:3; gauge_meter:2; fastener:2,"Mist Coolant Lubrication Spray System For 8mm Air Pipe CNC Lathe Milling Drill || 3M High Temperature Flue Tape, 15-Foot Roll || LASCO 11-1033 PTFE Pipe Sealant Tape, 1/2-Inch x 100-Inch, White || MG Chemicals Liquid Tin, 475 ml Bottle || KYDEX V Sheet - 0.028"" Thick, Black, 12&rdquo;x12&rdquo; Nominal"
original,<a_233>,20,tape,0.5,0.1,tape:10; adhesive_epoxy:8; fastener:1; 3d_filament:1,"Industrial & Scientific"" /> || RH Adhesives HH-66 Industrial Strength Vinyl Cement Glue with Brush, 8 oz, Clear || RH Adhesives Br, HH-66 PVC 4 oz Vinyl Cement Glue with Brush || Hosa GFT-450BK BULK 3"" x 180' Gaffer Tape, Black || 3M Tape Primer 94 1/2 Pint 8oz For Vinyl Di-Noc"
original,<a_229>,36,gauge_meter,0.5,0.1388888888888889,gauge_meter:18; other:15; adhesive_epoxy:2; 3d_filament:1,"Vintage Shop PW-COIA-QACH Hydrometer 12"" Test Jar with Removable Base || PneumaticPlus PSL15-160 Pressure Gauge, Lower Mount, 1-1/2"" Dial, 0-160 PSI, 1/8"" NPT || Marine Sextant, Davis || American Weigh Scales 200WGT Carbon Steel 200gm Calibration Weight Scale with Chrome Finish || E-Z Red S102 Anti-Freeze Hydrometer"
original,<a_107>,66,gauge_meter,0.803030303030303,0.12121212121212122,gauge_meter:53; other:7; adhesive_epoxy:2; fastener:2; connector_fitting:1; test_strip:1,"Magnum Media DUAL SCALE 0-32% Brix and 1.000-1.130SG Wort Refractometer RSG-100ATC Beer Home Brew || Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and B || Masione Temperature Gun Non-contact Digital Laser Infrared Ir Thermometer -58&deg;f to 716&deg;f (-50 ~ 380) Instant-rea || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator"
original,<a_52>,28,other,0.6428571428571429,0.10714285714285714,other:18; gauge_meter:7; connector_fitting:1; adhesive_epoxy:1; fastener:1,"Enkay 150 Carded Polishing Compound Kit, 4 Piece || Graham Conderser Kit || Medline DYND70102H Enema Bag Sets || 5lb co2 Tank- New Aluminum Cylinder with CGA320 Valve || Pro Series 1400750340 6"" Caster"
original,<a_122>,35,tape,0.4,0.11428571428571428,tape:14; adhesive_epoxy:10; other:7; 3d_filament:3; gauge_meter:1,"GT-5000 (3 strips) Grip Tape for guns, cell phones, cameras, knives, tools - makes anything""Grippy"". || Shoreline Marine GOOP, 3.7-Ounce, Clear || Rothco Duct Tape || Angel Premium TENS/EMS Unit 40 Electrode Pads 2""x2"" in. Reusable Self Stick Gel Carbon Electrodes || Rust-Oleum 278146 NeverWet 11-Ounce Outdoor Fabric Spray, Clear"
original,<a_68>,67,other,0.40298507462686567,0.16417910447761194,other:27; tape:17; adhesive_epoxy:11; fastener:7; gauge_meter:5,"3M Dual Lock Reclosable Fastener TB3561/TB3562 400/170 Clear 1 in x 10 ft (1 Mated Strip/Bag) || Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830) || Avery Shipping Tags, Reinforced Hole, Manila, 4.75 x 2.375 Inches, Pack of 100 (11011) || 3M Safety Stripe Tape 5702 Black/Yellow, 1 in x 36 yd 5.4 mil, Conveniently Packaged (Pack of 1) || 3M Dual Lock Reclosable Fastener TB3551/TB3552 400/170 Black 1 in x 10 ft (1 Mated Strip/Bag)"
original,<a_66>,40,other,0.775,0.25,other:31; fastener:3; adhesive_epoxy:3; gauge_meter:2; test_strip:1,"Colgate Cavity Protection Toothpaste with Fluoride - 1 ounce (24 Pack) || Colgate Optic White Whitening Toothpaste, Sparkling White - 0.85 ounce (Case of 24) || Colgate Optic White Whitening Toothpaste, Sparkling Mint - 5 ounce (6 Pack) || Arm & Hammer Peroxicare Deep Clean Toothpaste, 6 oz (Packaging May Vary) || ECO-DENT DailyCare Original Mint Toothpowder"
original,<a_153>,17,gauge_meter,0.5882352941176471,0.17647058823529413,gauge_meter:10; other:5; fastener:2,"RADEX RD1503+ w/o dosimeter: High accuracy Geiger counter, radiation detector (English) || Uranium Ore || RADEX RD1212 Advanced Radiation Detector/Geiger Counter with Online Software || DEFRSMVT - SATE-LITE RSMVT Slow-Moving Vehicle Triangle || RADEX RD1503+ Safety PRO with Dosimeter: high accuracy geiger counter, radiation detector"
original,<a_109>,40,other,0.425,0.05,other:17; fastener:9; adhesive_epoxy:5; ventilation_fan:5; gauge_meter:4,"Phresh Duct Silencer 8 in x 24 in || Genie 34107R.S Screw Drive Carriage || Westek SW103CT Outdoor Swivel Photo Control || Replacement Filter Fits Shop Vac 90304 || KitchenAid KSM8990WH 8-Quart Commercial Countertop Mixer, 10-Speed, Gear-Driven, White"
original,<a_170>,25,other,0.56,0.12,other:14; tape:4; adhesive_epoxy:3; gauge_meter:2; connector_fitting:1; fastener:1,"Mill-Rose 70887 Blue Monster PTFE Pipe Thread Sealant Tape, 1-Inch x 1429-Inches, Blue || Millrose 70660 Monster Roll PTFE Thread Seal Tape, 1/2-Inch x 260-Inch, Blue || Dicor BT-1834-1 1/8"" x 3/4"" x 30' Butyl Seal Tape || Sponge Neoprene 1/8"" Thick X 54"" Wide X 1&#39; || LA-CO Plumbset Professional Plumbers' Putty, 5 lbs"
original,<a_30>,68,other,0.6470588235294118,0.10294117647058823,other:44; gauge_meter:11; connector_fitting:4; 3d_filament:4; fastener:4; tape:1,"Texas Instruments NE555N NE555 NE555P General Purpose Single Bipolar Timer DIP8 50 Pack || Parts Express 3A Variable Transformer AC Power 0-130 VAC || DAOKI 10PCS Digital DC 5V Amplifier Board Class D 23W USB Power Mini PAM8403 Audio Module || KORAD KA3005P - Programmable Precision Variable Adjustable 30V, 5A DC Linear Power Supply Digital Regulated Lab Grade || AKOAK 15amp Diode Axial Schottky Blocking Diodes for Solar Cells Panel,15SQ045 Schottky(20Pcs)"
original,<a_117>,1,adhesive_epoxy,1.0,1.0,adhesive_epoxy:1,Devcon Epoxy Bathtub Repair Kit (Almond & White)
l3_collab,<a_176>,33,gauge_meter,0.42424242424242425,0.15151515151515152,gauge_meter:14; other:13; fastener:3; adhesive_epoxy:2; ventilation_fan:1,"SUPCO SPP6 Relay/Capacitor Hard Start Kit with 500% Increase Starting Torque || Fantronics 7mm Android Endoscope OTG Micro USB Endoscope Waterproof Borescopes Inspection Camera with 6 LED and 3.5M Cab || Solar Eclipse SE001CAM Wall and Pipe Inspection Camera with 2.4"" Color LCD Monitor || Westek SW103CT Outdoor Swivel Photo Control || GCA 5.5mm Diameter USB Waterproof 6 Led Endoscope Borescope Inspection Wire"
l3_collab,<a_14>,40,fastener,0.5,0.15,fastener:20; gauge_meter:11; other:8; adhesive_epoxy:1,"Stanley TRA708T Sharpshooter 1/2-Inch Leg Length Staples, Steel (1000 Count) || GREX P6/MP-3 23 Gauge Multi-Pack Headless Pins (3,000 per box) || Stanley TRA700BN Heavy-Duty Staple & Brad Assortment, 2500-Pack || General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets || Arrow Fastener 508IP Genuine T50 1/2-Inch Staples, 5,000-Pack"
l3_collab,<a_125>,104,gauge_meter,0.4807692307692308,0.125,gauge_meter:50; fastener:40; other:10; adhesive_epoxy:3; 3d_filament:1,"Stanley TRA708SST 1/2-Inch HD Stainless Steel Narrow Crown Staple || Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack || Kreg SML-C2-250 Pocket Screws 2-Inch, 8 Coarse, Washer Head, 250 Count || BOSTITCH BT1335B-1M 1-3/8-Inch 18-Gauge Brads, 1000 per Box || BOSTITCH BT1309B-1M 1-Inch 18-Gauge Brads, 1000 per Box"
