item_id,title,brand,family,r720b_l1,r720b_l2,r720b_l3,orig_l1,orig_l2
27,Uxcell a11060700ux0191 RG6 F-Type Coax Coaxial Cable RF Connector Male (Pack of 5),uxcell,connector_fitting,<a_209>,<a_209><b_63>,<c_179>,<a_23>,<a_23><b_32>
28,"A World Of Deals 1 oz. Non-Sterile Graduated Plastic Medicine Cups, 100 Piece",A World Of Deals,other,<a_103>,<a_103><b_68>,<c_191>,<a_150>,<a_150><b_179>
29,"System Three 1100K16 T-88 Kit, 1 quart Bottle, Amber",System Three,other,<a_207>,<a_207><b_8>,<c_88>,<a_99>,<a_99><b_71>
30,"Ludell 11604 High Grade Steel Splitting Wedge, 4lb",Ludell Tools,other,<a_207>,<a_207><b_95>,<c_18>,<a_159>,<a_159><b_248>
31,Set of Rubber Magnetic Vise Jaws. Protection for your Projects,American Science & Surplus,other,<a_28>,<a_28><b_15>,<c_49>,<a_193>,<a_193><b_43>
32,"4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel",Warrior,other,<a_42>,<a_42><b_27>,<c_202>,<a_193>,<a_193><b_36>
33,Bessey BV-NVJ Multi-Purpose Vise Jaws (Jaws Only),Bessey,other,<a_148>,<a_148><b_128>,<c_181>,<a_193>,<a_193><b_97>
34,Racor LDL-1B Ladder Lift,Racor,other,<a_252>,<a_252><b_70>,<c_62>,<a_206>,<a_206><b_235>
35,Olympia Tools 38-644 5-Inch Open End Multi-Purpose Vise,Olympia Tools,other,<a_148>,<a_148><b_177>,<c_11>,<a_193>,<a_193><b_69>
36,"Neiko 50463A SAE Hydraulic Grease Fitting Kit, 110 Piece | Straight and Angled | 1/4"", 1/8",Neiko,connector_fitting,<a_172>,<a_172><b_18>,<c_51>,<a_108>,<a_108><b_55>
37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",Hillman,other,<a_153>,<a_153><b_214>,<c_71>,<a_224>,<a_224><b_81>
38,"SharkNinja Rocket DeluxePro Ultra-Light Upright Corded Stick Vacuum, Bordeaux",SharkNinja,other,<a_194>,<a_194><b_255>,<c_205>,<a_24>,<a_24><b_170>
39,"Augbunny 100% Cotton 5- by 7-Inch Muslin Bags with Drawstring, 12-Pack",Augbunny,other,<a_163>,<a_163><b_193>,<c_82>,<a_210>,<a_210><b_171>
40,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",Forney,other,<a_47>,<a_47><b_252>,<c_221>,<a_173>,<a_173><b_93>
41,"Loctite 1329837 243 Blue Medium Strength Threadlockers, 0.34 oz., 10 mL, 3/4"" Thread",Loctite,other,<a_34>,<a_34><b_125>,<c_56>,<a_165>,<a_165><b_151>
42,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",Precision Brand,connector_fitting,<a_109>,<a_109><b_54>,<c_213>,<a_71>,<a_71><b_242>
43,4 Pack Caster Wheels Swivel Plate Stem Brake Casters On Red Polyurethane Wheels (4 inch with brake),Online Best Service,other,<a_54>,<a_54><b_89>,<c_135>,<a_87>,<a_87><b_0>
44,"Permatex 51813 Anaerobic Gasket Maker, 50 ml Tube",Permatex,other,<a_75>,<a_75><b_255>,<c_158>,<a_244>,<a_244><b_24>
45,"Permatex 80050 Clear RTV Silicone Adhesive Sealant, 3 oz",Permatex,adhesive_epoxy,<a_41>,<a_41><b_212>,<c_182>,<a_244>,<a_244><b_4>
46,POR-15 40204 Metal Prep - 1 quart,POR-15,other,<a_225>,<a_225><b_123>,<c_188>,<a_173>,<a_173><b_82>
47,"Brush Research FLEX-HONE Cylinder Hone, GB Series, Silicon Carbide Abrasive, 3-1/4"" (83 mm) Diameter, 240 Grit Size",Flex-Hone Tool,gauge_meter,<a_26>,<a_26><b_199>,<c_95>,<a_193>,<a_193><b_192>
48,New 12V 5A 12V 19mm Red LED Momentary Push Button Metal Switch Car Boat Speakers Bells Horn,daier,other,<a_65>,<a_65><b_209>,<c_95>,<a_158>,<a_158><b_14>
49,"Geeetech I3 Pro C, Dual Extruder,double Head,reprap Pursa I3 3d Printer,two-color Printing, High Resolution",Geeetech,3d_filament,<a_140>,<a_140><b_184>,<c_139>,<a_91>,<a_91><b_95>
50,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue",HATCHBOX,3d_filament,<a_58>,<a_58><b_172>,<c_1>,<a_223>,<a_223><b_198>
51,HATCHBOX 1 Spool 3D Printer Filament Tabletop Wall Mount Rack,HATCHBOX,3d_filament,<a_234>,<a_234><b_35>,<c_99>,<a_223>,<a_223><b_29>
52,"HATCHBOX Glow in the Dark PLA 3D Printer Filament, Dimension Accuracy +/-0.03 mm, 1 kg Spool, 1.75 mm - Blue",HATCHBOX,3d_filament,<a_58>,<a_58><b_114>,<c_182>,<a_223>,<a_223><b_198>
53,"T&uuml;rlen Precision TEST DIAL INDICATOR 7 JEWELS .0005"" 0-15-0",TRLEN,other,<a_133>,<a_133><b_161>,<c_37>,<a_104>,<a_104><b_78>
54,"Industrial & Scientific"" />",Dykem,metadata_placeholder,<a_191>,<a_191><b_70>,<c_137>,<a_15>,<a_15><b_206>
55,CRC 5037 White Lithium Grease - 10 Wt Oz.,CRC,other,<a_34>,<a_34><b_146>,<c_249>,<a_173>,<a_173><b_209>
56,"RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity)",RhinoGear,other,<a_73>,<a_73><b_161>,<c_149>,<a_87>,<a_87><b_242>
57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",Gorilla,adhesive_epoxy,<a_48>,<a_48><b_212>,<c_37>,<a_165>,<a_165><b_247>
58,American Terminal E-FFR250N-100 22/18-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects,American Terminal,connector_fitting,<a_247>,<a_247><b_121>,<c_138>,<a_67>,<a_67><b_56>
59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),Loctite,adhesive_epoxy,<a_48>,<a_48><b_208>,<c_155>,<a_165>,<a_165><b_214>
60,"Shop-Vac 2030100 1.5-Gallon 2.0 Peak HP Wet Dry Vacuum, Small, Red/Black",Shop-Vac,other,<a_213>,<a_213><b_183>,<c_182>,<a_24>,<a_24><b_188>
61,B&K Precision 879B Dual Display Handheld Deluxe Universal LCR Meter with Backlit Display,B&K Precision,gauge_meter,<a_127>,<a_127><b_96>,<c_131>,<a_36>,<a_36><b_235>
62,"Anytime Tools Dial Caliper 6"" / 150mm DUAL Reading Scale METRIC SAE Standard INCH MM",Anytime Tools,gauge_meter,<a_241>,<a_241><b_49>,<c_89>,<a_104>,<a_104><b_17>
63,WEN 73002 500-Pound Capacity Service Cart,WEN,other,<a_27>,<a_27><b_79>,<c_2>,<a_210>,<a_210><b_90>
64,Shop-Vac 9068400 2.5-Inch by 40-Inch Extension Wands,Shop-Vac,other,<a_19>,<a_19><b_121>,<c_177>,<a_24>,<a_24><b_173>
65,Shop-Vac 9197000 2.5-Inch Gutter Cleaning Kit,Shop-Vac,other,<a_19>,<a_19><b_63>,<c_148>,<a_24>,<a_24><b_85>
66,Brown & Sharpe 599-792-30 Adjustable Spring Tensioned Tap Guide,TESA Brown & Sharpe,other,<a_228>,<a_228><b_228>,<c_104>,<a_104>,<a_104><b_185>
67,"W1 Tool Steel Round Rod, Polished Finish, Precision Ground, Annealed, 0.0625"" Diameter, 36"" Length",Small Parts,gauge_meter,<a_96>,<a_96><b_159>,<c_251>,<a_17>,<a_17><b_36>
68,"MLCS 9080 Billy Pedal Foot Switch, Deadman Style",MLCS,other,<a_221>,<a_221><b_204>,<c_199>,<a_236>,<a_236><b_116>
69,"Vestil FWD-1824-3R Fiberwood Dolly with 3"" Rubber Casters, 800 lbs Capacity, 23-3/4"" Length x 17-7/8"" Width x 4-11/16"" Height Deck",Vestil,other,<a_27>,<a_27><b_191>,<c_112>,<a_87>,<a_87><b_196>
70,Spectra 360 Electrode Gel - Parker Laboratories - 60g (2oz) Tube - (Pack of 3),Parker,other,<a_222>,<a_222><b_159>,<c_216>,<a_44>,<a_44><b_4>
71,Metronic 12 inch Impulse Bag Sealer Poly Bag Sealing Machine Heat Seal Closer with Repair Kit(12 inch),Metronic,other,<a_60>,<a_60><b_181>,<c_92>,<a_17>,<a_17><b_91>
72,"Eagle 1654 Yellow Blow-Molded HDPE Salvage Drum with Metal Ring Lever-Lock Lid, 20 gallon Capacity, 21"" Height, 21"" Diameter",Eagle,gauge_meter,<a_20>,<a_20><b_12>,<c_102>,<a_206>,<a_206><b_120>
73,HHIP 6 X 3-1/8 X 3-1/2 INCH CAST IRON V BLOCK SET (3402-1006),HHIP,other,<a_139>,<a_139><b_223>,<c_6>,<a_193>,<a_193><b_51>
74,"Hot Max 27050 Tap Magic Cutting Fluid, 4 oz.",Hot Max,other,<a_215>,<a_215><b_97>,<c_240>,<a_173>,<a_173><b_93>
75,"Jumbo 51pc Drum Sanding Kit - Fits Dremel - Includes Rubber Drum Mandrels - 1/2, 3/8 & 1/4",IIT,other,<a_88>,<a_88><b_227>,<c_140>,<a_159>,<a_159><b_63>
76,10pcs Mini Cabinet Drawer Butt Hinge,Generic,other,<a_68>,<a_68><b_185>,<c_94>,<a_42>,<a_42><b_135>
77,"Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6)",Scotch,tape,<a_14>,<a_14><b_219>,<c_131>,<a_202>,<a_202><b_162>
78,PSI LCENTLT2 No. 2MT Heavy Duty Live Tailstock Center,PSI Woodworking,other,<a_22>,<a_22><b_51>,<c_78>,<a_159>,<a_159><b_172>
79,"Brass Wood Screw, Plain Finish, Flat Head, Slotted Drive, 3/8"" Length, #6 Threads (Pack of 100)",Small Parts,fastener,<a_130>,<a_130><b_91>,<c_0>,<a_224>,<a_224><b_146>
80,"RapidFix Dual Adhesive System, 25 mL,Boss Products USA,RFX7121100,RFX7121101"" />",RapidFix,adhesive_epoxy,<a_204>,<a_204><b_226>,<c_110>,<a_206>,<a_206><b_32>
81,"Packard C230B 2 Pole 30 Amp Contactor, 120 Voltage Coil",Packard,other,<a_217>,<a_217><b_141>,<c_113>,<a_236>,<a_236><b_82>
82,"25-Pack 7/64"" Stainless Steel Screw Eye Rings",Dsmile,fastener,<a_88>,<a_88><b_57>,<c_9>,<a_159>,<a_159><b_64>
83,Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;,Wixey,gauge_meter,<a_84>,<a_84><b_217>,<c_127>,<a_17>,<a_17><b_20>
84,Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion,Neiko,gauge_meter,<a_241>,<a_241><b_85>,<c_125>,<a_104>,<a_104><b_186>
85,TEKTON 7169 0-1-Inch Dial Indicator,TEKTON,other,<a_133>,<a_133><b_143>,<c_243>,<a_104>,<a_104><b_73>
86,"Science Purchase 0604CAL6$ Stainless Steel Electronic LCD Digital Vernier Caliper Gauge Micrometer with Carrying Case, 6"", Silver",Science Purchase,gauge_meter,<a_241>,<a_241><b_13>,<c_188>,<a_104>,<a_104><b_97>
87,Wixey WR510 Digital Planer Readout with Fractions,Wixey,other,<a_7>,<a_7><b_204>,<c_106>,<a_197>,<a_197><b_220>
88,"SafeTouch Nitrile Exam Gloves, Non Latex, Powder Free, Small, 100/Box",Safe-Touch,other,<a_146>,<a_146><b_127>,<c_211>,<a_44>,<a_44><b_9>
89,Gorilla Gripper 44010 Panel Carrier,Gorilla Gripper,other,<a_40>,<a_40><b_45>,<c_207>,<a_206>,<a_206><b_94>
90,Woodstock W1038 4-Inch Quick Connect and Disconnect,Woodstock,other,<a_118>,<a_118><b_250>,<c_94>,<a_108>,<a_108><b_92>
91,"BOSTITCH BT1309B 1-Inch 18-Gauge Brads, 3000 per Box",BOSTITCH,gauge_meter,<a_136>,<a_136><b_23>,<c_79>,<a_42>,<a_42><b_244>
92,"GREX P6/MP-3 23 Gauge Multi-Pack Headless Pins (3,000 per box)",Grex Power Tools,gauge_meter,<a_81>,<a_81><b_20>,<c_96>,<a_42>,<a_42><b_117>
93,"White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25' Length",Small Parts,other,<a_165>,<a_165><b_91>,<c_12>,<a_228>,<a_228><b_158>
94,"White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10' Length",Small Parts,other,<a_165>,<a_165><b_91>,<c_0>,<a_228>,<a_228><b_158>
95,uxcell 5 Pcs Dual Row 4 Position Covered Screw Terminal Strip 600V 25A,uxcell,connector_fitting,<a_187>,<a_187><b_48>,<c_211>,<a_73>,<a_73><b_87>
96,1 X Hydrometer - Triple Scale,Monster Brew Home Brewing Supplies,gauge_meter,<a_107>,<a_107><b_86>,<c_197>,<a_94>,<a_94><b_95>
97,"18-8 Stainless Steel Flat Washer, Plain Finish, #10 Hole Size, 13/64"" ID, 7/16"" OD, 0.03"" Nominal Thickness (Pack of 100)",Small Parts,other,<a_153>,<a_153><b_89>,<c_152>,<a_224>,<a_224><b_209>
98,"Industrial & Scientific"" />",iGaging,metadata_placeholder,<a_191>,<a_191><b_221>,<c_34>,<a_15>,<a_15><b_155>
99,"Stainless Steel 304L Welded Round Tubing, 2"" OD, 1.93"" ID, 0.035"" Wall, 36"" Length",Small Parts,other,<a_185>,<a_185><b_253>,<c_2>,<a_251>,<a_251><b_54>
100,"Dixon BCN100 Brass Fitting, Hex Nipple, 1"" NPT Male",Dixon Valve & Coupling,connector_fitting,<a_242>,<a_242><b_2>,<c_148>,<a_108>,<a_108><b_140>
101,"Stainless Steel 304/304L Pipe Fitting, Nipple, Schedule 40 Welded, 4"" X 6"" NPT Male by Merit Brass",Merit Brass,connector_fitting,<a_206>,<a_206><b_89>,<c_1>,<a_108>,<a_108><b_42>
102,"Stainless Steel Tumbling Media Pins - 0.047"" Diameter, 0.255"" Length (5 lb Pack)",guntap,gauge_meter,<a_156>,<a_156><b_95>,<c_108>,<a_17>,<a_17><b_144>
103,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",Osborn International,other,<a_203>,<a_203><b_103>,<c_190>,<a_180>,<a_180><b_106>
104,#10 Solid Rubber Stopper,Craft Brew,other,<a_63>,<a_63><b_215>,<c_200>,<a_14>,<a_14><b_242>
105,Mist Coolant Lubrication Spray System For 8mm Air Pipe CNC Lathe Milling Drill,Bleiou,other,<a_47>,<a_47><b_121>,<c_26>,<a_79>,<a_79><b_154>
106,Wago Wire Connector 600 V Clear 4 Conductor 100 / Box,Wago Corporation,connector_fitting,<a_187>,<a_187><b_217>,<c_81>,<a_67>,<a_67><b_46>
107,"Polycarbonate (PC) Sheet, Transparent Clear, Standard Tolerance, ASTM D3935, 0.093"" Thickness, 12"" Width, 24"" Length",Small Parts,other,<a_156>,<a_156><b_183>,<c_8>,<a_17>,<a_17><b_62>
108,"Polycarbonate (PC) Sheet, Transparent Clear, Standard Tolerance, ASTM D3935, 0.08"" Thickness, 12"" Width, 24"" Length",Small Parts,other,<a_156>,<a_156><b_183>,<c_80>,<a_17>,<a_17><b_62>
109,"Arlington LPCG50-1 Low-Profile Strain Relief Cord Connector, 1/2 Inch",Arlington Industries,connector_fitting,<a_186>,<a_186><b_86>,<c_35>,<a_67>,<a_67><b_158>
110,"LEDMart(tm) 50w LED Flood Light (2) Cool White Lamp Landscape Outdoor Waterproof 90-240v, 120 Degree Beam Angle (2)",e-joy,other,<a_30>,<a_30><b_219>,<c_104>,<a_73>,<a_73><b_175>
111,"Hillman 830504 Stainless Steel 5/16-Inch Flat Washers, 100-Pack, 1 Pack",Hillman,other,<a_153>,<a_153><b_162>,<c_46>,<a_224>,<a_224><b_209>
112,Dremel EZ407SA EZ Drum Sanding Band and Mandrel,Dremel,other,<a_132>,<a_132><b_96>,<c_110>,<a_193>,<a_193><b_12>
113,"Bercom BER-2520-CT INC 6PK Handy 2520-CT Paint Pail Liners, 6-Count, Clear",Bercom,other,<a_20>,<a_20><b_88>,<c_251>,<a_197>,<a_197><b_126>
114,"Super Glue 15187 Super Glue, 12-Pack",Super Glue,adhesive_epoxy,<a_48>,<a_48><b_120>,<c_125>,<a_165>,<a_165><b_214>
115,"Industrial & Scientific"" />",F4 Tape,metadata_placeholder,<a_95>,<a_95><b_192>,<c_69>,<a_233>,<a_233><b_203>
116,Rescue Tape RT1000201202USCO,Rescue Tape,tape,<a_207>,<a_207><b_224>,<c_170>,<a_202>,<a_202><b_62>
117,"Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown",Gorilla,adhesive_epoxy,<a_48>,<a_48><b_79>,<c_140>,<a_165>,<a_165><b_107>
118,Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special,Grizzly,other,<a_181>,<a_181><b_36>,<c_210>,<a_104>,<a_104><b_118>
119,"Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)",Rubbermaid Commercial Products,other,<a_214>,<a_214><b_21>,<c_46>,<a_210>,<a_210><b_156>
120,"Vintage Shop PW-COIA-QACH Hydrometer 12"" Test Jar with Removable Base",Vintage Shop,gauge_meter,<a_1>,<a_1><b_139>,<c_102>,<a_229>,<a_229><b_99>
121,Magnum Media DUAL SCALE 0-32% Brix and 1.000-1.130SG Wort Refractometer RSG-100ATC Beer Home Brew,MAGNUM_MEDIA,gauge_meter,<a_107>,<a_107><b_124>,<c_0>,<a_107>,<a_107><b_26>
122,"Rust Bullet MB24SP Metal Blast Rust Treatment and Rust Remover, 24 oz. Spray Bottle, Clear Liquid",Rust Bullet,other,<a_225>,<a_225><b_98>,<c_70>,<a_173>,<a_173><b_7>
123,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",Red Devil,other,<a_119>,<a_119><b_216>,<c_4>,<a_173>,<a_173><b_194>
124,"Enkay 150 Carded Polishing Compound Kit, 4 Piece",Enkay,other,<a_97>,<a_97><b_123>,<c_123>,<a_52>,<a_52><b_196>
125,"Gorilla 6100101 Tape Handy Roll, 1-Pack, Black",Gorilla,tape,<a_59>,<a_59><b_28>,<c_15>,<a_202>,<a_202><b_52>
126,"Applied Magnets 2-pc, 1.5"" Strong NdFeB Neodymium Cup Magnet with Countersunk Hole.",Applied Magnets,other,<a_92>,<a_92><b_211>,<c_241>,<a_251>,<a_251><b_7>
127,"Morris 60202 Black Commercial Grade Vinyl Electrical Tape, 8.5 mil, 66' Length, 2"" Width",Morris,tape,<a_76>,<a_76><b_144>,<c_152>,<a_202>,<a_202><b_158>
128,"MegaDeal AC201710300001 12 Pack 2"" Swivel Caster Wheels Rubber Base with Top Plate & Bearing Heavy Duty",MegaDeal,other,<a_68>,<a_68><b_146>,<c_31>,<a_87>,<a_87><b_74>
129,Hilitchi 260pcs M3/4/5/6/8 Allen Head Socket Hex Grub Screw Set Assortment Kit with Plastic Box 12.9 Class Black Alloy Steel,Hilitchi,fastener,<a_64>,<a_64><b_177>,<c_161>,<a_224>,<a_224><b_153>
130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",Gorilla,tape,<a_59>,<a_59><b_226>,<c_154>,<a_202>,<a_202><b_52>
131,"110 Copper Round Rod, Unpolished (Mill) Finish, H04 Temper, ASTM B187, 0.25"" Diameter, 24"" Length",Small Parts,gauge_meter,<a_96>,<a_96><b_138>,<c_186>,<a_17>,<a_17><b_217>
132,"110 Copper Rectangular Bar, Unpolished (Mill) Finish, H04 Temper, ASTM B187, 1/4"" Thickness, 2"" Width, 36"" Length",Small Parts,other,<a_185>,<a_185><b_32>,<c_70>,<a_251>,<a_251><b_221>
133,"3M High Temperature Flue Tape, 15-Foot Roll",3M,tape,<a_249>,<a_249><b_52>,<c_50>,<a_79>,<a_79><b_9>
134,HOODDEAL 50pcs Waterproof Solder Seal Heat Shrink Butt Connectors with Soldering Sleeve,HOODDEAL,connector_fitting,<a_253>,<a_253><b_129>,<c_3>,<a_67>,<a_67><b_199>
135,"LDR Industries 516 B1210 Nylon Tubing, 1/2"" x 10', Clear",LDR Industries,other,<a_165>,<a_165><b_166>,<c_189>,<a_228>,<a_228><b_36>
136,"Stanley Wet/Dry Vacuum with Wall Mount, 1 Gallon, 1.5 Horsepower",Stanley,other,<a_213>,<a_213><b_113>,<c_106>,<a_24>,<a_24><b_2>
137,"Swordfish 31930 Stainless Steel Screw Assortment, 420 Piece",Swordfish,fastener,<a_231>,<a_231><b_5>,<c_245>,<a_224>,<a_224><b_150>
138,Fantronics 7mm Android Endoscope OTG Micro USB Endoscope Waterproof Borescopes Inspection Camera with 6 LED and 3.5M Cable,Fantronics,ventilation_fan,<a_236>,<a_236><b_96>,<c_242>,<a_180>,<a_180><b_55>
139,DuPont Teflon Non-Stick,DuPont,other,<a_12>,<a_12><b_251>,<c_0>,<a_197>,<a_197><b_204>
140,DuPont Teflon Silicone Lubricant,DuPont,other,<a_10>,<a_10><b_45>,<c_37>,<a_173>,<a_173><b_201>
141,Break-Free CLP-2 Cleaner Lubricant Preservative 4 oz (113.4 gram) Aerosol,BreakFree,other,<a_171>,<a_171><b_192>,<c_3>,<a_173>,<a_173><b_23>
142,High Temperature Heat Resistant Tape Sublimation Tape Koptan Tape 2 Rolls 10mm X 33m 100ft,MS WGO,tape,<a_195>,<a_195><b_25>,<c_175>,<a_206>,<a_206><b_209>
143,"GT-5000 (3 strips) Grip Tape for guns, cell phones, cameras, knives, tools - makes anything""Grippy"".",HI-TEC Industries,tape,<a_11>,<a_11><b_100>,<c_240>,<a_122>,<a_122><b_225>
144,3M Dual Lock Reclosable Fastener TB3561/TB3562 400/170 Clear 1 in x 10 ft (1 Mated Strip/Bag),3M Dual Lock,fastener,<a_175>,<a_175><b_167>,<c_189>,<a_68>,<a_68><b_32>
145,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing",Marrywindix,other,<a_220>,<a_220><b_59>,<c_150>,<a_17>,<a_17><b_14>
146,Dynarex 2201 Medical Surgical Face Masks (Pack of 50),Dynarex,other,<a_239>,<a_239><b_60>,<c_201>,<a_44>,<a_44><b_165>
147,Bentonite - 8 oz.,Simi Valley Home Brew,other,<a_74>,<a_74><b_77>,<c_39>,<a_150>,<a_150><b_240>
148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",Pipettes,other,<a_43>,<a_43><b_9>,<c_204>,<a_94>,<a_94><b_35>
