label,idx,item_id,family,title,r720e_l1,r720e_l1_size,r720e_l1_purity,r720e_stage10,r720e_exact_rank,r720e_pred1_item_id,r720e_pred1_family,r720e_pred1_title,r720b_stage10,r720b_exact_rank,orig_align_stage10,orig_align_exact_rank
e_win_vs_r720b,1059,3114,3d_filament,Inland 1.75mm Purple PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,7,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L12_present_leaf_missing_top10,14,exact_in_top10,8
e_win_vs_r720b,1109,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_168>,67,0.8059701492537313,exact_in_top10,1,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",L12_present_leaf_missing_top10,22,L12_present_leaf_missing_top10,16
e_win_vs_r720b,1115,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_160>,14,0.6428571428571429,exact_in_top10,5,140,other,DuPont Teflon Silicone Lubricant,L1_missing_top10,9999,L1_missing_top10,36
e_win_vs_r720b,1133,2507,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",<a_142>,77,0.987012987012987,exact_in_top10,2,1851,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",L12_present_leaf_missing_top10,14,L12_present_leaf_missing_top10,26
e_win_vs_r720b,1170,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_168>,67,0.8059701492537313,exact_in_top10,1,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",L12_present_leaf_missing_top10,37,L12_present_leaf_missing_top10,14
e_win_vs_r720b,1172,2993,3d_filament,"3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_168>,67,0.8059701492537313,exact_in_top10,4,2697,3d_filament,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",L12_present_leaf_missing_top10,16,exact_in_top10,4
e_win_vs_r720b,1174,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,2,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L12_present_leaf_missing_top10,9999,L12_present_leaf_missing_top10,16
e_win_vs_r720b,1231,3016,3d_filament,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",<a_142>,77,0.987012987012987,exact_in_top10,3,1851,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",L1_present_L2_missing_top10,33,L1_present_L2_missing_top10,21
e_win_vs_r720b,1347,40,other,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",<a_191>,20,1.0,exact_in_top10,8,401,fastener,"Crown Bolt 30092 3/4 Inch Zinc-Plated SAE Flat Washers, 25-Count",L1_missing_top10,9999,L1_missing_top10,31
e_win_vs_r720b,1377,3443,3d_filament,Inland 1.75mm Translucent Magenta PETG 3D Printer Filament - 1kg Spool (2.2 Lbs),<a_165>,58,0.9655172413793104,exact_in_top10,6,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L1_missing_top10,9999,L12_present_leaf_missing_top10,18
e_win_vs_r720b,1463,570,other,Bissell 9595A CleanView Bagless Vacuum with OnePass,<a_2>,13,1.0,exact_in_top10,10,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",L1_missing_top10,20,L1_missing_top10,9999
e_win_vs_r720b,1511,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,1,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L12_present_leaf_missing_top10,9999,L12_present_leaf_missing_top10,11
e_win_vs_r720b,1512,2734,3d_filament,Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,3,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L12_present_leaf_missing_top10,38,exact_in_top10,3
e_win_vs_r720b,1580,416,connector_fitting,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,<a_77>,25,0.6,exact_in_top10,1,416,connector_fitting,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,L1_missing_top10,9999,exact_in_top10,1
e_win_vs_r720b,1592,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_168>,67,0.8059701492537313,exact_in_top10,3,2333,3d_filament,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",L12_present_leaf_missing_top10,47,L12_present_leaf_missing_top10,12
e_win_vs_r720b,1597,723,other,"4"" x 6"" 4 Mil (Heavy Duty) Plymor Brand Zipper Reclosable Storage Bags, DispenserBag Pack of 100",<a_254>,30,1.0,exact_in_top10,4,1983,other,"Plymor 6"" x 9"", 4 Mil (Case of 1000) Heavy Duty Plastic Reclosable Zipper Bags",L1_present_L2_missing_top10,9999,L12_present_leaf_missing_top10,9999
e_win_vs_r720b,1607,686,fastener,"The Hillman Group 90293 10-32-Inch x 1/2-Inch Round Head Combo Machine Screw, 100-Pack",<a_15>,24,1.0,exact_in_top10,1,686,fastener,"The Hillman Group 90293 10-32-Inch x 1/2-Inch Round Head Combo Machine Screw, 100-Pack",L1_missing_top10,9999,L1_missing_top10,9999
e_miss_vs_r720b,84,959,other,"American Weigh Scales Calibration Weight Kit WGHTKIT, Class M2",<a_119>,9,0.7777777777777778,L1_missing_top10,14,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",exact_in_top10,6,L1_missing_top10,9999
e_miss_vs_r720b,113,3016,3d_filament,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",<a_142>,77,0.987012987012987,L1_present_L2_missing_top10,26,1851,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",exact_in_top10,9,L1_present_L2_missing_top10,47
e_miss_vs_r720b,128,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_160>,14,0.6428571428571429,L1_missing_top10,26,1257,gauge_meter,The Ghost Meter EMF Sensor,exact_in_top10,2,exact_in_top10,2
e_miss_vs_r720b,145,2721,3d_filament,"3D Solutech Navy Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_206>,13,0.7692307692307693,L1_missing_top10,17,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",exact_in_top10,5,exact_in_top10,4
e_miss_vs_r720b,152,465,other,"Dorman Hardware 4-9845 Peggable Wire Basket Set, 3-Pack",<a_201>,19,0.9473684210526315,L1_missing_top10,26,2174,other,"Schaeffer Manufacturing 02937590-012S Supreme Gear Lube SAE 75W-90, 1 quart",exact_in_top10,4,L1_present_L2_missing_top10,9999
e_miss_vs_r720b,170,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_160>,14,0.6428571428571429,L1_missing_top10,12,269,other,"Philips Sonicare HealthyWhite+ electric rechargeable toothbrush, HX8911",exact_in_top10,9,exact_in_top10,10
e_miss_vs_r720b,237,2475,other,"Gizmo Dorks 3D Print Removal Tool, 5-inch Blade",<a_168>,67,0.8059701492537313,L1_present_L2_missing_top10,9999,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",exact_in_top10,9,L1_present_L2_missing_top10,9999
e_miss_vs_r720b,259,157,connector_fitting,Yueton 100pcs Female Fully Insulated Wire Crimp Terminal Nylon Quick Connectors Wiring Spade,<a_103>,34,0.9705882352941176,L1_missing_top10,31,457,other,CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle,exact_in_top10,6,L1_present_L2_missing_top10,14
e_miss_vs_r720b,260,2617,connector_fitting,Yueton&reg; 100pcs Yellow 12/10-Gauge Economy Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal,<a_103>,34,0.9705882352941176,L12_present_leaf_missing_top10,14,2430,connector_fitting,Yueton 100pcs Red 22/18- Gauge Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal,exact_in_top10,10,L12_present_leaf_missing_top10,13
e_miss_vs_r720b,283,3097,3d_filament,HICTOP 5 Pcs 100K ohm NTC Thermistors/Temp Sensor for Reprap 3D printer,<a_208>,23,0.782608695652174,L1_missing_top10,9999,1847,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",exact_in_top10,10,L1_present_L2_missing_top10,9999
e_miss_vs_r720b,293,216,other,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,<a_120>,26,0.7692307692307693,L1_missing_top10,9999,1745,other,Uxcell Toggle Switch (10 Piece),exact_in_top10,2,L1_present_L2_missing_top10,9999
e_miss_vs_r720b,353,2311,adhesive_epoxy,"TEMCo 3/4"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft RED",<a_82>,37,0.43243243243243246,L12_present_leaf_missing_top10,9999,2103,adhesive_epoxy,"TEMCo 1/2"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft RED",exact_in_top10,5,L12_present_leaf_missing_top10,13
e_miss_vs_r720b,364,1847,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",<a_209>,36,1.0,L1_missing_top10,9999,2036,other,"3mm and 5mm LED Lights Emitting Diodes Assortment Set Kit for Arduino Bright White Red Blue Green Yellow, 300-Pack",exact_in_top10,1,exact_in_top10,1
e_miss_vs_r720b,406,84,gauge_meter,Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion,<a_38>,19,1.0,L1_missing_top10,13,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",exact_in_top10,6,L1_missing_top10,34
