variant,l1,l2,size,dominant_family,family_purity,brand_purity,family_counts,sample_titles
original,<a_24>,<b_116>,1,other,1.0,1.0,other:1,Shark Navigator Lift-Away Professional NV356E
original,<a_23>,<b_32>,1,connector_fitting,1.0,1.0,connector_fitting:1,Uxcell a11060700ux0191 RG6 F-Type Coax Coaxial Cable RF Connector Male (Pack of 5)
original,<a_150>,<b_179>,1,other,1.0,1.0,other:1,"A World Of Deals 1 oz. Non-Sterile Graduated Plastic Medicine Cups, 100 Piece"
original,<a_99>,<b_71>,1,adhesive_epoxy,1.0,1.0,adhesive_epoxy:1,"System Three 1100K16 T-88 Kit, 1 quart Bottle, Amber"
original,<a_159>,<b_248>,1,other,1.0,1.0,other:1,"Ludell 11604 High Grade Steel Splitting Wedge, 4lb"
original,<a_193>,<b_43>,2,tape,0.5,0.5,tape:1; other:1,"Set of Rubber Magnetic Vise Jaws. Protection for your Projects || Shop Fox D3229 Magnetic Vise Jaws, 3-1/2-Inch"
original,<a_193>,<b_36>,1,gauge_meter,1.0,1.0,gauge_meter:1,"4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel"
original,<a_193>,<b_97>,1,other,1.0,1.0,other:1,Bessey BV-NVJ Multi-Purpose Vise Jaws (Jaws Only)
original,<a_206>,<b_235>,1,fastener,1.0,1.0,fastener:1,Racor LDL-1B Ladder Lift
original,<a_193>,<b_69>,1,other,1.0,1.0,other:1,Olympia Tools 38-644 5-Inch Open End Multi-Purpose Vise
original,<a_108>,<b_55>,1,connector_fitting,1.0,1.0,connector_fitting:1,"Neiko 50463A SAE Hydraulic Grease Fitting Kit, 110 Piece | Straight and Angled | 1/4"", 1/8"
original,<a_224>,<b_81>,2,fastener,1.0,1.0,fastener:2,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack || The Hillman Group 591516 Small Anchors with Screws Assortment, 95-Pack"
original,<a_24>,<b_170>,2,other,1.0,1.0,other:2,"SharkNinja Rocket DeluxePro Ultra-Light Upright Corded Stick Vacuum, Bordeaux || SharkNinja Canister Upright Vacuum, TruePet Mini-Motorized Brush, Bordeaux"
original,<a_210>,<b_171>,2,other,1.0,0.5,other:2,"Augbunny 100% Cotton 5- by 7-Inch Muslin Bags with Drawstring, 12-Pack || Muslin Bags 10 Count"
original,<a_173>,<b_93>,2,other,0.5,0.5,other:1; gauge_meter:1,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon || Hot Max 27050 Tap Magic Cutting Fluid, 4 oz."
original,<a_165>,<b_151>,3,adhesive_epoxy,1.0,1.0,adhesive_epoxy:3,"Loctite 1329837 243 Blue Medium Strength Threadlockers, 0.34 oz., 10 mL, 3/4"" Thread || Loctite 242 Threadlocker Blue 50 ml || Loctite 22221 Purple 222MS Low Strength Thread Locker, 10 mL Bottle"
original,<a_71>,<b_242>,2,gauge_meter,1.0,1.0,gauge_meter:2,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10) || Precision Brand B24HS All Stainless Worm Gear Hose Clamp, 1-1/16"" - 2"" (Pack of 10)"
original,<a_87>,<b_0>,2,other,0.5,0.5,other:1; fastener:1,"4 Pack Caster Wheels Swivel Plate Stem Brake Casters On Red Polyurethane Wheels (4 inch with brake) || FactorDuty 4 Pack Caster Wheels Swivel Plate On Red Polyurethane Wheels with HD Hardware Kit (2"" No Brake)"
original,<a_244>,<b_24>,2,adhesive_epoxy,1.0,0.5,adhesive_epoxy:2,"Permatex 51813 Anaerobic Gasket Maker, 50 ml Tube || J-B Weld 31314 Red High Temperature RTV Silicone Gasket Maker and Sealant - 3 oz."
original,<a_244>,<b_4>,1,adhesive_epoxy,1.0,1.0,adhesive_epoxy:1,"Permatex 80050 Clear RTV Silicone Adhesive Sealant, 3 oz"
original,<a_173>,<b_82>,1,other,1.0,1.0,other:1,POR-15 40204 Metal Prep - 1 quart
original,<a_193>,<b_192>,2,gauge_meter,1.0,1.0,gauge_meter:2,"Brush Research FLEX-HONE Cylinder Hone, GB Series, Silicon Carbide Abrasive, 3-1/4"" (83 mm) Diameter, 240 Grit Size || Brush Research FLEX-HONE Cylinder Hone, BC Series, Silicon Carbide Abrasive, 1-1/8"" (29 mm) Diameter, 320 Grit Size"
original,<a_158>,<b_14>,2,other,1.0,0.5,other:2,New 12V 5A 12V 19mm Red LED Momentary Push Button Metal Switch Car Boat Speakers Bells Horn || 5PCS 130-16140 6V 12500RPM DC Motor w Varistor for Smart Car Model Toy
original,<a_91>,<b_95>,3,3d_filament,0.6666666666666666,0.3333333333333333,3d_filament:2; other:1,"Geeetech I3 Pro C, Dual Extruder,double Head,reprap Pursa I3 3d Printer,two-color Printing, High Resolution || XYZprinting da Vinci 1.0 AiO All-in-One 3D Printer (Scan/Edit/Print) || XCSOURCE 3D Printer MK8 Extruder Aluminum Frame Block DIY Kit Reprap i3 All Metal BI090"
original,<a_223>,<b_198>,47,3d_filament,1.0,1.0,3d_filament:47,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue || HATCHBOX Glow in the Dark PLA 3D Printer Filament, Dimension Accuracy +/-0.03 mm, 1 kg Spool, 1.75 mm - Blue || HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White || HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black || HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark"
original,<a_223>,<b_29>,3,3d_filament,1.0,1.0,3d_filament:3,HATCHBOX 1 Spool 3D Printer Filament Tabletop Wall Mount Rack || HATCHBOX 2 Spool 3D Printer Filament Tabletop Wall Mount Rack || HATCHBOX 4 Spool 3D Printer Filament Tabletop Wall Mount Rack
original,<a_104>,<b_78>,1,gauge_meter,1.0,1.0,gauge_meter:1,"T&uuml;rlen Precision TEST DIAL INDICATOR 7 JEWELS .0005"" 0-15-0"
original,<a_15>,<b_206>,1,fastener,1.0,1.0,fastener:1,"Industrial & Scientific"" />"
original,<a_173>,<b_209>,1,other,1.0,1.0,other:1,CRC 5037 White Lithium Grease - 10 Wt Oz.
original,<a_87>,<b_242>,3,adhesive_epoxy,0.6666666666666666,0.6666666666666666,adhesive_epoxy:2; fastener:1,"RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity) || RhinoGear 11912ABMI RhinoRamps MAX Vehicle Ramp - Pair (16,000lb. GVW Capacity) || MaxxHaul 70073 Solid Rubber Heavy Duty Wheel Chock with Eyebolt"
original,<a_165>,<b_247>,1,adhesive_epoxy,1.0,1.0,adhesive_epoxy:1,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear"
original,<a_67>,<b_56>,8,gauge_meter,1.0,1.0,gauge_meter:8,American Terminal E-FFR250N-100 22/18-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects || American Terminal E-FFB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects || American Terminal E-FMB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Male Quick Disconnects || American Terminal E-FFY250N-100 12/10-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects || American Terminal E-FMR250N-100 22/18-Gauge Economy Nylon Fully-Insulated Male Quick Disconnects
original,<a_165>,<b_214>,2,adhesive_epoxy,1.0,0.5,adhesive_epoxy:2,"Loctite Ultra Gel Control Super Glue 4-Gram (1363589) || Super Glue 15187 Super Glue, 12-Pack"
original,<a_24>,<b_188>,1,other,1.0,1.0,other:1,"Shop-Vac 2030100 1.5-Gallon 2.0 Peak HP Wet Dry Vacuum, Small, Red/Black"
original,<a_36>,<b_235>,2,gauge_meter,1.0,0.5,gauge_meter:2,B&K Precision 879B Dual Display Handheld Deluxe Universal LCR Meter with Backlit Display || Uni-T B4Q094 UT210E True RMS AC/DC Current Mini Clamp M W Capacitance Tester
original,<a_104>,<b_17>,3,gauge_meter,0.6666666666666666,0.3333333333333333,gauge_meter:2; adhesive_epoxy:1,"Anytime Tools Dial Caliper 6"" / 150mm DUAL Reading Scale METRIC SAE Standard INCH MM || MLTOOLS Digital Caliper - Stainless Steel 6 inch / 150mm Inch / Metric Precision LCD Digital Caliper 68202 || YKS 6 Inch Carbon Fiber Composite Vernier Digital Caliper Ruler With Big Screen"
original,<a_210>,<b_90>,2,other,0.5,1.0,other:1; fastener:1,"WEN 73002 500-Pound Capacity Service Cart || WEN 73004 500 lb Capacity Service Cart, X-Large"
original,<a_24>,<b_85>,1,gauge_meter,1.0,1.0,gauge_meter:1,Shop-Vac 9197000 2.5-Inch Gutter Cleaning Kit
original,<a_104>,<b_185>,1,gauge_meter,1.0,1.0,gauge_meter:1,Brown & Sharpe 599-792-30 Adjustable Spring Tensioned Tap Guide
original,<a_17>,<b_36>,1,gauge_meter,1.0,1.0,gauge_meter:1,"W1 Tool Steel Round Rod, Polished Finish, Precision Ground, Annealed, 0.0625"" Diameter, 36"" Length"
original,<a_236>,<b_116>,2,other,1.0,1.0,other:2,"MLCS 9080 Billy Pedal Foot Switch, Deadman Style || MLCS 9089 Billy Pedal Foot Switch, 2 Step ON/OFF(Continuous Running)"
original,<a_87>,<b_196>,1,gauge_meter,1.0,1.0,gauge_meter:1,"Vestil FWD-1824-3R Fiberwood Dolly with 3"" Rubber Casters, 800 lbs Capacity, 23-3/4"" Length x 17-7/8"" Width x 4-11/16"" H"
original,<a_44>,<b_4>,4,other,1.0,0.5,other:4,"Spectra 360 Electrode Gel - Parker Laboratories - 60g (2oz) Tube - (Pack of 3) || SPECTRA 360 12-08 Electrode Gel, 250 g Tube (Pack of 2) || Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube || Spectra 360 1208 Electrode Gel - Parker Laboratories - 8.5 oz Tube - (Pack of 3)"
original,<a_17>,<b_91>,3,other,1.0,0.3333333333333333,other:3,Metronic 12 inch Impulse Bag Sealer Poly Bag Sealing Machine Heat Seal Closer with Repair Kit(12 inch) || Tach-It B-1 Single Edge Industrial Razor Blade (Pack of 100) || Auto Accessories Dealer Small Universal Slotted Polyurethane Jack Pad Frame Protector by TMB
original,<a_206>,<b_120>,3,gauge_meter,1.0,1.0,gauge_meter:3,"Eagle 1654 Yellow Blow-Molded HDPE Salvage Drum with Metal Ring Lever-Lock Lid, 20 gallon Capacity, 21"" Height, 21"" Diam || Eagle 1610MB Blue High Density Polyethylene Lab Pack Drum with Metal Lever-lock Lid, 14 gallon Capacity, 26.5"" Height, 1 || Eagle 1601MB Blue High Density Polyethylene Lab Pack Drum with Metal Lever-lock Lid, 30 gallon Capacity, 28.5"" Height, 2"
original,<a_193>,<b_51>,1,other,1.0,1.0,other:1,HHIP 6 X 3-1/8 X 3-1/2 INCH CAST IRON V BLOCK SET (3402-1006)
original,<a_159>,<b_63>,1,other,1.0,1.0,other:1,"Jumbo 51pc Drum Sanding Kit - Fits Dremel - Includes Rubber Drum Mandrels - 1/2, 3/8 & 1/4"
original,<a_42>,<b_135>,3,other,0.6666666666666666,0.6666666666666666,other:2; fastener:1,10pcs Mini Cabinet Drawer Butt Hinge || 10 Pcs Silver Tone Metal Butt Hinge for Window Cupboard || 10Pcs Mini Iron Butterfly Hinges Cabinet Drawer Door Butt Hinge
original,<a_202>,<b_162>,1,tape,1.0,1.0,tape:1,"Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6)"
original,<a_159>,<b_172>,1,gauge_meter,1.0,1.0,gauge_meter:1,PSI LCENTLT2 No. 2MT Heavy Duty Live Tailstock Center
original,<a_224>,<b_146>,8,fastener,1.0,1.0,fastener:8,"Brass Wood Screw, Plain Finish, Flat Head, Slotted Drive, 3/8"" Length, #6 Threads (Pack of 100) || 316 Stainless Steel Machine Screw, Plain Finish, Flat Head, Phillips Drive, 1/2"" Length, #10-24 Threads (Pack of 25) || Steel Machine Screw, Zinc Plated Finish, Pan Head, Phillips Drive, 3/4"" Length, #6-32 Threads (Pack of 100) || Stainless Steel Sheet Metal Screw, Plain Finish, Oval Head, Phillips Drive, 1/2"" Length, #4-24 Threads (Pack of 100) || Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 3/4"" Length, #10-32 Threads (Pack of 100)"
original,<a_206>,<b_32>,1,adhesive_epoxy,1.0,1.0,adhesive_epoxy:1,"RapidFix Dual Adhesive System, 25 mL,Boss Products USA,RFX7121100,RFX7121101"" />"
original,<a_236>,<b_82>,2,connector_fitting,0.5,1.0,connector_fitting:1; other:1,"Packard C230B 2 Pole 30 Amp Contactor, 120 Voltage Coil || Packard C240B Packard Contactor 2 Pole 40 Amps 120 Coil Voltage"
original,<a_159>,<b_64>,2,fastener,0.5,0.5,fastener:1; adhesive_epoxy:1,"25-Pack 7/64"" Stainless Steel Screw Eye Rings || 44pc 8mm Mini Brass Hinge Replacement Wood Screws - Great for Arts & Crafts"
original,<a_17>,<b_20>,1,gauge_meter,1.0,1.0,gauge_meter:1,Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;
original,<a_104>,<b_186>,2,gauge_meter,1.0,0.5,gauge_meter:2,Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversi || TruePower 04-0446 Stainless Steel Digital Vernier Caliper with Inch Fractions/Decimal SAE/Metric Unit Display & Conversi
original,<a_104>,<b_73>,1,gauge_meter,1.0,1.0,gauge_meter:1,TEKTON 7169 0-1-Inch Dial Indicator
original,<a_104>,<b_97>,1,gauge_meter,1.0,1.0,gauge_meter:1,"Science Purchase 0604CAL6$ Stainless Steel Electronic LCD Digital Vernier Caliper Gauge Micrometer with Carrying Case, 6"
original,<a_197>,<b_220>,2,gauge_meter,0.5,0.5,gauge_meter:1; fastener:1,Wixey WR510 Digital Planer Readout with Fractions || PanaVise 308 Weighted Base Mount
original,<a_44>,<b_9>,5,other,1.0,0.4,other:5,"SafeTouch Nitrile Exam Gloves, Non Latex, Powder Free, Small, 100/Box || Nitrile Exam Glove (non-latex) PF Medium Blue 100/BX || Dynarex Nitrile Exam Gloves, Black, X-Large, 100 Count || Dynarex 2513 SafeTouch Nitrile Exam Gloves, Non-Latex, Powder Free, Large, Blue (Pack of 100) || VersaPro Black Nitrile Exam Gloves, Powder-Free, Medium, Box/100"
original,<a_206>,<b_94>,1,other,1.0,1.0,other:1,Gorilla Gripper 44010 Panel Carrier
original,<a_108>,<b_92>,2,gauge_meter,0.5,0.5,gauge_meter:1; connector_fitting:1,"Woodstock W1038 4-Inch Quick Connect and Disconnect || Flex-Drain ADP53102 Downspout Adaptor, Landscaping Drain Pipe Adapter 3 by 4 by 4-Inch"
original,<a_42>,<b_117>,4,gauge_meter,1.0,1.0,gauge_meter:4,"GREX P6/MP-3 23 Gauge Multi-Pack Headless Pins (3,000 per box) || GREX P6/20L 23 Gauge 3/4-Inch Length Headless Pins (10,000 per box) || GREX P6/35L 23 Gauge 1-3/8-Inch Length Headless Pins (10,000 per box) || GREX P6/12L 23 Gauge 1/2-Inch Length Headless Pins (10,000 per box)"
original,<a_228>,<b_158>,2,gauge_meter,1.0,1.0,gauge_meter:2,"White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25' Length || White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10' Length"
original,<a_73>,<b_87>,5,connector_fitting,1.0,1.0,connector_fitting:5,"uxcell 5 Pcs Dual Row 4 Position Covered Screw Terminal Strip 600V 25A || 5 Pcs Dual Row 5 Position Screw Terminal Strip 600V 15A || uxcell 5Pcs 2 Rows 12P Wire Connector Screw Terminal Barrier Block 300V 20A || Uxcell a12031300ux0388 6 Position Screw Terminal Covered Barrier Strip, 5 Piece, 600V, 25 Amp || Uxcell a13081200ux0271 600V 15A 12 Positions 12P Dual Rows Covered Barrier Screw Terminal Block (Pack of 5)"
original,<a_94>,<b_95>,2,gauge_meter,1.0,0.5,gauge_meter:2,1 X Hydrometer - Triple Scale || 1 X Glass Hydrometer Test Jar
original,<a_224>,<b_209>,10,fastener,0.5,0.5,fastener:5; gauge_meter:5,"18-8 Stainless Steel Flat Washer, Plain Finish, #10 Hole Size, 13/64"" ID, 7/16"" OD, 0.03"" Nominal Thickness (Pack of 100 || Hillman 830504 Stainless Steel 5/16-Inch Flat Washers, 100-Pack, 1 Pack || Crown Bolt 30092 3/4 Inch Zinc-Plated SAE Flat Washers, 25-Count || Hillman 830502 Flat Washer, Stainless-Steel || The Hillman Group 300018 Split Lock Zinc Washer, 1/4-Inch, 100-Pack"
original,<a_15>,<b_155>,1,gauge_meter,1.0,1.0,gauge_meter:1,"Industrial & Scientific"" />"
original,<a_251>,<b_54>,3,gauge_meter,1.0,1.0,gauge_meter:3,"Stainless Steel 304L Welded Round Tubing, 2"" OD, 1.93"" ID, 0.035"" Wall, 36"" Length || Cold Rolled Steel A513 Drawn Over Mandrel Round Tubing, ASTM A513, 1-1/4"" OD, 1.01"" ID, 0.12"" Wall, 72"" Length || Stainless Steel 304 Welded Round Tubing, 3/4"" OD, 0.652"" ID, 0.049"" Wall, 72"" Length"
original,<a_108>,<b_42>,7,gauge_meter,0.7142857142857143,1.0,gauge_meter:5; connector_fitting:2,"Stainless Steel 304/304L Pipe Fitting, Nipple, Schedule 40 Welded, 4"" X 6"" NPT Male by Merit Brass || Stainless Steel 304/304L Pipe Fitting, Nipple, Schedule 40 Seamless, 1"" X 5-1/2"" NPT Male || Red Brass Pipe Fitting, Nipple, Schedule 40 Seamless, 1/4"" NPT Male X 1-1/2"" Length || Red Brass Pipe Fitting, Nipple, Schedule 40 Seamless, 1/4"" NPT Male X 4"" Length || Stainless Steel 316/316L Pipe Fitting, Nipple, Schedule 40, Seamless, 1"" X 5-1/2"" NPT Male by Merit Brass"
original,<a_17>,<b_144>,2,gauge_meter,1.0,1.0,gauge_meter:2,"Stainless Steel Tumbling Media Pins - 0.047"" Diameter, 0.255"" Length (5 lb Pack) || Stainless Steel Tumbling Media Pins - 0.047"" Diameter, 0.255"" Length (2.5 lb Pack)"
original,<a_180>,<b_106>,1,other,1.0,1.0,other:1,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length"
original,<a_14>,<b_242>,1,gauge_meter,1.0,1.0,gauge_meter:1,#10 Solid Rubber Stopper
original,<a_79>,<b_154>,1,gauge_meter,1.0,1.0,gauge_meter:1,Mist Coolant Lubrication Spray System For 8mm Air Pipe CNC Lathe Milling Drill
original,<a_67>,<b_46>,2,connector_fitting,0.5,0.5,connector_fitting:1; gauge_meter:1,Wago Wire Connector 600 V Clear 4 Conductor 100 / Box || 50pcs Premium Brass 18-22 (RED) Gauge Male-Female Solderless Crimp Bullet Plug Connectors
original,<a_17>,<b_62>,5,other,1.0,1.0,other:5,"Polycarbonate (PC) Sheet, Transparent Clear, Standard Tolerance, ASTM D3935, 0.093"" Thickness, 12"" Width, 24"" Length || Polycarbonate (PC) Sheet, Transparent Clear, Standard Tolerance, ASTM D3935, 0.08"" Thickness, 12"" Width, 24"" Length || HDPE (High Density Polyethylene) Sheet, Opaque Off-White, Standard Tolerance, ASTM D4976-245, 0.250"" Thickness, 12"" Widt || PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Le || UHMW (Ultra High Molecular Weight Polyethylene) Sheet, Opaque White, Standard Tolerance, ASTM D4020, 3/4"" Thickness, 12"""
original,<a_67>,<b_158>,1,gauge_meter,1.0,1.0,gauge_meter:1,"Arlington LPCG50-1 Low-Profile Strain Relief Cord Connector, 1/2 Inch"
original,<a_73>,<b_175>,3,other,0.6666666666666666,0.3333333333333333,other:2; adhesive_epoxy:1,"LEDMart(tm) 50w LED Flood Light (2) Cool White Lamp Landscape Outdoor Waterproof 90-240v, 120 Degree Beam Angle (2) || Joe Knows Electronics 5mm Clear Round LED Assortment (100 Pack, 5 Colors, 20 of Each) || uxcell 20 Pcs High Power 2 Pin 3W White LED Bead Emitters 170-190Lm 6000K"
original,<a_193>,<b_12>,1,other,1.0,1.0,other:1,Dremel EZ407SA EZ Drum Sanding Band and Mandrel
original,<a_197>,<b_126>,2,tape,0.5,0.5,tape:1; gauge_meter:1,"Bercom BER-2520-CT INC 6PK Handy 2520-CT Paint Pail Liners, 6-Count, Clear || Pentek DGD-2501 Spun Polypropylene Filter Cartridge, 10"" x 4-1/2"
original,<a_233>,<b_203>,1,fastener,1.0,1.0,fastener:1,"Industrial & Scientific"" />"
