idx,item_id,family,title,r720e_target_sid,r720e_pred1_sid,r720e_hit1,r720e_hit3,r720e_hit5,r720e_hit10,r720e_top1_l1,r720e_top10_l1,r720e_top1_l2,r720e_top10_l2,r720e_top1_l3,r720e_top10_l3,r720e_l1,r720e_l1_size,r720e_l1_purity,r720e_l1_top_family,r720e_pred1_item_id,r720e_pred1_title,r720e_pred1_family,r720b_target_sid,r720b_pred1_sid,r720b_hit1,r720b_hit3,r720b_hit5,r720b_hit10,r720b_top1_l1,r720b_top10_l1,r720b_top1_l2,r720b_top10_l2,r720b_top1_l3,r720b_top10_l3,r720b_l1,r720b_l1_size,r720b_l1_purity,r720b_l1_top_family,r720b_pred1_item_id,r720b_pred1_title,r720b_pred1_family,orig_align_target_sid,orig_align_pred1_sid,orig_align_hit1,orig_align_hit3,orig_align_hit5,orig_align_hit10,orig_align_top1_l1,orig_align_top10_l1,orig_align_top1_l2,orig_align_top10_l2,orig_align_top1_l3,orig_align_top10_l3,orig_align_l1,orig_align_l1_size,orig_align_l1_purity,orig_align_l1_top_family,orig_align_pred1_item_id,orig_align_pred1_title,orig_align_pred1_family,orig_strong_target_sid,orig_strong_pred1_sid,orig_strong_hit1,orig_strong_hit3,orig_strong_hit5,orig_strong_hit10,orig_strong_top1_l1,orig_strong_top10_l1,orig_strong_top1_l2,orig_strong_top10_l2,orig_strong_top1_l3,orig_strong_top10_l3,orig_strong_l1,orig_strong_l1_size,orig_strong_l1_purity,orig_strong_l1_top_family,orig_strong_pred1_item_id,orig_strong_pred1_title,orig_strong_pred1_family,v2_target_sid,v2_pred1_sid,v2_hit1,v2_hit3,v2_hit5,v2_hit10,v2_top1_l1,v2_top10_l1,v2_top1_l2,v2_top10_l2,v2_top1_l3,v2_top10_l3
10,2253,tape,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",<a_91><b_183><c_8>,<a_123><b_54><c_63>,0,0,0,0,0,0,0,0,0,0,<a_91>,26,0.9230769230769231,tape,2157,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",3d_filament,<a_179><b_67><c_219>,<a_237><b_57><c_120>,0,0,0,0,0,0,0,0,0,0,<a_179>,18,1.0,tape,2158,"eSUN 3D 1.75mm PETG Green Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Green",3d_filament,<a_233><b_86><c_124>,<a_223><b_144><c_153>,0,0,0,0,0,0,0,0,0,0,<a_233>,20,0.5,tape,1795,"eSUN 1.75mm Black PLA 3D Printer filament 1kg Spool (2.2lbs), Black",3d_filament,<a_233><b_86><c_124>,<a_223><b_86><c_176>,0,0,0,0,0,0,0,0,0,0,<a_233>,20,0.5,tape,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,<a_223><b_82><c_36>,<a_211><b_35><c_200>,0,0,0,0,0,0,0,0,0,0
11,450,tape,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",<a_122><b_50><c_69>,<a_191><b_199><c_125>,0,1,1,1,0,1,0,1,0,1,<a_122>,26,1.0,tape,457,CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle,other,<a_179><b_162><c_202>,<a_220><b_59><c_150>,0,0,0,0,0,0,0,0,0,0,<a_179>,18,1.0,tape,145,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing",other,<a_202><b_198><c_80>,<a_173><b_93><c_124>,0,0,0,0,0,1,0,0,0,0,<a_202>,117,0.9829059829059829,tape,40,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",other,<a_202><b_198><c_80>,<a_173><b_93><c_136>,0,0,0,0,0,1,0,1,0,0,<a_202>,117,0.9829059829059829,tape,74,"Hot Max 27050 Tap Magic Cutting Fluid, 4 oz.",other,<a_177><b_238><c_163>,<a_114><b_173><c_158>,0,0,0,1,0,1,0,1,0,1
12,59,adhesive_epoxy,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),<a_53><b_69><c_81>,<a_115><b_225><c_185>,0,0,0,0,0,0,0,0,0,0,<a_53>,19,0.9473684210526315,adhesive_epoxy,1197,TapeCase 3432 1in X 5yd Red Reflective Tape (1 Roll),tape,<a_48><b_208><c_155>,<a_14><b_46><c_121>,0,0,0,0,0,0,0,0,0,0,<a_48>,25,1.0,adhesive_epoxy,1840,TapeCase 3430 0.75in X 5yd White Reflective Tape (1 Roll),tape,<a_165><b_214><c_30>,<a_68><b_121><c_7>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,1198,TapeCase 3432 1in X 50yd Red Reflective Tape (1 Roll),tape,<a_165><b_214><c_30>,<a_68><b_121><c_117>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,1840,TapeCase 3430 0.75in X 5yd White Reflective Tape (1 Roll),tape,<a_63><b_21><c_254>,<a_74><b_16><c_233>,0,0,0,0,0,0,0,0,0,0
13,1374,other,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,<a_100><b_231><c_0>,<a_237><b_63><c_78>,0,0,0,0,0,0,0,0,0,0,<a_100>,14,0.8571428571428571,other,2179,iRobot Roomba 860 Robot Vacuum,other,<a_216><b_184><c_138>,<a_235><b_227><c_207>,0,0,0,0,0,0,0,0,0,0,<a_216>,13,0.8461538461538461,other,2164,"Rubbermaid Commercial Maximizer Mop Head, Blend, Medium, Blue (1924783)",other,<a_104><b_85><c_106>,<a_71><b_225><c_89>,0,0,0,0,0,0,0,0,0,0,<a_104>,60,0.6333333333333333,gauge_meter,794,"Keeper (07512) Koastal 12' x 1-1/2"" Lashing Strap with Protective Cover, (Pack of 2)",other,<a_104><b_85><c_106>,<a_24><b_91><c_4>,0,0,0,0,0,0,0,0,0,0,<a_104>,60,0.6333333333333333,gauge_meter,2352,iRobot Roomba 870 Robotic Vacuum Cleaner,other,<a_111><b_5><c_215>,<a_95><b_6><c_250>,0,0,0,0,0,0,0,0,0,0
14,3340,other,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",<a_118><b_18><c_9>,<a_15><b_62><c_170>,0,0,0,0,0,0,0,0,0,0,<a_118>,25,0.96,other,1949,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threads (Pack of 100)",fastener,<a_101><b_10><c_209>,<a_130><b_49><c_1>,0,0,0,0,0,0,0,0,0,0,<a_101>,23,1.0,other,1949,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threads (Pack of 100)",fastener,<a_73><b_10><c_6>,<a_224><b_81><c_180>,0,0,0,0,0,0,0,0,0,0,<a_73>,114,0.7105263157894737,other,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",other,<a_73><b_10><c_6>,<a_224><b_81><c_180>,0,0,0,0,0,1,0,0,0,0,<a_73>,114,0.7105263157894737,other,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",other,<a_76><b_76><c_122>,<a_87><b_182><c_60>,0,0,0,0,0,0,0,0,0,0
15,352,other,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,<a_201><b_55><c_139>,<a_173><b_96><c_245>,0,0,0,0,0,0,0,0,0,0,<a_201>,19,0.9473684210526315,other,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",tape,<a_166><b_93><c_213>,<a_131><b_6><c_0>,0,0,0,0,0,0,0,0,0,0,<a_166>,15,0.7333333333333333,other,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_71><b_70><c_24>,<a_202><b_100><c_73>,0,0,0,0,0,0,0,0,0,0,<a_71>,118,0.8305084745762712,other,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",tape,<a_71><b_70><c_24>,<a_202><b_100><c_73>,0,0,0,0,0,0,0,0,0,0,<a_71>,118,0.8305084745762712,other,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",tape,<a_254><b_133><c_113>,<a_242><b_231><c_123>,0,0,0,0,0,0,0,0,0,0
16,516,other,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",<a_201><b_219><c_110>,<a_173><b_96><c_245>,0,0,0,0,0,0,0,0,0,0,<a_201>,19,0.9473684210526315,other,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",tape,<a_166><b_116><c_94>,<a_76><b_151><c_121>,0,0,0,0,0,0,0,0,0,0,<a_166>,15,0.7333333333333333,other,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",tape,<a_71><b_127><c_119>,<a_202><b_100><c_73>,0,0,0,0,0,1,0,0,0,0,<a_71>,118,0.8305084745762712,other,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",tape,<a_71><b_127><c_119>,<a_107><b_93><c_0>,0,0,0,0,0,1,0,0,0,0,<a_71>,118,0.8305084745762712,other,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_254><b_119><c_212>,<a_209><b_169><c_44>,0,0,0,0,0,1,0,0,0,0
17,152,connector_fitting,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",<a_163><b_54><c_113>,<a_25><b_85><c_85>,0,0,0,0,0,0,0,0,0,0,<a_163>,19,0.7894736842105263,other,1745,Uxcell Toggle Switch (10 Piece),other,<a_165><b_71><c_94>,<a_99><b_213><c_161>,0,0,0,0,0,0,0,0,0,0,<a_165>,16,0.5,connector_fitting,2229,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,other,<a_228><b_113><c_68>,<a_210><b_171><c_62>,0,0,0,1,0,1,0,1,0,1,<a_228>,96,0.5729166666666666,other,2607,Muslin Bags 10 Count,other,<a_228><b_113><c_68>,<a_228><b_187><c_137>,0,0,0,0,1,1,0,0,0,0,<a_228>,96,0.5729166666666666,other,399,Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES,other,<a_101><b_228><c_95>,<a_44><b_237><c_210>,0,0,0,0,0,0,0,0,0,0
18,1080,other,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",<a_217><b_238><c_224>,<a_163><b_54><c_113>,0,0,0,0,0,0,0,0,0,0,<a_217>,13,0.9230769230769231,other,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,<a_86><b_235><c_170>,<a_99><b_213><c_161>,0,0,0,0,0,0,0,0,0,0,<a_86>,21,0.9523809523809523,other,2229,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,other,<a_94><b_195><c_69>,<a_210><b_171><c_62>,0,0,0,0,0,0,0,0,0,0,<a_94>,111,0.8468468468468469,other,2607,Muslin Bags 10 Count,other,<a_94><b_195><c_69>,<a_228><b_113><c_68>,0,0,0,0,0,0,0,0,0,0,<a_94>,111,0.8468468468468469,other,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,<a_251><b_35><c_218>,<a_44><b_237><c_210>,0,0,0,0,0,0,0,0,0,0
19,326,adhesive_epoxy,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,<a_89><b_146><c_66>,<a_148><b_92><c_140>,0,0,0,0,0,0,0,0,0,0,<a_89>,16,1.0,adhesive_epoxy,1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",tape,<a_211><b_78><c_9>,<a_59><b_100><c_111>,0,0,0,0,0,0,0,0,0,0,<a_211>,20,0.95,adhesive_epoxy,1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",tape,<a_165><b_59><c_20>,<a_210><b_46><c_168>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,638,"Amamax Clear Zip Lock Bags, 4 X 6"", 500 Count",other,<a_165><b_59><c_20>,<a_210><b_239><c_121>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,812,ShipGuard 600 Ziplock Bags 6 Assorted Sizes Clear 2MIL baggies1.5x2 2x2 2x3 3x3 3x4 3x5,other,<a_135><b_25><c_215>,<a_171><b_165><c_238>,0,0,0,0,0,0,0,0,0,0
