item_id,item_title,family,target_sid,target_l1,target_l2,eval_count,hit1_rate,hit10_rate,mean_rank,top1_same_family,top1_history_repeat,l1_bucket_size,l2_bucket_size
2210,"HHIP 8000-0001 2 Flute High Speed Steel End Mill Set, 6 Piece, 3/8"" Shank",other,<a_193><b_215><c_181>,<a_193>,<a_193><b_215>,11,0.0,0.0,999.0,0.6363636363636364,0.5454545454545454,133,1
3468,"3D Solutech Real Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,<a_223><b_246><c_0>,<a_223>,<a_223><b_246>,11,0.0,0.0,198.63636363636363,1.0,0.18181818181818182,247,2
139,DuPont Teflon Non-Stick,other,<a_197><b_204><c_0>,<a_197>,<a_197><b_204>,10,0.0,0.0,708.1,0.4,0.8,60,2
1755,BIQU GT2 20Teeth 5mm Bore Aluminum Timing Belt Idler Pulley for 3D Printer 6mm Width Timing Belt (Pack of 5pcs),3d_filament,<a_159><b_251><c_245>,<a_159>,<a_159><b_251>,10,0.0,0.0,999.0,0.9,0.1,52,1
2402,Elegoo EL-CP-003 3pcs MB-102 Breadboard 830 Point Solderless Prototype PCB Board Kit for Arduino Proto Shield Distribution Connecting Blocks,adhesive_epoxy,<a_73><b_185><c_122>,<a_73>,<a_73><b_185>,10,0.0,0.0,709.0,0.0,0.4,114,1
2730,PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; White Connector Tubing for 3D Printer - 2.0 Meters,3d_filament,<a_223><b_147><c_197>,<a_223>,<a_223><b_147>,10,0.0,0.0,999.0,0.8,0.2,247,2
83,Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;,gauge_meter,<a_17><b_20><c_23>,<a_17>,<a_17><b_20>,9,0.0,0.0,999.0,0.1111111111111111,0.5555555555555556,99,1
656,Uni-T B4Q094 UT210E True RMS AC/DC Current Mini Clamp M W Capacitance Tester,gauge_meter,<a_36><b_235><c_249>,<a_36>,<a_36><b_235>,9,0.0,0.0,999.0,0.1111111111111111,0.5555555555555556,54,2
1163,"AUTOTOOLHOME 1/8"" 3/16"" 1/4"" 5/16"" 3/8"" 1/2""high Speed Steel HSS 4 Flute Straight End Mill Cutter Set of 6",other,<a_193><b_19><c_2>,<a_193>,<a_193><b_19>,9,0.0,0.0,999.0,0.6666666666666666,0.5555555555555556,133,6
1466,Seek Thermal Compact Imager for iOS-Apple,other,<a_36><b_64><c_122>,<a_36>,<a_36><b_64>,9,0.0,0.0,890.1111111111111,0.5555555555555556,0.8888888888888888,54,1
1923,POWERTEC 71007 110/220V Paddle Switch,other,<a_236><b_233><c_16>,<a_236>,<a_236><b_233>,9,0.0,0.0,999.0,0.4444444444444444,0.4444444444444444,84,1
2044,"Gorilla 100 Percent Silicone Sealant Caulk, 2.8 ounce Squeeze Tube, Clear",3d_filament,<a_244><b_52><c_0>,<a_244>,<a_244><b_52>,9,0.0,0.0,999.0,0.0,0.3333333333333333,72,1
201,"ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D",connector_fitting,<a_67><b_185><c_54>,<a_67>,<a_67><b_185>,8,0.0,0.0,877.625,0.25,0.375,119,1
278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,<a_202><b_118><c_74>,<a_202>,<a_202><b_118>,8,0.0,0.0,999.0,0.25,0.75,117,1
415,"Miller Electric 229895 Gage, Wire Metal Sizes",other,<a_104><b_251><c_25>,<a_104>,<a_104><b_251>,8,0.0,0.0,876.5,0.375,0.75,60,1
469,CO-Z 5pcs Hss Cobalt Multiple Hole 50 Sizes Step Drill Bit Set with Aluminum Case,other,<a_17><b_234><c_26>,<a_17>,<a_17><b_234>,8,0.0,0.0,999.0,0.5,0.25,99,1
476,Primacare DL-9325 Reusable LED Penlight with Pupil Gauge - Batteries Included,other,<a_180><b_128><c_50>,<a_180>,<a_180><b_128>,8,0.0,0.0,999.0,0.5,0.5,81,1
1554,Inland 1.75mm Peak Green PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,<a_158><b_72><c_243>,<a_158>,<a_158><b_72>,8,0.0,0.0,510.125,0.875,0.25,109,19
2969,BLTouch : Auto Bed Leveling Sensor / To be a Premium 3D Printer,3d_filament,<a_91><b_212><c_140>,<a_91>,<a_91><b_212>,8,0.0,0.0,875.625,0.875,0.125,72,1
3547,3D Solutech See Through Blue 1.75mm PETG 3D Printer Filament 2.2 LBS (1.0KG),3d_filament,<a_223><b_187><c_18>,<a_223>,<a_223><b_187>,8,0.0,0.0,877.5,0.875,0.25,247,4
54,"Industrial & Scientific"" />",metadata_placeholder,<a_15><b_206><c_230>,<a_15>,<a_15><b_206>,7,0.0,0.0,582.2857142857143,0.0,0.5714285714285714,31,1
151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",tape,<a_68><b_98><c_239>,<a_68>,<a_68><b_98>,7,0.0,0.0,999.0,0.0,0.2857142857142857,67,1
220,Tach-It B-1 Single Edge Industrial Razor Blade (Pack of 100),other,<a_17><b_91><c_139>,<a_17>,<a_17><b_91>,7,0.0,0.0,999.0,0.0,0.42857142857142855,99,3
303,"AMMEX - AINPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 3 mil, Large, Indigo (Case of 1000)",other,<a_44><b_217><c_50>,<a_44>,<a_44><b_217>,7,0.0,0.0,862.8571428571429,0.5714285714285714,0.42857142857142855,65,4
680,O-Cedar Multi-Use Scrunge Scrub Sponge (Pack of 6),other,<a_24><b_38><c_244>,<a_24>,<a_24><b_38>,7,0.0,0.0,999.0,0.2857142857142857,0.8571428571428571,119,2
697,Waterpik Sensonic Professional Toothbrush (SR-3000),other,<a_24><b_165><c_166>,<a_24>,<a_24><b_165>,7,0.0,0.0,860.5714285714286,0.42857142857142855,0.5714285714285714,119,1
803,Koehler Enterprises KE20BX 10 Piece Hose Clamp Box (Size SAE 20),connector_fitting,<a_71><b_204><c_57>,<a_71>,<a_71><b_204>,7,0.0,0.0,999.0,0.2857142857142857,0.42857142857142855,118,1
1012,"4.5"" x 7/8"" Premium High Density Jumbo Zirconia Type 29 Flap Disc 40 Grit - 10 Pack",other,<a_17><b_220><c_3>,<a_17>,<a_17><b_220>,7,0.0,0.0,999.0,0.2857142857142857,0.5714285714285714,99,2
1248,"T-fal C51407 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 12-Inch, Red",fastener,<a_14><b_233><c_185>,<a_14>,<a_14><b_233>,7,0.0,0.0,999.0,0.0,0.8571428571428571,39,3
1305,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",other,<a_251><b_111><c_10>,<a_251>,<a_251><b_111>,7,0.0,0.0,999.0,0.42857142857142855,0.2857142857142857,92,2
1346,"Aluminum Tape/Aluminum Foil Tape - 1.9 inch x 150 feet (3.4 mil) - Good for HVAC, Ducts, Insulation and More",adhesive_epoxy,<a_202><b_232><c_168>,<a_202>,<a_202><b_232>,7,0.0,0.0,999.0,0.2857142857142857,0.7142857142857143,117,2
1402,Heat High Temperature Resistant Adhesive Gold Tape for Electric Task 30m 12mm,adhesive_epoxy,<a_206><b_219><c_143>,<a_206>,<a_206><b_219>,7,0.0,0.0,999.0,0.0,0.0,60,1
1879,"Ozark Trail TT-57 Xi-26-D 76064P, Utility Strap With Quick-Release Buckle, 72"" L, Black, 4 Piece",other,<a_71><b_177><c_211>,<a_71>,<a_71><b_177>,7,0.0,0.0,999.0,0.2857142857142857,0.42857142857142855,118,1
1888,"3D Solutech Hot Pink 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,<a_223><b_80><c_25>,<a_223>,<a_223><b_80>,7,0.0,0.0,999.0,0.8571428571428571,0.14285714285714285,247,24
2059,"MG Chemicals Wood 3D Printer Filament, 1.75mm, 0.5 Kg (1.1 lbs.) - Wood",3d_filament,<a_223><b_179><c_190>,<a_223>,<a_223><b_179>,7,0.0,0.0,724.1428571428571,0.8571428571428571,0.14285714285714285,247,1
2743,OctagonStar Flexible Couplings 5mm to 8mm NEMA 17 Shaft for RepRap 3D Printer or CNC Machine2PCS,3d_filament,<a_159><b_179><c_39>,<a_159>,<a_159><b_179>,7,0.0,0.0,999.0,1.0,0.0,52,2
3155,"HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange",3d_filament,<a_223><b_72><c_23>,<a_223>,<a_223><b_72>,7,0.0,0.0,999.0,0.7142857142857143,0.14285714285714285,247,10
3176,"Philips Sonicare 2 Series plaque control rechargeable electric toothbrush, HX6211/04",other,<a_24><b_20><c_2>,<a_24>,<a_24><b_20>,7,0.0,0.0,999.0,0.42857142857142855,0.5714285714285714,119,8
3254,ETA hand2mind Dual-Dial Analog Platform Scale - Simple Enough for Kids and Great with Kitchen Food,fastener,<a_229><b_105><c_188>,<a_229>,<a_229><b_105>,7,0.0,0.0,999.0,0.14285714285714285,0.42857142857142855,36,1
3598,1.75mm Red PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,3d_filament,<a_158><b_72><c_151>,<a_158>,<a_158><b_72>,7,0.0,0.0,999.0,1.0,0.0,109,19
7,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)",other,<a_210><b_231><c_0>,<a_210>,<a_210><b_231>,6,0.0,0.0,836.0,0.16666666666666666,0.6666666666666666,95,2
32,"4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel",other,<a_193><b_36><c_63>,<a_193>,<a_193><b_36>,6,0.0,0.0,836.5,0.3333333333333333,0.5,133,1
43,4 Pack Caster Wheels Swivel Plate Stem Brake Casters On Red Polyurethane Wheels (4 inch with brake),other,<a_87><b_0><c_203>,<a_87>,<a_87><b_0>,6,0.0,0.0,999.0,0.3333333333333333,0.5,71,2
56,"RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity)",other,<a_87><b_242><c_131>,<a_87>,<a_87><b_242>,6,0.0,0.0,999.0,0.3333333333333333,0.6666666666666666,71,3
350,"Mill-Rose 70887 Blue Monster PTFE Pipe Thread Sealant Tape, 1-Inch x 1429-Inches, Blue",adhesive_epoxy,<a_170><b_10><c_12>,<a_170>,<a_170><b_10>,6,0.0,0.0,999.0,0.0,0.5,25,1
723,"4"" x 6"" 4 Mil (Heavy Duty) Plymor Brand Zipper Reclosable Storage Bags, DispenserBag Pack of 100",other,<a_210><b_219><c_140>,<a_210>,<a_210><b_219>,6,0.0,0.0,999.0,0.16666666666666666,0.3333333333333333,95,10
1008,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",other,<a_180><b_11><c_69>,<a_180>,<a_180><b_11>,6,0.0,0.0,999.0,0.5,0.16666666666666666,81,1
1128,Loctite Heavy Duty Epoxy Quick Set 8-Fluid Ounce Bottle (1365736),adhesive_epoxy,<a_165><b_35><c_57>,<a_165>,<a_165><b_35>,6,0.0,0.0,999.0,0.16666666666666666,0.6666666666666666,72,3
1151,HFS (R) 1 PAIR 123 BLOCKS 1-2-3 ULTRA PRECISION .0002 HARDENED 23 HOLES 0.0002,other,<a_159><b_83><c_167>,<a_159>,<a_159><b_83>,6,0.0,0.0,999.0,0.5,0.5,52,1
1232,"Harris Professional Spray Bottle 32oz (3-Pack), All-Purpose with Clear Finish, Pressurized Sprayer, Adjustable Nozzle and Measurements",3d_filament,<a_206><b_255><c_63>,<a_206>,<a_206><b_255>,6,0.0,0.0,999.0,0.16666666666666666,0.6666666666666666,60,1
1724,"Keynice Digital Thermometer, Temperature Sensor USB Power Supply, Fahrenheit degree and Degrees Celsius color LCD Display, High Accurate-Black",gauge_meter,<a_15><b_97><c_149>,<a_15>,<a_15><b_97>,6,0.0,0.0,999.0,0.16666666666666666,0.6666666666666666,31,1
1733,"Bob Smith Industries BSI-151H Insta-Set Super Glue Accelerator, 2 fl. oz.",adhesive_epoxy,<a_99><b_13><c_36>,<a_99>,<a_99><b_13>,6,0.0,0.0,999.0,0.16666666666666666,0.5,32,2
1807,RioRand&trade; Upgraded 6V-90V 15A DC Motor Pump Speed Controller,other,<a_30><b_6><c_120>,<a_30>,<a_30><b_6>,6,0.0,0.0,999.0,0.6666666666666666,0.8333333333333334,68,1
1830,"MedPride Powder-Free Nitrile Exam Gloves, Medium, Box/100",other,<a_44><b_218><c_40>,<a_44>,<a_44><b_218>,6,0.0,0.0,999.0,0.3333333333333333,0.5,65,3
2047,Ginsco 160pcs Nylon Fully Insulated Male / Female Spade Wire Crimp Quick Disconnects Wire Terminals Connector Set,connector_fitting,<a_67><b_204><c_49>,<a_67>,<a_67><b_204>,6,0.0,0.0,999.0,0.6666666666666666,0.3333333333333333,119,1
2145,"ROBO 3D R1 Plus 10x9x8-Inch ABS/PLA 3D Printer, White (A1-0002-000)",3d_filament,<a_197><b_62><c_112>,<a_197>,<a_197><b_62>,6,0.0,0.0,515.1666666666666,1.0,0.0,60,1
2200,"ZING 1885S Zing Safety Sign, Fire Extinguisher with Arrow, 14"" Height x 3.25"" Width, Recycled Polystyrene SelfAdhesive, Red on White",adhesive_epoxy,<a_68><b_12><c_64>,<a_68>,<a_68><b_12>,6,0.0,0.0,999.0,0.16666666666666666,0.5,67,2
2727,Micro Swiss All Metal Hotend with SLOTTED Cooling Block for Wanhao i3,3d_filament,<a_91><b_195><c_227>,<a_91>,<a_91><b_195>,6,0.0,0.0,519.1666666666666,1.0,0.0,72,1
2736,Signswise 2 Pack 5mm 40T Extruder Driver Feeder Gear Bore for Makerbot Mk7 Mk8 3D Printer,3d_filament,<a_159><b_19><c_56>,<a_159>,<a_159><b_19>,6,0.0,0.0,999.0,0.8333333333333334,0.0,52,1
2740,1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,3d_filament,<a_158><b_206><c_184>,<a_158>,<a_158><b_206>,6,0.0,0.0,999.0,0.8333333333333334,0.16666666666666666,109,9
2744,BIQU Heat Bed Power Module Expansion Hot Bed MOS Tube for 3D Printer,3d_filament,<a_158><b_232><c_28>,<a_158>,<a_158><b_232>,6,0.0,0.0,999.0,1.0,0.3333333333333333,109,1
3171,Signstek 10 PCS Reprap 12V 40W 620 Ceramic Cartridge Heater for 3D Printer Prusa Mendel,3d_filament,<a_158><b_172><c_147>,<a_158>,<a_158><b_172>,6,0.0,0.0,838.3333333333334,0.8333333333333334,0.16666666666666666,109,2
3440,HICTOP 5 Pieces 3D Printer Endstops/ Limit Switch/ Mechanical Switch for Reprap Prusa I3,3d_filament,<a_91><b_89><c_10>,<a_91>,<a_91><b_89>,6,0.0,0.0,999.0,1.0,0.3333333333333333,72,2
3441,TOPINSTOCK 2020 Drop in Post Assembly M4 T-nut for 20 x 20 Aluminum Extrusion Pack of 100,fastener,<a_224><b_190><c_133>,<a_224>,<a_224><b_190>,6,0.0,0.0,999.0,0.0,0.16666666666666666,191,1
3454,Wangdd22 3D Printer J-head Hotend with Fan for 1.75mm 12v V6 Direct Filament Wade Extruder 0.4mm Nozzle+Volcano kit,3d_filament,<a_91><b_54><c_58>,<a_91>,<a_91><b_54>,6,0.0,0.0,999.0,0.6666666666666666,0.16666666666666666,72,1
3470,SCStyle 5 Meters GT2 2mm Pitch 6mm Wide Timing Belt for 3D Printer CNC,3d_filament,<a_23><b_192><c_221>,<a_23>,<a_23><b_192>,6,0.0,0.0,835.6666666666666,0.8333333333333334,0.16666666666666666,50,1
3532,Mercurry 10 Meters GT2 timing belt width 6mm Fit for RepRap Mendel Rostock Prusa GT2-6mm Belt,3d_filament,<a_23><b_101><c_96>,<a_23>,<a_23><b_101>,6,0.0,0.0,999.0,0.8333333333333334,0.16666666666666666,50,1
77,"Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6)",tape,<a_202><b_162><c_47>,<a_202>,<a_202><b_162>,5,0.0,0.0,803.4,0.0,0.6,117,1
98,"Industrial & Scientific"" />",metadata_placeholder,<a_15><b_155><c_49>,<a_15>,<a_15><b_155>,5,0.0,0.0,412.2,0.0,0.4,31,1
123,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",adhesive_epoxy,<a_173><b_194><c_4>,<a_173>,<a_173><b_194>,5,0.0,0.0,801.8,0.2,0.6,64,2
153,"Alltrade 640912 Black 3 Ton,All-in-One Bottle Jack",other,<a_87><b_245><c_245>,<a_87>,<a_87><b_245>,5,0.0,0.0,999.0,0.6,0.8,71,1
160,"LASCO 11-1033 PTFE Pipe Sealant Tape, 1/2-Inch x 100-Inch, White",adhesive_epoxy,<a_79><b_87><c_179>,<a_79>,<a_79><b_87>,5,0.0,0.0,999.0,0.4,0.2,60,2
406,"Hillman 830502 Flat Washer, Stainless-Steel",fastener,<a_224><b_209><c_0>,<a_224>,<a_224><b_209>,5,0.0,0.0,999.0,0.4,0.6,191,10
509,GemRed 82413 Digital Protractor Angle Finder Gauge Inclinometer with Backlight and Magnetic Base IP65,other,<a_17><b_203><c_23>,<a_17>,<a_17><b_203>,5,0.0,0.0,999.0,0.2,0.2,99,1
529,"Gorilla Heavy Duty Construction Adhesive, 9 ounce Cartridge, White",3d_filament,<a_165><b_107><c_28>,<a_165>,<a_165><b_107>,5,0.0,0.0,999.0,0.2,0.4,72,5
569,"Ribbed Plastic Drywall Anchor Kit with Screws and Masonry Drill Bit, #10-12 x 1",fastener,<a_224><b_104><c_43>,<a_224>,<a_224><b_104>,5,0.0,0.0,999.0,0.2,0.2,191,3
745,"Rockler Cyanoacrylate Quick-Set Medium Adhesive, 4.5 oz Bottle",adhesive_epoxy,<a_165><b_187><c_171>,<a_165>,<a_165><b_187>,5,0.0,0.0,999.0,0.2,0.6,72,1
793,"Yost MU360 Universal Jaw Cover, 6",other,<a_193><b_60><c_154>,<a_193>,<a_193><b_60>,5,0.0,0.0,999.0,0.4,0.6,133,1
798,PRO 1 Fuel Line Hose 5/16 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,connector_fitting,<a_228><b_75><c_4>,<a_228>,<a_228><b_75>,5,0.0,0.0,999.0,0.4,0.0,96,2
850,"HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25' Length, 0.375"" ID, Black",connector_fitting,<a_79><b_169><c_0>,<a_79>,<a_79><b_169>,5,0.0,0.0,999.0,0.0,0.4,60,2
970,Wixey WR25 Mini Digital Height Gauge,other,<a_104><b_25><c_13>,<a_104>,<a_104><b_25>,5,0.0,0.0,608.2,0.2,0.8,60,1
1043,"Adenna DLG675 Dark Light 9 mil Nitrile Powder Free Exam Gloves (Black, Medium) Box of 100",other,<a_44><b_71><c_57>,<a_44>,<a_44><b_71>,5,0.0,0.0,999.0,0.4,0.8,65,1
1271,"Tape-Me Duct Tape Silver, 1.88 in x 55 yd (Pack of 3)",tape,<a_202><b_191><c_237>,<a_202>,<a_202><b_191>,5,0.0,0.0,999.0,0.4,1.0,117,1
1281,Barge All Purpose Cement,adhesive_epoxy,<a_206><b_20><c_124>,<a_206>,<a_206><b_20>,5,0.0,0.0,999.0,0.0,0.6,60,2
1324,RiteBrew Rubber Stopper - Size 10 - Drilled,other,<a_14><b_216><c_46>,<a_14>,<a_14><b_216>,5,0.0,0.0,999.0,0.2,0.2,39,1
1344,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),tape,<a_251><b_44><c_87>,<a_251>,<a_251><b_44>,5,0.0,0.0,613.6,0.0,0.2,92,3
1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,other,<a_104><b_85><c_106>,<a_104>,<a_104><b_85>,5,0.0,0.0,999.0,1.0,0.2,60,1
1435,"Rigol DS1054Z Digital Oscilloscopes - Bandwidth: 50 Mhz, Channels: 4",other,<a_36><b_186><c_16>,<a_36>,<a_36><b_186>,5,0.0,0.0,805.8,0.8,0.2,54,3
1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",tape,<a_122><b_126><c_5>,<a_122>,<a_122><b_126>,5,0.0,0.0,804.4,0.6,0.6,35,1
1744,270 PCS Heat Shrink Wire Connector Kit Electrical Insulated Crimp Marine Automotive Terminals Set,connector_fitting,<a_17><b_96><c_187>,<a_17>,<a_17><b_96>,5,0.0,0.0,999.0,0.2,0.8,99,3
2075,"ETA hand2mind Plastic Rainbow Fraction Tiles, Math Manipulative (Set of 51)",other,<a_14><b_175><c_144>,<a_14>,<a_14><b_175>,5,0.0,0.0,999.0,0.6,0.8,39,2
2076,"ETA hand2mind 42188 Rainbow Fraction and Decimal Tiles, Plastic (Set of 51)",other,<a_14><b_175><c_121>,<a_14>,<a_14><b_175>,5,0.0,0.0,999.0,0.8,0.8,39,2
2077,"Flex Shot 30804 Rubber Adhesive Sealant Caulk, 8-oz, Almond (Mildew Resistant), 1 Pack",adhesive_epoxy,<a_244><b_107><c_224>,<a_244>,<a_244><b_107>,5,0.0,0.0,999.0,0.4,0.4,72,1
2088,"ELEGOO Stepstick Stepper Motor Driver Module A4988 + Heat Sink for 3D Printer Reprap, CNC Machine or Robotics(Pack of 5)",3d_filament,<a_158><b_89><c_164>,<a_158>,<a_158><b_89>,5,0.0,0.0,999.0,0.8,0.4,109,4
2096,Bob Smith Industries BSI-157H Maxi Cure/Insta-Set Combo Pack (3 oz. Combined),adhesive_epoxy,<a_99><b_13><c_12>,<a_99>,<a_99><b_13>,5,0.0,0.0,999.0,0.2,0.2,32,2
2176,"FLIR E8: Compact Thermal Imaging Camera with 320 x 240 IR Resolution, MSX and Wi-Fi",other,<a_107><b_68><c_141>,<a_107>,<a_107><b_68>,5,0.0,0.0,999.0,0.6,0.8,66,5
2196,"ZING 7100 RecycLockout Lockout Tagout, Large Plug Lockout, Recycled Plastic",other,<a_71><b_135><c_19>,<a_71>,<a_71><b_135>,5,0.0,0.0,999.0,1.0,0.2,118,3
2290,uxcell 5Pcs 2 Rows 12P Wire Connector Screw Terminal Barrier Block 300V 20A,connector_fitting,<a_73><b_87><c_68>,<a_73>,<a_73><b_87>,5,0.0,0.0,999.0,0.2,0.6,114,5
2325,"SPACECARE 4 Pack of 2"" Swivel Caster Blue Polyurethane Wheels Base with Brake Top Plate Double Ball",fastener,<a_87><b_47><c_119>,<a_87>,<a_87><b_47>,5,0.0,0.0,999.0,0.4,0.4,71,1
2651,"Red White Honeycombo reflective tape 2""X25'-Waterproof self-adhesive trailer reflector tape-reflective tape for trucks,trailers,car,Warning Caution Conspicuity Tape Cinta reflectante",adhesive_epoxy,<a_68><b_25><c_84>,<a_68>,<a_68><b_25>,5,0.0,0.0,999.0,0.4,0.6,67,4
2726,ANYCUBIC 3D Printer Heating Controller MKS MOSFET for Heatbed Extruder MOS Module,3d_filament,<a_91><b_242><c_202>,<a_91>,<a_91><b_242>,5,0.0,0.0,809.0,0.8,0.4,72,2
2738,"XTC-3D High Performance 3D Print Coating, 6.4 Oz",other,<a_223><b_201><c_2>,<a_223>,<a_223><b_201>,5,0.0,0.0,999.0,0.0,0.2,247,3
2741,1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,3d_filament,<a_158><b_206><c_9>,<a_158>,<a_158><b_206>,5,0.0,0.0,999.0,1.0,0.2,109,9
2797,"WD-40&nbsp;Multi-Use Product Non-Aerosol Trigger Pro, 20 OZ [12 Pack]",adhesive_epoxy,<a_173><b_94><c_100>,<a_173>,<a_173><b_94>,5,0.0,0.0,999.0,0.0,0.6,64,3
2881,yueton 10 Pcs AC 125V 6A Amps ON/ON 6 Terminals 2 Position DPDT Toggle Switch,other,<a_236><b_39><c_136>,<a_236>,<a_236><b_39>,5,0.0,0.0,999.0,0.4,0.4,84,2
2887,"Triton 1"" Dial Indicator 0.001"" Graduation Travel Lug Back White Face",other,<a_104><b_119><c_227>,<a_104>,<a_104><b_119>,5,0.0,0.0,999.0,0.2,0.0,60,1
2893,"eSUN 3D 1.75mm PETG White Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque White",3d_filament,<a_223><b_126><c_20>,<a_223>,<a_223><b_126>,5,0.0,0.0,999.0,0.8,0.0,247,10
2913,"Madison Supply, Premium Quality Fluoride Coated Medical Scissors, EMT and Trauma Shears 2 pack",tape,<a_180><b_248><c_208>,<a_180>,<a_180><b_248>,5,0.0,0.0,999.0,0.0,0.2,81,1
