idx,item_id,family,title,brand,target_sid,target_l1,target_l1_size,target_l1_purity,target_l1_top_family,target_family_is_l1_top,target_l1_size_bin,target_l1_purity_bin,l1_rank,l12_rank,exact_rank,hit10,l1_in_top10,l1_in_top50,pred1_sid,pred1_l1,pred1_l1_size,pred1_l1_purity,pred1_l1_top_family,pred1_item_id,pred1_family,pred1_title,top10_unique_l1,top10_has_same_family_bucket,top10_has_same_top_family,top10_pred_l1s
20,1098,adhesive_epoxy,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,J-B Weld,<a_89><b_45><c_154>,<a_89>,16,1.0,adhesive_epoxy,True,11-20,>=0.9,1,9999,9999,0,1,1,<a_89><b_146><c_8>,<a_89>,16,1.0,adhesive_epoxy,675,adhesive_epoxy,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,4,1,1,<a_89> <a_122> <a_148> <a_89> <a_122> <a_89> <a_67> <a_89> <a_67> <a_67>
21,1305,other,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",RMP,<a_108><b_108><c_1>,<a_108>,15,0.7333333333333333,other,True,11-20,0.5-0.75,9999,9999,9999,0,0,0,<a_76><b_4><c_6>,<a_76>,16,0.6875,other,287,other,"KYDEX V Sheet - 0.028"" Thick, Black, 12&rdquo;x12&rdquo; Nominal",7,1,1,<a_76> <a_120> <a_76> <a_160> <a_67> <a_173> <a_173> <a_88> <a_76> <a_53>
22,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,False,11-20,0.5-0.75,4,4,4,1,1,1,<a_41><b_138><c_14>,<a_41>,15,0.5333333333333333,fastener,151,tape,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",8,1,1,<a_41> <a_81> <a_236> <a_160> <a_236> <a_173> <a_208> <a_81> <a_122> <a_242>
23,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,False,11-20,0.5-0.75,1,1,1,1,1,1,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",9,1,1,<a_160> <a_41> <a_81> <a_208> <a_31> <a_236> <a_190> <a_81> <a_122> <a_53>
24,182,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,False,11-20,0.5-0.75,1,1,1,1,1,1,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",7,1,1,<a_160> <a_31> <a_31> <a_81> <a_2> <a_31> <a_183> <a_31> <a_208> <a_190>
25,3287,other,Pomona 1296 BNC (M) Binding Posts,Pomona,<a_199><b_250><c_184>,<a_199>,22,0.7727272727272727,connector_fitting,False,21-50,0.75-0.9,26,9999,9999,0,0,1,<a_122><b_27><c_223>,<a_122>,26,1.0,tape,175,tape,"Gorilla Crystal Clear Duct Tape, 1.88&rdquo; x 9 yd, Clear, (Pack of 1)",8,1,1,<a_122> <a_122> <a_112> <a_81> <a_122> <a_232> <a_160> <a_173> <a_25> <a_242>
26,2899,other,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",Dynatex,<a_193><b_173><c_159>,<a_193>,15,0.6666666666666666,other,True,11-20,0.5-0.75,9999,9999,9999,0,0,0,<a_71><b_18><c_80>,<a_71>,15,0.5333333333333333,tape,1031,adhesive_epoxy,ABN Adhesive Sticky Back 80-Grit Sandpaper Roll 2-3/4&rdquo; Inch x 20 Yards Aluminum Oxide Golden Yellow Longboard Dura PSA,9,1,1,<a_71> <a_208> <a_22> <a_53> <a_31> <a_236> <a_122> <a_122> <a_0> <a_101>
27,749,other,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",BSI,<a_67><b_81><c_51>,<a_67>,20,0.55,adhesive_epoxy,False,11-20,0.5-0.75,9999,9999,9999,0,0,0,<a_14><b_85><c_121>,<a_14>,24,0.6666666666666666,other,426,other,"5/16"" - 36 HSS Right hand Thread Tap with 7.3mm Drill bit",6,1,1,<a_14> <a_191> <a_160> <a_14> <a_122> <a_81> <a_14> <a_57> <a_191> <a_57>
28,749,other,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",BSI,<a_67><b_81><c_51>,<a_67>,20,0.55,adhesive_epoxy,False,11-20,0.5-0.75,1,1,1,1,1,1,<a_67><b_81><c_51>,<a_67>,20,0.55,adhesive_epoxy,749,other,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",7,1,1,<a_67> <a_53> <a_22> <a_52> <a_89> <a_76> <a_89> <a_5> <a_67> <a_52>
29,1392,other,Pomona 4970 Bnc (M) with 20 Awg Leads,Pomona,<a_199><b_200><c_132>,<a_199>,22,0.7727272727272727,connector_fitting,False,21-50,0.75-0.9,9999,9999,9999,0,0,0,<a_45><b_35><c_224>,<a_45>,19,0.9473684210526315,other,2977,other,"Heathrow Scientific HD15906 Hayman-Type Spatula with Flat End and Spoon End, 6-1/4"" Overall Length",7,1,1,<a_45> <a_45> <a_252> <a_238> <a_160> <a_45> <a_153> <a_83> <a_45> <a_81>
30,2175,other,Pomona 3788 Bnc (F) to Minigrabber Test Clips,Pomona,<a_104><b_184><c_117>,<a_104>,18,0.5,other,True,11-20,0.5-0.75,9999,9999,9999,0,0,0,<a_199><b_215><c_66>,<a_199>,22,0.7727272727272727,connector_fitting,1186,connector_fitting,360-piece Solderless Electrical Terminal Assortment,8,1,1,<a_199> <a_199> <a_81> <a_160> <a_199> <a_69> <a_201> <a_173> <a_52> <a_5>
31,3550,other,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,uxcell,<a_25><b_167><c_130>,<a_25>,23,0.9565217391304348,other,True,21-50,>=0.9,9999,9999,9999,0,0,0,<a_123><b_182><c_183>,<a_123>,27,0.6666666666666666,3d_filament,2333,3d_filament,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",4,1,0,<a_123> <a_142> <a_142> <a_168> <a_168> <a_142> <a_142> <a_142> <a_165> <a_168>
32,2909,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3D Solutech,<a_168><b_153><c_10>,<a_168>,67,0.8059701492537313,3d_filament,True,51-100,0.75-0.9,2,44,44,0,1,1,<a_165><b_74><c_62>,<a_165>,58,0.9655172413793104,3d_filament,3444,3d_filament,RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle,6,1,1,<a_165> <a_168> <a_209> <a_142> <a_142> <a_239> <a_142> <a_165> <a_123> <a_165>
33,123,other,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",Red Devil,<a_32><b_93><c_30>,<a_32>,13,0.8461538461538461,other,True,11-20,0.75-0.9,9999,9999,9999,0,0,0,<a_67><b_81><c_51>,<a_67>,20,0.55,adhesive_epoxy,749,other,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",8,1,1,<a_67> <a_89> <a_236> <a_101> <a_53> <a_89> <a_126> <a_83> <a_92> <a_53>
34,1374,other,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,HHIP,<a_100><b_231><c_0>,<a_100>,14,0.8571428571428571,other,True,11-20,0.75-0.9,9999,9999,9999,0,0,0,<a_226><b_154><c_82>,<a_226>,18,0.8333333333333334,other,561,other,GREAT STUFF Gaps & Cracks 20 oz Insulating Foam Sealant,9,1,1,<a_226> <a_226> <a_198> <a_109> <a_191> <a_81> <a_23> <a_145> <a_125> <a_79>
35,1874,fastener,"FastenMaster FMHLGM278-50 HeadLOK Heavy-Duty Flathead Fastener, 2-7/8 Inches, 50-Count",FastenMaster,<a_251><b_130><c_224>,<a_251>,33,0.9090909090909091,fastener,True,21-50,>=0.9,13,9999,9999,0,0,1,<a_191><b_81><c_57>,<a_191>,20,1.0,other,2174,other,"Schaeffer Manufacturing 02937590-012S Supreme Gear Lube SAE 75W-90, 1 quart",7,0,0,<a_191> <a_232> <a_81> <a_232> <a_160> <a_232> <a_232> <a_214> <a_79> <a_198>
36,1344,other,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),VXB,<a_44><b_23><c_143>,<a_44>,26,0.8461538461538461,other,True,21-50,0.75-0.9,9999,9999,9999,0,0,0,<a_252><b_127><c_100>,<a_252>,23,0.9565217391304348,other,514,other,Tach-It Model-T Ultra-Rugged Retractable Snap Off Blade Utility Knife (Pack of 12),9,1,1,<a_252> <a_45> <a_83> <a_45> <a_93> <a_172> <a_247> <a_33> <a_81> <a_17>
37,2817,other,"PHARMEX 1-78G Permanent Paper Label,""FOR RECTAL USE"", 1 9/16"" x 3/8"", Blue (500 per Roll, 2 Rolls per Box)",PHARMEX,<a_254><b_84><c_207>,<a_254>,30,1.0,other,True,21-50,>=0.9,9999,9999,9999,0,0,0,<a_170><b_18><c_169>,<a_170>,20,0.95,other,734,other,"microtivity IL188 5mm Assorted Clear LED w/Resistors (8 Colors, Pack of 80)",9,1,1,<a_170> <a_118> <a_118> <a_101> <a_242> <a_130> <a_52> <a_105> <a_106> <a_190>
38,3550,other,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,uxcell,<a_25><b_167><c_130>,<a_25>,23,0.9565217391304348,other,True,21-50,>=0.9,9999,9999,9999,0,0,0,<a_83><b_192><c_108>,<a_83>,38,0.9210526315789473,other,148,other,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",9,1,1,<a_83> <a_186> <a_117> <a_215> <a_160> <a_208> <a_186> <a_177> <a_21> <a_81>
39,725,other,"Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded",Bissell,<a_221><b_77><c_231>,<a_221>,20,0.9,other,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",9,1,1,<a_160> <a_201> <a_163> <a_199> <a_81> <a_208> <a_21> <a_69> <a_199> <a_173>
40,2216,other,SE 526SF 7&rdquo; Self-Locking Sponge Forceps,SE,<a_45><b_113><c_227>,<a_45>,19,0.9473684210526315,other,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_125><b_78><c_4>,<a_125>,19,0.8421052631578947,other,341,other,"Neiko 11108A 4.5&rdquo; x 7/8-Inch Aluminum Oxide Flap Disc, 80 Grit | Flat Type #27 | 10-Pack",8,1,1,<a_125> <a_172> <a_160> <a_81> <a_32> <a_125> <a_83> <a_126> <a_208> <a_172>
41,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,False,11-20,0.5-0.75,1,1,1,1,1,1,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",6,1,1,<a_160> <a_31> <a_31> <a_81> <a_183> <a_183> <a_183> <a_2> <a_183> <a_99>
42,831,other,"DEWALT DW8062B5 4-1/2-Inch by 0.045-Inch Metal and Stainless Cutting Wheel, 7/8-Inch Arbor, 5-Pack",DEWALT,<a_126><b_166><c_105>,<a_126>,14,0.9285714285714286,other,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",6,1,1,<a_160> <a_31> <a_31> <a_183> <a_183> <a_225> <a_183> <a_183> <a_81> <a_2>
43,182,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,False,11-20,0.5-0.75,1,1,1,1,1,1,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",10,1,1,<a_160> <a_126> <a_31> <a_81> <a_251> <a_52> <a_122> <a_0> <a_98> <a_125>
44,850,connector_fitting,"HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25' Length, 0.375"" ID, Black",HBD Thermoid,<a_77><b_192><c_123>,<a_77>,25,0.6,connector_fitting,True,21-50,0.5-0.75,9999,9999,9999,0,0,0,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",9,1,1,<a_160> <a_126> <a_31> <a_249> <a_98> <a_81> <a_191> <a_191> <a_52> <a_125>
45,2223,other,"250ml Narrow Mouth Erlenmeyer Flask with Rubber Stoppers, Karter Scientific 213G20 (Pack of 8)",Karter Scientific,<a_217><b_60><c_246>,<a_217>,13,0.9230769230769231,other,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_238><b_158><c_117>,<a_238>,19,1.0,metadata_placeholder,98,metadata_placeholder,"Industrial & Scientific"" />",9,1,1,<a_238> <a_112> <a_130> <a_170> <a_233> <a_105> <a_3> <a_160> <a_3> <a_173>
46,3502,other,"3M Littmann Cardiology IV Diagnostic Stethoscope, Standard-Finish Chestpiece, Burgundy Tube, Stainless Stem and Headset, 27 inch, 6153",3M Littmann,<a_158><b_241><c_42>,<a_158>,25,0.8,other,True,21-50,0.75-0.9,9999,9999,9999,0,0,0,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",9,1,1,<a_160> <a_237> <a_225> <a_81> <a_251> <a_218> <a_208> <a_81> <a_131> <a_83>
47,3337,other,"Vastar ESD Anti-Static Wrist Strap Components, Blue",Vastar,<a_68><b_100><c_218>,<a_68>,19,0.8421052631578947,other,True,11-20,0.75-0.9,9999,9999,9999,0,0,0,<a_12><b_167><c_168>,<a_12>,33,0.7272727272727273,gauge_meter,954,gauge_meter,"Remington Industries 22UL1007STRRED UL1007 22 AWG Gauge Stranded Hook-Up Wire, 300V, 0.0253"" Diameter, 100' Length, Red",4,1,1,<a_12> <a_12> <a_12> <a_12> <a_12> <a_170> <a_105> <a_170> <a_227> <a_12>
48,2697,3d_filament,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,<a_168><b_63><c_12>,<a_168>,67,0.8059701492537313,3d_filament,True,51-100,0.75-0.9,1,2,2,1,1,1,<a_168><b_153><c_10>,<a_168>,67,0.8059701492537313,3d_filament,2909,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",4,1,1,<a_168> <a_168> <a_168> <a_142> <a_123> <a_168> <a_142> <a_209> <a_142> <a_168>
49,3475,3d_filament,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,<a_168><b_146><c_52>,<a_168>,67,0.8059701492537313,3d_filament,True,51-100,0.75-0.9,1,4,17,0,1,1,<a_168><b_153><c_10>,<a_168>,67,0.8059701492537313,3d_filament,2909,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3,1,1,<a_168> <a_168> <a_168> <a_168> <a_123> <a_142> <a_168> <a_168> <a_168> <a_168>
