variant,idx,user_id,item_id,family,item_title,target_sid,target_l1,target_l2,rank,rank_found,hit1,hit3,hit5,hit10,hit20,hit50,ndcg10,ndcg50,top1_sid,top1_l1,top1_l2,top1_item_ids,top1_item_titles,top1_families,top1_same_l1,top1_same_l2,top1_same_family,top1_history_repeat,top10_history_repeat_count,top50_history_repeat_count,top10_has_target_l1,top10_has_target_l2,top50_has_target_l1,top50_has_target_l2,history_len,target_l1_in_history,target_l2_in_history,failure_type_at10
r693a,22,A2890,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,13,13.0,0,0,0,0,1,1,0.0,0.26264953503719357,<a_31><b_16><c_174>,<a_31>,<a_31><b_16>,151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",tape,0,0,0,1,1,2,0,0,1,1,4,0,0,l1_routing_miss
r693a,23,A2890,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,1,1.0,1,1,1,1,1,1,1.0,1.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,1,1,1,1,2,2,1,1,1,1,5,1,1,hit_at_10
r693a,24,A2890,182,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,1,1.0,1,1,1,1,1,1,1.0,1.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,1,1,1,1,2,2,1,1,1,1,6,1,1,hit_at_10
r693a,25,A3799,3287,other,Pomona 1296 BNC (M) Binding Posts,<a_106><b_81><c_179>,<a_106>,<a_106><b_81>,999,,0,0,0,0,0,0,0.0,0.0,<a_40><b_86><c_152>,<a_40>,<a_40><b_86>,502,Uxcell a10073000ux0031 2 Pcs 8 Position Double Row Screw Terminal Covered Barrier Strip 600V 25A,connector_fitting,0,0,0,1,1,1,0,0,1,0,4,0,0,l1_routing_miss
r693a,26,A4404,2899,other,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",<a_9><b_247><c_201>,<a_9>,<a_9><b_247>,999,,0,0,0,0,0,0,0.0,0.0,<a_77><b_45><c_0>,<a_77>,<a_77><b_45>,139|774,DuPont Teflon Non-Stick || DuPont Teflon Non-Stick,other,0,0,1,1,2,2,0,0,0,0,7,0,0,l1_routing_miss
r693a,27,A4750,749,other,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",<a_180><b_137><c_100>,<a_180>,<a_180><b_137>,999,,0,0,0,0,0,0,0.0,0.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,0,0,0,0,0,0,0,0,0,0,3,0,0,l1_routing_miss
r693a,28,A4750,749,other,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",<a_180><b_137><c_100>,<a_180>,<a_180><b_137>,1,1.0,1,1,1,1,1,1,1.0,1.0,<a_180><b_137><c_100>,<a_180>,<a_180><b_137>,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,1,1,1,1,1,1,1,1,1,1,4,1,1,hit_at_10
r693a,29,A6672,1392,other,Pomona 4970 Bnc (M) with 20 Awg Leads,<a_106><b_81><c_184>,<a_106>,<a_106><b_81>,999,,0,0,0,0,0,0,0.0,0.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,0,0,0,0,1,1,0,0,0,0,2,0,0,l1_routing_miss
r693a,30,A6672,2175,other,Pomona 3788 Bnc (F) to Minigrabber Test Clips,<a_106><b_136><c_232>,<a_106>,<a_106><b_136>,999,,0,0,0,0,0,0,0.0,0.0,<a_106><b_23><c_156>,<a_106>,<a_106><b_23>,2083,Applied Magnets Strong N52 Neodymium Magnet 1 inch Cube,other,1,0,1,0,0,0,1,0,1,0,3,1,0,l2_routing_miss_after_l1_hit
r693a,31,A6874,3550,other,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,<a_164><b_170><c_252>,<a_164>,<a_164><b_170>,999,,0,0,0,0,0,0,0.0,0.0,<a_178><b_150><c_117>,<a_178>,<a_178><b_150>,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,0,0,0,0,1,4,0,0,0,0,6,0,0,l1_routing_miss
r693a,32,A6893,2909,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_178><b_14><c_6>,<a_178>,<a_178><b_14>,29,29.0,0,0,0,0,0,1,0.0,0.2037950470905062,<a_178><b_150><c_117>,<a_178>,<a_178><b_150>,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,1,0,1,0,0,1,1,0,1,1,3,0,0,l2_routing_miss_after_l1_hit
r693a,33,A1105,123,other,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",<a_185><b_2><c_12>,<a_185>,<a_185><b_2>,999,,0,0,0,0,0,0,0.0,0.0,<a_134><b_254><c_47>,<a_134>,<a_134><b_254>,145,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing",other,0,0,1,0,1,4,0,0,1,0,7,0,0,l1_routing_miss
r693a,34,A1960,1374,other,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,<a_151><b_153><c_8>,<a_151>,<a_151><b_153>,999,,0,0,0,0,0,0,0.0,0.0,<a_211><b_253><c_96>,<a_211>,<a_211><b_253>,2164,"Rubbermaid Commercial Maximizer Mop Head, Blend, Medium, Blue (1924783)",other,0,0,1,0,3,6,0,0,0,0,10,0,0,l1_routing_miss
r693a,35,A2846,1874,fastener,"FastenMaster FMHLGM278-50 HeadLOK Heavy-Duty Flathead Fastener, 2-7/8 Inches, 50-Count",<a_235><b_59><c_11>,<a_235>,<a_235><b_59>,999,,0,0,0,0,0,0,0.0,0.0,<a_92><b_110><c_254>,<a_92>,<a_92><b_110>,1042,uxcell Mandrel Mounted White Conical Felt Point Polishing Tool,other,0,0,0,0,2,3,0,0,0,0,4,0,0,l1_routing_miss
r693a,36,A3436,1344,other,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),<a_130><b_228><c_246>,<a_130>,<a_130><b_228>,999,,0,0,0,0,0,0,0.0,0.0,<a_81><b_167><c_6>,<a_81>,<a_81><b_167>,148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",other,0,0,1,0,1,3,0,0,0,0,4,0,0,l1_routing_miss
r693a,37,A3548,2817,other,"PHARMEX 1-78G Permanent Paper Label,""FOR RECTAL USE"", 1 9/16"" x 3/8"", Blue (500 per Roll, 2 Rolls per Box)",<a_171><b_35><c_71>,<a_171>,<a_171><b_35>,999,,0,0,0,0,0,0,0.0,0.0,<a_40><b_158><c_210>,<a_40>,<a_40><b_158>,1699,Install Bay 3MBTT 3M T-Tap Connector 18/14 Gauge - 100 Pack (Blue),connector_fitting,0,0,0,1,2,3,0,0,0,0,4,0,0,l1_routing_miss
r693a,38,A3572,3550,other,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,<a_164><b_170><c_252>,<a_164>,<a_164><b_170>,999,,0,0,0,0,0,0,0.0,0.0,<a_148><b_162><c_3>,<a_148>,<a_148><b_162>,385,"Eclectic Supply B36-24 Cobalt Glass Bottles with Glass Eye Dropper, 1 oz Capacity, Blue (Pack of 24)",other,0,0,1,0,0,2,0,0,0,0,3,0,0,l1_routing_miss
r693a,39,A3757,725,other,"Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded",<a_114><b_55><c_47>,<a_114>,<a_114><b_55>,999,,0,0,0,0,0,0,0.0,0.0,<a_90><b_58><c_141>,<a_90>,<a_90><b_58>,1002,"Rubbermaid Commercial Products FG267360BLUE Slim Jim Trash Can, Swing Lid, Blue",ventilation_fan,0,0,0,0,0,2,0,0,0,0,5,0,0,l1_routing_miss
r693a,40,A4297,2216,other,SE 526SF 7&rdquo; Self-Locking Sponge Forceps,<a_59><b_79><c_35>,<a_59>,<a_59><b_79>,999,,0,0,0,0,0,0,0.0,0.0,<a_129><b_163><c_0>,<a_129>,<a_129><b_163>,431|1006,"Industrial & Scientific"" /> || Industrial & Scientific"" />",metadata_placeholder,0,0,0,1,1,2,0,0,0,0,4,0,0,l1_routing_miss
r693a,41,A4913,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,1,1.0,1,1,1,1,1,1,1.0,1.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,1,1,1,1,1,1,1,1,1,1,1,1,1,hit_at_10
r693a,42,A4913,831,other,"DEWALT DW8062B5 4-1/2-Inch by 0.045-Inch Metal and Stainless Cutting Wheel, 7/8-Inch Arbor, 5-Pack",<a_238><b_232><c_249>,<a_238>,<a_238><b_232>,999,,0,0,0,0,0,0,0.0,0.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,0,0,0,1,1,1,0,0,0,0,2,0,0,l1_routing_miss
r693a,43,A4913,182,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,1,1.0,1,1,1,1,1,1,1.0,1.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,1,1,1,1,1,2,1,1,1,1,3,1,1,hit_at_10
r693a,44,A4913,850,connector_fitting,"HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25' Length, 0.375"" ID, Black",<a_0><b_176><c_5>,<a_0>,<a_0><b_176>,999,,0,0,0,0,0,0,0.0,0.0,<a_190><b_103><c_0>,<a_190>,<a_190><b_103>,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,0,0,0,1,1,2,0,0,0,0,4,0,0,l1_routing_miss
r693a,45,A6263,2223,other,"250ml Narrow Mouth Erlenmeyer Flask with Rubber Stoppers, Karter Scientific 213G20 (Pack of 8)",<a_148><b_81><c_189>,<a_148>,<a_148><b_81>,999,,0,0,0,0,0,0,0.0,0.0,<a_138><b_9><c_137>,<a_138>,<a_138><b_9>,395,Arctic Silver 5 AS5-3.5G Thermal Paste,other,0,0,1,0,0,0,0,0,0,0,1,0,0,l1_routing_miss
r693a,46,A6290,3502,other,"3M Littmann Cardiology IV Diagnostic Stethoscope, Standard-Finish Chestpiece, Burgundy Tube, Stainless Stem and Headset, 27 inch, 6153",<a_72><b_185><c_99>,<a_72>,<a_72><b_185>,999,,0,0,0,0,0,0,0.0,0.0,<a_78><b_165><c_1>,<a_78>,<a_78><b_165>,202,Loctite Liquid Professional Super Glue  20-Gram Bottle (1365882),adhesive_epoxy,0,0,0,1,2,2,0,0,1,0,4,1,0,l1_routing_miss
r693a,47,A6386,3337,other,"Vastar ESD Anti-Static Wrist Strap Components, Blue",<a_118><b_211><c_110>,<a_118>,<a_118><b_211>,999,,0,0,0,0,0,0,0.0,0.0,<a_115><b_217><c_122>,<a_115>,<a_115><b_217>,3060,"Remington Industries 22UL1007STRKIT UL1007 22 AWG Gauge Stranded Hook-Up Wire Kit, 300V, 0.0253"" Diameter, 25' Length",gauge_meter,0,0,0,0,0,1,0,0,1,1,9,0,0,l1_routing_miss
r693a,48,A7485,2697,3d_filament,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_178><b_14><c_75>,<a_178>,<a_178><b_14>,4,4.0,0,0,1,1,1,1,0.43067655807339306,0.43067655807339306,<a_178><b_14><c_6>,<a_178>,<a_178><b_14>,2909|3494,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS || 3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,1,1,1,0,1,1,1,1,1,1,1,1,1,hit_at_10
r693a,49,A7485,3475,3d_filament,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_178><b_14><c_7>,<a_178>,<a_178><b_14>,9,9.0,0,0,0,1,1,1,0.3010299956639812,0.3010299956639812,<a_178><b_14><c_6>,<a_178>,<a_178><b_14>,2909|3494,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS || 3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,1,1,1,0,2,2,1,1,1,1,2,1,1,hit_at_10
r693a,50,A7485,2909,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_178><b_14><c_6>,<a_178>,<a_178><b_14>,1,1.0,1,1,1,1,1,1,1.0,1.0,<a_178><b_14><c_6>,<a_178>,<a_178><b_14>,2909|3494,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS || 3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,1,1,1,0,3,3,1,1,1,1,3,1,1,hit_at_10
r693a,51,A7485,3468,3d_filament,"3D Solutech Real Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_77><b_180><c_59>,<a_77>,<a_77><b_180>,18,18.0,0,0,0,0,1,1,0.0,0.23540891336663824,<a_178><b_14><c_6>,<a_178>,<a_178><b_14>,2909|3494,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS || 3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,0,0,1,1,3,4,0,0,1,1,4,0,0,l1_routing_miss
r693a,52,A884,402,other,"Metabo Slicer Cut Off Wheel 6"" X .040"" Box 50",<a_238><b_44><c_2>,<a_238>,<a_238><b_44>,999,,0,0,0,0,0,0,0.0,0.0,<a_134><b_254><c_47>,<a_134>,<a_134><b_254>,145,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing",other,0,0,1,0,2,4,0,0,0,0,7,0,0,l1_routing_miss
