case_type,baseline,idx,family,item_id,target_title,target_sid_r693a,r693a_rank,v2_on_p05_rank,r693a_failure_type,r693a_top1_history_repeat,r693a_top10_repeat_count,r693a_top5_predictions,v2_on_p05_top5_predictions,r680a_rank,r680a_top5_predictions
gain_vs_v2,v2_on_p05,260,connector_fitting,2617,Yueton&reg; 100pcs Yellow 12/10-Gauge Economy Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal,<a_40><b_5><c_52>,8.0,24.0,hit_at_10,1,2,"<a_40><b_5><c_186> :: ids=[2430] :: fam=connector_fitting :: Yueton 100pcs Red 22/18- Gauge Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_166><b_130><c_26> :: ids=[1035] :: fam=connector_fitting :: Anderson Metals Brass Pipe Fitting, 90 Degree Barstock Street Elbow, 3/8"" Male Pipe x 3/8"" Female Pipe
<a_166><b_31><c_194> :: ids=[3345] :: fam=connector_fitting :: Red Brass Pipe Fitting, Nipple, Schedule 40 Seamless, 1/4"" NPT Male X 3"" Length
<a_40><b_104><c_39> :: ids=[1033] :: fam=connector_fitting :: SOLOOP 50pcs Female & Male Fully Insulated Wire Terminals Connector Nylon Spade Connectors Blue
<a_40><b_2><c_46> :: ids=[597] :: fam=connector_fitting :: Ginsco 110pcs Female Yellow 12-10 Gauge Nylon Fully-Insulated Quick Disconnects Wiring Spade Wire Connector Crimp Terminal","<a_24><b_83><c_129> :: ids=[1033] :: fam=connector_fitting :: SOLOOP 50pcs Female & Male Fully Insulated Wire Terminals Connector Nylon Spade Connectors Blue
<a_24><b_110><c_8> :: ids=[2897] :: fam=connector_fitting :: Ginsco 110pcs Female Red 22-18 Gauge Nylon Fully-Insulated Quick Disconnects Wiring Spade Wire Connector Crimp Terminal
<a_24><b_110><c_168> :: ids=[157] :: fam=connector_fitting :: Yueton 100pcs Female Fully Insulated Wire Crimp Terminal Nylon Quick Connectors Wiring Spade
<a_24><b_110><c_201> :: ids=[2430] :: fam=connector_fitting :: Yueton 100pcs Red 22/18- Gauge Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_248><b_109><c_145> :: ids=[42] :: fam=connector_fitting :: Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",,
gain_vs_v2,v2_on_p05,262,connector_fitting,1035,"Anderson Metals Brass Pipe Fitting, 90 Degree Barstock Street Elbow, 3/8"" Male Pipe x 3/8"" Female Pipe",<a_166><b_130><c_26>,7.0,,hit_at_10,1,3,"<a_40><b_5><c_186> :: ids=[2430] :: fam=connector_fitting :: Yueton 100pcs Red 22/18- Gauge Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_40><b_5><c_52> :: ids=[2617] :: fam=connector_fitting :: Yueton&reg; 100pcs Yellow 12/10-Gauge Economy Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_185><b_83><c_203> :: ids=[457] :: fam=other :: CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle
<a_109><b_114><c_135> :: ids=[176] :: fam=other :: URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size
<a_185><b_2><c_12> :: ids=[123] :: fam=other :: Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads","<a_137><b_142><c_105> :: ids=[1012] :: fam=other :: 4.5"" x 7/8"" Premium High Density Jumbo Zirconia Type 29 Flap Disc 40 Grit - 10 Pack
<a_24><b_110><c_201> :: ids=[2430] :: fam=connector_fitting :: Yueton 100pcs Red 22/18- Gauge Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_24><b_110><c_8> :: ids=[2897] :: fam=connector_fitting :: Ginsco 110pcs Female Red 22-18 Gauge Nylon Fully-Insulated Quick Disconnects Wiring Spade Wire Connector Crimp Terminal
<a_24><b_110><c_168> :: ids=[157] :: fam=connector_fitting :: Yueton 100pcs Female Fully Insulated Wire Crimp Terminal Nylon Quick Connectors Wiring Spade
<a_248><b_109><c_145> :: ids=[42] :: fam=connector_fitting :: Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",,
gain_vs_v2,v2_on_p05,376,3d_filament,1107,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",<a_178><b_165><c_4>,8.0,20.0,hit_at_10,0,0,"<a_178><b_230><c_5> :: ids=[3016] :: fam=3d_filament :: HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood
<a_178><b_166><c_183> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_143><c_111> :: ids=[3558] :: fam=3d_filament :: Professional Black 1.75mm PLA 3D Printer Filament, 1kg (2.2lb) Filament Weight, 0.05mm Tolerance, by ProMolt 3D
<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm","<a_202><b_149><c_116> :: ids=[3267] :: fam=3d_filament :: Filabot TB1 Taulman BRIDGE Filament, 1.75 mm, White
<a_112><b_65><c_53> :: ids=[1850] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red
<a_112><b_65><c_32> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_211><b_35><c_13> :: ids=[2703] :: fam=3d_filament :: eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black
<a_211><b_35><c_7> :: ids=[2157] :: fam=3d_filament :: eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",,
gain_vs_v2,v2_on_p05,394,3d_filament,2472,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",<a_178><b_154><c_141>,4.0,13.0,hit_at_10,0,0,"<a_178><b_252><c_162> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_178><b_154><c_135> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_154><c_141> :: ids=[2472] :: fam=3d_filament :: HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black
<a_178><b_165><c_53> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue","<a_45><b_249><c_244> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_112><b_65><c_58> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue
<a_112><b_65><c_53> :: ids=[1850] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red
<a_112><b_65><c_164> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_112><b_65><c_32> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",,
gain_vs_v2,v2_on_p05,512,3d_filament,3112,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",<a_178><b_14><c_94>,2.0,23.0,hit_at_10,0,2,"<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Pr
<a_178><b_14><c_94> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_178><b_14><c_107> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_135> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_75> :: ids=[2697] :: fam=3d_filament :: 3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)","<a_22><b_122><c_191> :: ids=[2909] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS
<a_112><b_122><c_79> :: ids=[2697] :: fam=3d_filament :: 3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_112><b_122><c_3> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_112><b_122><c_213> :: ids=[3475] :: fam=3d_filament :: 3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_112><b_65><c_53> :: ids=[1850] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",,
gain_vs_v2,v2_on_p05,515,3d_filament,3453,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_178><b_14><c_253>,8.0,16.0,hit_at_10,0,4,"<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Pr
<a_178><b_14><c_135> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_107> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_26> :: ids=[3442] :: fam=3d_filament :: 3D Solutech Real Purple 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_94> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK","<a_112><b_122><c_79> :: ids=[2697] :: fam=3d_filament :: 3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_112><b_122><c_17> :: ids=[3494] :: fam=3d_filament :: 3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_112><b_122><c_3> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_112><b_122><c_163> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_112><b_122><c_213> :: ids=[3475] :: fam=3d_filament :: 3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",,
gain_vs_v2,v2_on_p05,526,metadata_placeholder,54,"Industrial & Scientific"" />",<a_129><b_68><c_172>,8.0,,hit_at_10,1,1,"<a_92><b_110><c_254> :: ids=[1042] :: fam=other :: uxcell Mandrel Mounted White Conical Felt Point Polishing Tool
<a_185><b_2><c_12> :: ids=[123] :: fam=other :: Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads
<a_92><b_200><c_192> :: ids=[341] :: fam=other :: Neiko 11108A 4.5&rdquo; x 7/8-Inch Aluminum Oxide Flap Disc, 80 Grit | Flat Type #27 | 10-Pack
<a_185><b_254><c_5> :: ids=[1546] :: fam=other :: BreakFree CLP-PS Precision Shooter
<a_154><b_254><c_212> :: ids=[98] :: fam=metadata_placeholder :: Industrial & Scientific"" />","<a_48><b_18><c_223> :: ids=[1042] :: fam=other :: uxcell Mandrel Mounted White Conical Felt Point Polishing Tool
<a_247><b_248><c_33> :: ids=[98] :: fam=metadata_placeholder :: Industrial & Scientific"" />
<a_148><b_147><c_234> :: ids=[1995] :: fam=other :: Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube
<a_154><b_37><c_0> :: ids=[181, 182] :: fam=gauge_meter :: AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator / AcuRite 00613 Humidity Monitor with Indoor Thermometer
<a_42><b_203><c_209> :: ids=[148] :: fam=other :: Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",,
gain_vs_v2,v2_on_p05,566,ventilation_fan,218,Phresh Duct Silencer 8 in x 24 in,<a_35><b_170><c_107>,10.0,,hit_at_10,1,1,"<a_190><b_103><c_0> :: ids=[181, 182] :: fam=gauge_meter :: AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator / AcuRite 00613 Humidity Monitor with Indoor Thermometer
<a_190><b_185><c_201> :: ids=[159] :: fam=gauge_meter :: Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black
<a_197><b_173><c_161> :: ids=[84] :: fam=gauge_meter :: Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion
<a_209><b_33><c_25> :: ids=[577] :: fam=other :: Neiko 50458A Snap Ring Shop Assortment, 300 Count | 18 Sizes (1/8"" - 1-1/4"") | Hardened Steel
<a_77><b_45><c_0> :: ids=[139, 774] :: fam=other :: DuPont Teflon Non-Stick / DuPont Teflon Non-Stick","<a_154><b_37><c_0> :: ids=[181, 182] :: fam=gauge_meter :: AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator / AcuRite 00613 Humidity Monitor with Indoor Thermometer
<a_54><b_229><c_184> :: ids=[391] :: fam=gauge_meter :: Senco A209909 18-Gauge-by-1-2-Inch Electro Galvanized Variety Pack Brads
<a_106><b_151><c_251> :: ids=[1502] :: fam=other :: Dap 18275 DYNAFLEX 230, White 100% Waterproof Window, Door & Trim Sealant, 10.1 oz
<a_209><b_169><c_44> :: ids=[338] :: fam=gauge_meter :: Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black
<a_131><b_191><c_180> :: ids=[201] :: fam=connector_fitting :: ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D",,
gain_vs_v2,v2_on_p05,604,3d_filament,2507,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",<a_178><b_165><c_148>,3.0,40.0,hit_at_10,0,0,"<a_212><b_17><c_91> :: ids=[2926] :: fam=3d_filament :: HICTOP 5 Pieces 3D Printer Extruder Hotend 1.75mm Nozzle Throat for Reprap Prusa I3
<a_63><b_201><c_247> :: ids=[3541] :: fam=3d_filament :: 5PCS Nema 17 Stepper Motor Bipolar 2A 84oz.in 48mm 4-lead for 3D Printer/CNC
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_154><c_135> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_178><b_165><c_53> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue","<a_210><b_96><c_83> :: ids=[2998] :: fam=3d_filament :: SainSmart RepRap MK2B 3D printers Dual Power PCB HeatBed Heat Bed 12/24V Updated Version of MK2A
<a_210><b_86><c_244> :: ids=[3000] :: fam=3d_filament :: Endstop Microswitches for 3D Printer or CNC
<a_210><b_231><c_166> :: ids=[3211] :: fam=3d_filament :: Hobbypower 3D Printer Controller RAMPS 1.4 for REPRAP MENDEL PRUSA Arduino
<a_132><b_20><c_49> :: ids=[2534] :: fam=3d_filament :: RioRand(TM) RepRap Mega 2560(Arduino compatible),RAMPS 1.4,Stepstick Pololu A4988 Stepper Driver for 3D Printer,Prusa Mendel,MakerBot
<a_132><b_39><c_172> :: ids=[3649] :: fam=3d_filament :: [3D CAM] 5 PCS DRV8825 StepStick Stepper Motor Drivers for 3D Printer Electronics, CNC Machine or Robotics",,
gain_vs_v2,v2_on_p05,608,3d_filament,444,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",<a_178><b_154><c_50>,5.0,,hit_at_10,0,2,"<a_178><b_154><c_135> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_178><b_252><c_162> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_154><c_141> :: ids=[2472] :: fam=3d_filament :: HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black
<a_178><b_154><c_50> :: ids=[444] :: fam=3d_filament :: HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White","<a_45><b_249><c_244> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_112><b_65><c_53> :: ids=[1850] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red
<a_112><b_65><c_58> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue
<a_112><b_65><c_32> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_112><b_65><c_164> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",,
gain_vs_v2,v2_on_p05,618,3d_filament,2912,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_220><b_114><c_173>,9.0,,hit_at_10,1,1,"<a_220><b_114><c_145> :: ids=[2932] :: fam=3d_filament :: Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_53> :: ids=[2734] :: fam=3d_filament :: Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_156> :: ids=[2934] :: fam=3d_filament :: Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_221> :: ids=[2485] :: fam=3d_filament :: Inland 1.75mm Gold PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_224> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)","<a_33><b_35><c_241> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_211><b_35><c_13> :: ids=[2703] :: fam=3d_filament :: eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black
<a_211><b_35><c_7> :: ids=[2157] :: fam=3d_filament :: eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue
<a_33><b_35><c_247> :: ids=[3114] :: fam=3d_filament :: Inland 1.75mm Purple PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_211><b_147><c_178> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",,
gain_vs_v2,v2_on_p05,650,tape,125,"Gorilla 6100101 Tape Handy Roll, 1-Pack, Black",<a_31><b_208><c_41>,2.0,,hit_at_10,1,2,"<a_171><b_122><c_89> :: ids=[2492] :: fam=other :: Sunlite Bicycle Loose Ball Bearings 1/4"" Bag Of 144
<a_31><b_208><c_41> :: ids=[125] :: fam=tape :: Gorilla 6100101 Tape Handy Roll, 1-Pack, Black
<a_171><b_161><c_0> :: ids=[7, 8] :: fam=other :: UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) / UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)
<a_31><b_208><c_1> :: ids=[991] :: fam=tape :: Pro Gaffer Gaffers Tape, 2 in x 55 yd, Black
<a_190><b_103><c_0> :: ids=[181, 182] :: fam=gauge_meter :: AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator / AcuRite 00613 Humidity Monitor with Indoor Thermometer","<a_223><b_196><c_109> :: ids=[2531] :: fam=tape :: TapeCase Silver Aluminum Foil Tape with Conductive Acrylic Adhesive, Converted from 3M 1120, 36 yd Length, 0.313"" Width, Roll
<a_209><b_166><c_114> :: ids=[159] :: fam=gauge_meter :: Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black
<a_45><b_249><c_244> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_83><b_151><c_0> :: ids=[407] :: fam=gauge_meter :: Lucksender 100 Feet /30 Meter 1/4inch / 6mm I.D Polyolefin 2:1 Heat Shrink Tubing
<a_209><b_113><c_131> :: ids=[138] :: fam=ventilation_fan :: Fantronics 7mm Android Endoscope OTG Micro USB Endoscope Waterproof Borescopes Inspection Camera with 6 LED and 3.5M Cable",,
gain_vs_v2,v2_on_p05,661,other,406,"Hillman 830502 Flat Washer, Stainless-Steel",<a_68><b_231><c_185>,4.0,29.0,hit_at_10,1,2,"<a_235><b_239><c_31> :: ids=[506] :: fam=fastener :: Stainless 1/4-20 Hex Nuts, USS Coarse Thread, 304 Stainless Steel, 100 pieces (1/4 Hex Nuts)
<a_68><b_5><c_24> :: ids=[37] :: fam=other :: The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack
<a_68><b_85><c_138> :: ids=[3229] :: fam=other :: 100 qty 1/4"" Stainless Steel Flat Washers (18-8 Stainless)
<a_68><b_231><c_185> :: ids=[406] :: fam=other :: Hillman 830502 Flat Washer, Stainless-Steel
<a_68><b_85><c_58> :: ids=[841] :: fam=other :: Stainlesstown K18FWC Stainless Steel Flat Washer Assortment Kit","<a_105><b_5><c_225> :: ids=[37] :: fam=other :: The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack
<a_105><b_7><c_254> :: ids=[841] :: fam=other :: Stainlesstown K18FWC Stainless Steel Flat Washer Assortment Kit
<a_62><b_224><c_198> :: ids=[508] :: fam=fastener :: Hillman 829300 1/4-20 SS HEX NUT
<a_105><b_119><c_66> :: ids=[507] :: fam=other :: Stainless Flat Washers 1/4 Inch, 304 Stainless Steel, 100 pieces (1/4 Flat Washer) by ""Chenango Supply Co., Inc.
<a_105><b_172><c_78> :: ids=[401] :: fam=fastener :: Crown Bolt 30092 3/4 Inch Zinc-Plated SAE Flat Washers, 25-Count",,
