variant,level,bucket,size,top_family,top_family_frac,top_brand,top_brand_frac,family_counts_top6,brand_counts_top6,example_items
original,1,<a_94>,111,other,0.7297297297297297,SEOH,0.22522522522522523,other:81; 3d_filament:16; pipe_fitting:13; fastener_screw:1,SEOH:25; Karter Scientific:23; Pyrex:9; American Educational Products:5; Vktech:3; Scientific Equipment of Houston:3,"2296:1 X Glass Hydrometer Test Jar || 96:1 X Hydrometer - Triple Scale || 2816:1.0ml Graduated Transfer Pipettes, 5.0ml Capacity, 0.25ml Grad. Interval, Karter Scientifi || 2323:10 Pack - 20x150mm Pyrex Glass Test Tubes with Rubber Stoppers New || 3130:100ml Graduated Cylinder, Borosilicate 3.3 Glass, Single Metric Scale, Karter Scientific 2 || 3158:10ml Graduated Cylinder, Borosilicate 3.3 Glass, Single Metric Scale, Karter Scientific 21"
original,1,<a_158>,109,3d_filament,0.6238532110091743,Inland,0.1651376146788991,3d_filament:68; other:19; wire_cable:6; tape:5; battery_electrical:2; bearing_mechanical:2,Inland:18; 3D CAM:6; AMZ3D:6; HICTOP:4; UNKNOWN:4; VIVOSUN:3,2739:1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03 || 2742:1.75mm Dark Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/-  || 3654:1.75mm Orange PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.0 || 3598:1.75mm Red PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm || 2740:1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03 || 2741:1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.0
original,1,<a_42>,100,other,0.53,PORTER-CABLE,0.12,other:53; pipe_fitting:20; wire_cable:16; fastener_screw:6; blade_tool:3; staple:2,PORTER-CABLE:12; BOSTITCH:10; DEWALT:9; Stanley:6; ARROW FASTENER:6; SE:5,2586:10 Assorted Kelly Locking Hemostat Forceps 5.5 || 1637:10 Pcs Silver Tone Metal Butt Hinge for Window Cupboard || 3588:10Pcs Mini Iron Butterfly Hinges Cabinet Drawer Door Butt Hinge || 76:10pcs Mini Cabinet Drawer Butt Hinge || 834:315 Pieces Roll Pin Assortment Kit Set - SAE || 2406:5 PIECES SCISSORS FORCEPS HEMOSTATS NEEDLE HOLDERS DDP INSTRUMENTS
original,1,<a_17>,99,other,0.36363636363636365,Small Parts,0.24242424242424243,other:36; pipe_fitting:24; 3d_filament:10; heat_shrink:7; blade_tool:5; fastener_screw:5,Small Parts:24; ABN:5; UNKNOWN:3; guntap:2; Benchmark Abrasives:2; BQLZR:2,"2375:#1 Best Quality Zinc Self Drilling Drywall Anchors with Screws Kit, 100 Pieces All Togethe || 2632:(100&Omega;&ndash;1M&Omega;) 130pcs 13 Values RoHS Variable Resistor Potentiometers Assort || 1555:10 Pack of 10ml 10cc 2 Tsp. Oral Medication Syringes with Tip Cap W/o Needle(1 Pack) || 2841:100pcs Insulated Heat Shrink Waterproof Butt Connectors Wire electrical 22-10GA || 792:100pcs Solder Seal Wire Connectors, Sopoby Heat Shrink Butt Connectors, Waterproof Marine  || 1148:1018 Carbon Steel Rectangular Bar, Unpolished (Mill) Finish, Cold Finished Temper, ASTM A1"
original,1,<a_228>,96,heat_shrink,0.4166666666666667,Small Parts,0.125,heat_shrink:40; other:25; adhesive_glue:12; 3d_filament:8; wire_cable:4; pipe_fitting:3,Small Parts:12; uxcell:8; ATP:7; Install Bay:7; Temco:7; SummitLink:6,"3067:1/4"" Heat Shrink Tubing 2:1-50FT (Black) || 2873:3/8in OD 1/8in ID Speargun Band/Sling Thick Walled BLACK Latex Rubber Tubing ONE CONTINUOU || 1291:42 Piece Marine Heat Shrink Tubing Assortment Kit || 2711:50 Feet Black Rubber Latex Tubing 3/8""OD 1/4""ID (804B) || 2578:5mm Black Polyolefin Insulation Heat Shrink Tubing 6M 19.7ft || 2124:ATP IMBIBE NSF 61 Polyethylene Plastic Tubing, Blue, 11/64"" ID x 1/4"" OD, 100 feet Length"
original,1,<a_210>,95,other,0.6,Rubbermaid Commercial Products,0.25263157894736843,other:57; 3d_filament:23; tape:8; pipe_fitting:7,Rubbermaid Commercial Products:24; Plymor:11; Kimberly-Clark Professional:5; UltraSource:2; WEN:2; Pratt:2,"902:100 Poly Bag Zipper Resealable Plastic Shipping Bags 6"" x 9 || 2038:3"" X 4"" 4-mil Clear Resealable Zipper Poly Shipping Bags (Qty=100) || 723:4"" x 6"" 4 Mil (Heavy Duty) Plymor Brand Zipper Reclosable Storage Bags, DispenserBag Pack  || 1463:500 2x3 Clear Plastic Zipper Poly Locking Reclosable Bags 2 MiL || 1960:500 pcs 4""X6"" PVC Shrink Film Wrap Flat Bags 100 gauge || 2457:6"" x 9"", 4Mil Clear Reclosable Zip Lock Bags, case of 100"
original,1,<a_251>,92,other,0.5760869565217391,Small Parts,0.2826086956521739,other:53; bearing_mechanical:16; wire_cable:10; pipe_fitting:3; fastener_screw:3; abrasive_sandpaper:3,Small Parts:26; uxcell:8; VXB:7; CMS MAGNETICS:7; Remington Industries:5; Applied Magnets:4,"3315:008 Buna-N O-Ring, 70A Durometer, Black, 3/16"" ID, 5/16"" OD, 1/16"" Width (Pack of 100) || 1970:011 Buna-N O-Ring, 50A Durometer, Round, Black, 5/16"" ID, 7/16"" OD, 1/16"" Width (Pack of 1 || 3365:1 ct CMS Magnetics 120LB Holding Power Round Base Magnet RB85 3.8"" Cup Magnet || 1120:1000 lbs Capacity 12 Lazy Susan Bearing 5/16 Thick Turntable Bearings VXB Brand || 132:110 Copper Rectangular Bar, Unpolished (Mill) Finish, H04 Temper, ASTM B187, 1/4"" Thicknes || 1311:110 Copper Sheet, Unpolished (Mill) Finish, ASTM B152, 0.032"" Thickness, 12"" Width, 24"" Le"
original,1,<a_236>,84,battery_electrical,0.6547619047619048,uxcell,0.4166666666666667,battery_electrical:55; connector_terminal:10; other:8; 3d_filament:5; label_tag:2; wire_cable:2,uxcell:35; Gardner Bender:6; Packard:3; EATON Wiring:3; Temco:3; MLCS:2,2319:100 Pcs 6 x 6mm x 9.5mm PCB Momentary Tactile Tact Push Button Switch 4 Pin DIP || 633:100 x 2N2222 NPN TO-92 Plastic-Encapsulate Power Transistors 75V 600mA || 3262:30-10071 Spdt N.o./n.c. Magnetic Reed Switch (1) || 2653:3Pcs 6mm D Shaft 18 Position 360 Degree Rotary Encoder w Push Button || 1899:55pcs 6 Pin DPDT Self-locking Power Micro Push Button Switches 7mmx7mm || 1939:5pcs Nichicon 2200uF 10V 105C Aluminum Electrolytic Radial Lead Type Premium Capacitor for
original,1,<a_180>,81,other,0.7654320987654321,Prestige Medical,0.06172839506172839,other:62; pipe_fitting:11; wire_cable:3; 3d_filament:2; staple:1; blade_tool:1,Prestige Medical:5; 3M Littmann:4; Dynarex:4; MDF Instruments:3; ADC:3; TEKTON:3,"3087:10 Pcs VicTsing&reg; 5m USB Waterproof Endoscope Borescope Inspection Camera || 1967:100 Scalpel Blades # 11 with Free Handle || 558:3M Littmann 2144L Master Classic II Stethoscope, Black, 27 inch || 3502:3M Littmann Cardiology IV Diagnostic Stethoscope, Standard-Finish Chestpiece, Burgundy Tub || 838:3M Littmann Classic II S.E. Stethoscope, Black Tube, 28 inch, 2201 || 1472:3M Littmann Lightweight II S.E. Stethoscope, Burgundy Tube, 28 inch, 2451"
original,1,<a_165>,72,adhesive_glue,0.7638888888888888,Loctite,0.2361111111111111,adhesive_glue:55; other:7; fastener_screw:4; 3d_filament:3; tape:3,Loctite:17; Gorilla:10; J-B Weld:9; SCIGRIP:5; Krazy Glue:4; Bob Smith Industries:2,"2942:3M Scotch 6004 Super Strength Adhesive, 1 oz Tube || 2394:3M Scotch-Weld Epoxy Adhesive DP420 Black, 1.25 fl oz (Pack of 1) || 190:BSI BSI-202 Quick-Cure 5Min Epoxy Bob Smith Ind, 9 oz. || 253:Blue Magic 16002TRI QuikSteel Steel Reinforced Epoxy Putty Repair, Blister Pack - 2 oz. || 1388:Bob Smith Industries BSI-131H Insta-Cure Thin Super Glue, 1 oz. || 453:Bob Smith Industries BSI-201 Quik-Cure Epoxy (4.5 oz. Combined)"
original,1,<a_244>,72,adhesive_glue,0.6111111111111112,DAP,0.2361111111111111,adhesive_glue:44; other:18; tape:8; pipe_fitting:2,DAP:17; Red Devil:5; Sashco:5; Rectorseal:4; M-D Building Products:4; Oatey:3,"996:1/4"" Closed Cell Backer Rod - 100 ft Roll || 2473:Barge All Purpose Cement Quart (O22721) || 2153:Caulk Gun, ProTouch 0574 A Better caulking System for homeowners. Includes 2 oz. Tube of W || 3358:Colorimetrics Gray Putty Tape / Butyl Tape 1/8"" x 1"" x 30' (2-Pack) || 694:Colormetrics Gray Putty Tape / Butyl Tape 1/8"" x 1"" x 30' (Single Roll) || 533:DAP INC 18152 10.1oz White Alex Plus Acrylic Latex Caulk with Silicone"
original,1,<a_91>,72,3d_filament,0.75,HICTOP,0.08333333333333333,3d_filament:54; other:15; pipe_fitting:1; tape:1; abrasive_sandpaper:1,HICTOP:6; XYZprinting:5; Micro-Swiss:4; E3D:4; Printrbot:3; MakerBot:3,"3216:3D Printer Head(6PCS),6PCS 3D Printer 0.4mm Extruder Brass Nozzle Print Head for MK8 1.75m || 3071:3DMakerWorld 0.06mm (2.4mil) 8''x8'' Kapton Tape With Release Liner (10 Pack) || 3620:6 Pcs 100K ohm NTC Thermistors/Temp Sensor for Reprap 3D printer-HONTECH || 3088:6PCS x Custom Machined All Metal Heatbreak for V6 RepRap 3D Printer Hotend 1.75mm and Clon || 2726:ANYCUBIC 3D Printer Heating Controller MKS MOSFET for Heatbed Extruder MOS Module || 2331:Anycubic All Metal Right Hand MK8 Extruder Aluminum Frame Block DIY Kit for Reprap i3 3D P"
original,1,<a_87>,71,other,0.5915492957746479,Shepherd Hardware,0.07042253521126761,other:42; 3d_filament:17; pipe_fitting:7; bearing_mechanical:2; label_tag:1; fastener_screw:1,Shepherd Hardware:5; American Educational Products:4; Steelex:4; Alltrade:3; Marathon Industries:3; Hi-Lift:3,"1885:3"" X 1-1/4"" Swivel Casters Red Polyurethane Wheel Total Lock Brake 300lb Each (4) || 985:3000 Pentagon Tools Professional Quality Foot Lifter For Drywall And Sheetrock Panels Amaz || 43:4 Pack Caster Wheels Swivel Plate Stem Brake Casters On Red Polyurethane Wheels (4 inch wi || 3220:4M Table Top Robot || 1926:50-5401 TruePower 18"" X 12"" Mover's Dolly, 1000lbs Furniture Appliance, 4 x 3"" Rubber Swiv || 2525:AKRON PRODUCTS C-84 Floor Jack"
original,1,<a_30>,68,other,0.5588235294117647,uxcell,0.10294117647058823,other:38; 3d_filament:12; label_tag:5; battery_electrical:4; blade_tool:3; pipe_fitting:3,uxcell:7; STMicroelectronics:5; SainSmart:4; Addicore:4; Korad Technology:2; DIYmall:2,2446:100x 1N4007 Diode 1A 1000V Rectifier Diodes Arduino Motor Snubber Flyback || 2999:1MHz Function Generator Kit || 2564:20 Pieces LM386N-1 LM386N LM386 Low Voltage Audio Power Amplifier || 3266:2x ATMEL ATTINY85-20PU 8-BIT 20MHz MCU || 2958:50 Pcs 16.000MHz AT49S 20PF DIP Quartz Crystal Oscillator || 3541:5PCS Nema 17 Stepper Motor Bipolar 2A 84oz.in 48mm 4-lead for 3D Printer/CNC
original,1,<a_68>,67,other,0.3283582089552239,3M,0.16417910447761194,other:22; tape:21; fastener_screw:8; 3d_filament:6; label_tag:3; abrasive_sandpaper:3,3M:11; TapeCase:6; 3M Dual Lock:3; Avery:3; Hy-Ko Products:3; J.V. Converting:3,"1605:1805-OW-PB/B-5 Nylon Onewrap Strap, Hook and Loop, 1-1/2"" Wide, 5' Length, Black || 2856:2 Pack Kydex Plastic Sheet Black 12"" X 12"" X 1/16"" (0.060"") || 1591:3M 03142 5"" Backed Adhesive Disc Pad || 1196:3M 3431 Yellow Micro Prismatic Sheeting Reflective Tape, 3"" x 5 yd (1 Roll) || 1932:3M 3432 Red Micro Prismatic Sheeting Reflective Tape, 0.25"" X 5yd (1 Roll) || 783:3M 90128-00001, 18"" Professional Quality Non Reflective  Safety Cone, 1-Pack,3M,90128-0000"
original,1,<a_107>,66,other,0.6666666666666666,FLIR,0.12121212121212122,other:44; 3d_filament:8; battery_electrical:7; pipe_fitting:3; bearing_mechanical:1; label_tag:1,FLIR:8; Inkbird:6; Nubee:5; HM Digital:4; Ade Advanced Optics:4; Fluke:3,"3355:12"" Laboratory Thermometer || 181:AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga || 182:AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga || 1880:Ade Advanced Optics Anti-F Fahrenheit ATC Glycol Antifreeze/Battery Fluid Refractometer || 3427:Ade Advanced Optics Beer Wort and Wine Refractometer Double Scale 1.000-1.120 S.G + Brix 0 || 1942:Ade Advanced Optics aaogabf100atc Fahrenheit ATC Glycol Antifreeze/battery Fluid Refractom"
original,1,<a_44>,65,other,0.8769230769230769,First Aid Only,0.16923076923076924,other:57; pipe_fitting:5; abrasive_sandpaper:1; 3d_filament:1; label_tag:1,First Aid Only:11; Dynarex:9; Ammex:4; Medline:4; Justrite:3; MED PRIDE:3,"1854:3M 1860 Medical Mask N95, 20 Count || 292:3M 1860 N95 RESPIRATOR AND SURGICAL MASK Box of 20 || 641:AMMEX - ABNPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 4 mil,  || 1133:AMMEX - ABNPF46100-BX - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 4 mi || 625:AMMEX - ABNPF48100-BX - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 4 mi || 303:AMMEX - AINPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 3 mil, "
original,1,<a_173>,64,other,0.765625,WD-40,0.15625,other:49; pipe_fitting:4; tape:4; 3d_filament:3; adhesive_glue:2; bearing_mechanical:1,WD-40:10; CRC:6; 3-IN-ONE:5; Schaeffer Manufacturing Co:4; BreakFree:3; Super Lube:3,"3420:(2 Pack) Petrol Gel Food Grade Equipment LubricantNSF (2/4 oz. Tube) || 2601:3-IN-ONE  100% Dry to Touch Dry Lube Drip Oil, 4 OZ || 2269:3-IN-ONE  Fast-Acting Penetrant Drip Oil, 4 OZ || 184:3-IN-ONE  Multi-Purpose PTFE Lubricant, 4 OZ || 3565:3-IN-ONE  Professional Grade Pneumatic Tool Oil, 4 OZ || 545:3-IN-ONE 120070 Lock Dry Lube 2.5 oz (Pack of 1)"
original,1,<a_104>,60,other,0.7333333333333333,Wixey,0.08333333333333333,other:44; 3d_filament:6; pipe_fitting:4; blade_tool:3; wire_cable:1; fastener_screw:1,Wixey:5; TRLEN:3; Neiko:3; Capri Tools:3; All Industrial:3; Anytime Tools:2,"1160:AGPtek 3-joint Red Adjustable Magnetic Base Holder for Digital Dial Indicator || 491:AccuRemote Digital Electronic Magnetic Angle Gage Level / Protractor / Bevel Gauge || 1977:All Industrial 52502 | Pro-Shop Magnetic Base for Dial and Test Indicators || 236:American Educational Double Burette Clamp with Rubber-Coated Rotating Jaws, 3/8"" - 1-3/8""  || 62:Anytime Tools Dial Caliper 6"" / 150mm DUAL Reading Scale METRIC SAE Standard INCH MM || 1117:Anytime Tools Premium 0-1"" /0.0001 MICROMETER Precision Machinist Tool"
original,1,<a_197>,60,other,0.5666666666666667,Philips Sonicare,0.06666666666666667,other:34; 3d_filament:12; pipe_fitting:4; wire_cable:3; adhesive_glue:2; fastener_screw:2,Philips Sonicare:4; DuPont:2; Panasonic:2; Pentek:2; Continental ContiTech:2; Panavise:2,"851:3M Aqua-Pure Whole House Replacement Water Filter &ndash; Model AP810 || 1084:3M Hookit Film Disc 375L, Aluminum Oxide, 5"" Diameter, P180 Grade  (Pack of 50) || 3017:3M Littmann  Classic III Monitoring Stethoscope, Pearl Pink Tube, 27 inch, 5633 || 113:Bercom BER-2520-CT INC 6PK Handy 2520-CT Paint Pail Liners, 6-Count, Clear || 725:Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded || 2731:BuildTak 3D Printing Build Surface, 8"" x 8"" Square, Black (Pack of 3)"
original,1,<a_206>,60,other,0.5333333333333333,Eagle,0.05,other:32; tape:13; 3d_filament:7; pipe_fitting:2; staple:2; adhesive_glue:1,Eagle:3; XFasten:3; TapeCase:3; MS WGO:2; 3M:2; Dealmed:2,"2598:3M All Weather Flashing Tape 8067 Tan, 6 in x 75 ft Slit Liner (Pack of 1) || 200:3M Scotch 2120-A Tough Transparent Duct Tape, 1.8-Inch, 20 yds || 1031:ABN Adhesive Sticky Back 80-Grit Sandpaper Roll 2-3/4&rdquo; Inch x 20 Yards Aluminum Oxid || 2117:Action Pump 4007-10 Polyethylene Siphon Pump for use on 5 Gallon Pails, 2 GPM (Pack of 10) || 873:Ajent Citric Acid 100% Pure Food Grade Non-GMO (Approved for Organic Foods) 5 Pound || 1657:AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with S"
original,1,<a_79>,60,other,0.4166666666666667,Small Parts,0.15,other:25; tape:18; 3d_filament:8; pipe_fitting:5; adhesive_glue:3; heat_shrink:1,Small Parts:9; Tapes Master:6; LASCO:3; MG Chemicals:3; MEECO'S RED DEVIL:3; Arctic Silver:2,"1403:1 Mil Kapton Tape (Polyimide) - 1"" x 36 yds || 3484:1 Mil Kapton Tape (Polyimide) - 1/2"" X 36 Yds || 3497:1 Mil Kapton Tape (Polyimide) - 1/4"" X 36 Yds || 2466:1/4 inch x 55 yds Copper Foil Tape - (6mm x 50m) - EMI Shielding Conductive Adhesive || 2467:1/8 inch x 55 yds Copper Foil Tape - (3mm x 50m) - EMI Shielding Conductive Adhesive || 133:3M High Temperature Flue Tape, 15-Foot Roll"
original,1,<a_36>,54,other,0.7222222222222222,Extech,0.09259259259259259,other:39; 3d_filament:6; label_tag:3; battery_electrical:2; wire_cable:2; blade_tool:1,Extech:5; Hantek:4; SainSmart:4; Rigol:3; HM Digital:3; Fluke:2,"1371:Amprobe PRM-6 Phase Sequence and Motor Rotation Tester || 2496:Apera Instruments EC20 Value Conductivity Pocket Tester, &plusmn;1% F.S Accuracy, BPB Sens || 2528:AutoWT Digital Coaxial Toslink Adapter with Optical Cable, 3.5mm Audio Cable and USB Power || 61:B&K Precision 879B Dual Display Handheld Deluxe Universal LCR Meter with Backlit Display || 1389:C&E Digital Optical Coax to Analog R/L audio converter || 3084:Capacitance Meter DIY KIT"
original,1,<a_159>,52,other,0.5576923076923077,uxcell,0.09615384615384616,other:29; 3d_filament:10; fastener_screw:7; pipe_fitting:3; abrasive_sandpaper:1; blade_tool:1,uxcell:5; Ludell Tools:2; IIT:2; Generic:2; Stens:2; PSI Woodworking:1,"3591:1/4"" Eccentric Spacer for Full Size V Wheels (Pack of 20) || 82:25-Pack 7/64"" Stainless Steel Screw Eye Rings || 2306:260 Brass Sheet, Unpolished (Mill) Finish, Half Hard Temper, 0.001-0.015"" Thickness, 6"" Wi || 766:3M 05539 Roloc 2"" Disc Pad Assembly || 1557:44pc 8mm Mini Brass Hinge Replacement Wood Screws - Great for Arts & Crafts || 1330:Advanced Tool Design Model ATD-371 200 Piece Fiber & Nylon Washer Assortment"
