variant,sid,size,items,families,brands
original,<a_223><b_80><c_0>,3,"2659:3D Solutech:3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) || 3557:3D Solutech:3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG) || 3631:3D Solutech:3D Solutech Skin 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)","[('3d_filament', 3)]","[('3D Solutech', 3)]"
original,<a_180><b_226><c_0>,2,2956:DBPOWER:DBPOWER 2 MP 15M Tube USB Waterproof Hd 6-led Borescope Endoscope Inspection Camera(Silver Head) || 2957:DBPOWER:DBPOWER 2 MP 15M Tube USB Waterproof Hd 6-led Borescope Endoscope Inspection Camera(Silver Head),"[('other', 2)]","[('DBPOWER', 2)]"
original,<a_223><b_80><c_3>,2,"3112:3D Solutech:3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA1 || 3493:3D Solutech:3D Solutech Printer Filament, Real Blue PLA, 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 1.1 LBS (0.5KG)","[('3d_filament', 2)]","[('3D Solutech', 2)]"
original,<a_67><b_199><c_0>,2,3209:Ancor:Ancor Heat Shrink Ring Terminals || 3210:Ancor:Ancor Heat Shrink Ring Terminals,"[('heat_shrink', 2)]","[('Ancor', 2)]"
original,<a_223><b_212><c_0>,2,"3302:Black Magic 3D:PLA Glow in the Dark Cosmic Blue 3D Printing Filament, 1.75 mm || 3459:Black Magic 3D:PLA Glow in the Dark Cosmic Blue 3D Printing Filament, 1.75 mm","[('3d_filament', 2)]","[('Black Magic 3D', 2)]"
qcr,<a_211><b_228><c_0>,2,"7:UltraSource:UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) || 8:UltraSource:UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)","[('other', 2)]","[('UltraSource', 2)]"
qcr,<a_5><b_74><c_0>,2,139:DuPont:DuPont Teflon Non-Stick || 774:DuPont:DuPont Teflon Non-Stick,"[('other', 2)]","[('DuPont', 2)]"
qcr,<a_112><b_223><c_0>,2,"181:AcuRite:AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || 182:AcuRite:AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","[('other', 2)]","[('AcuRite', 2)]"
qcr,<a_5><b_38><c_0>,2,216:UNKNOWN:Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || 217:UNKNOWN:Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,"[('wire_cable', 2)]","[('UNKNOWN', 2)]"
qcr,<a_74><b_95><c_0>,2,"431:Osborn International:Industrial & Scientific"" /> || 1006:Osborn International:Industrial & Scientific"" />","[('other', 2)]","[('Osborn International', 2)]"
qcr,<a_84><b_168><c_0>,2,"1249:T-fal:T-fal C51402 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 8-Inch, Red || 1250:T-fal:T-fal C51402 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 8-Inch, Red","[('fastener_screw', 2)]","[('T-fal', 2)]"
qcr,<a_241><b_14><c_0>,2,"1382:Shoegoo:Shoe GOO&reg; Adhesive, 3.7 fl oz || 1788:Shoegoo:Shoe GOO&reg; Adhesive, 3.7 fl oz","[('adhesive_glue', 2)]","[('Shoegoo', 2)]"
qcr,<a_65><b_146><c_0>,2,1955:SEOH:SEOH 5 Pack Glass Borosilicate Graduated Beakers 50 100 250 600 and 1000ml || 3038:SEOH:SEOH 5 Pack Glass Borosilicate Graduated Beakers 50 100 250 600 and 1000ml,"[('other', 2)]","[('SEOH', 2)]"
qcr,<a_196><b_73><c_0>,2,2956:DBPOWER:DBPOWER 2 MP 15M Tube USB Waterproof Hd 6-led Borescope Endoscope Inspection Camera(Silver Head) || 2957:DBPOWER:DBPOWER 2 MP 15M Tube USB Waterproof Hd 6-led Borescope Endoscope Inspection Camera(Silver Head),"[('other', 2)]","[('DBPOWER', 2)]"
qcr,<a_228><b_43><c_0>,2,3209:Ancor:Ancor Heat Shrink Ring Terminals || 3210:Ancor:Ancor Heat Shrink Ring Terminals,"[('heat_shrink', 2)]","[('Ancor', 2)]"
qcr,<a_191><b_159><c_0>,2,"3302:Black Magic 3D:PLA Glow in the Dark Cosmic Blue 3D Printing Filament, 1.75 mm || 3459:Black Magic 3D:PLA Glow in the Dark Cosmic Blue 3D Printing Filament, 1.75 mm","[('3d_filament', 2)]","[('Black Magic 3D', 2)]"
