item_id,item_title,brand,test_count,train_item_events,main_hit10,l3_hit10,main_mean_rank,l3_mean_rank,main_mean_ndcg10,l3_mean_ndcg10,main_same_l12_hist_mean,l3_same_l12_hist_mean,main_l12_bucket_size,l3_l12_bucket_size,main_sid,l3_sid,hit10_delta_l3_minus_main,ndcg10_delta_l3_minus_main
50,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue",HATCHBOX,13,498,11,11,80.46153846153847,80.0,0.7494661534109665,0.5411211514808569,1.6153846153846154,2.1538461538461537,24,27,<a_222><b_157><c_189>,<a_184><b_67><c_111>,0,-0.20834500193010952
416,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,Pro-1,7,36,2,1,576.0,856.5714285714286,0.2857142857142857,0.09013282193877965,0.42857142857142855,0.42857142857142855,2,2,<a_223><b_126><c_85>,<a_56><b_228><c_9>,-1,-0.19558146377550606
2472,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",HATCHBOX,10,366,4,0,212.9,516.3,0.19030899869919438,0.0,0.3,0.2,24,21,<a_222><b_109><c_177>,<a_184><b_252><c_69>,-4,-0.19030899869919438
870,"Gardner Bender GSW-111  Electrical Long Bat Handle Toggle Switch, SPST, ON-OFF, 20 A/125V AC,  Screw Terminal",Gardner Bender,2,107,2,2,1.0,1.5,1.0,0.8154648767857288,0.0,1.0,3,5,<a_0><b_181><c_9>,<a_67><b_160><c_129>,0,-0.18453512321427123
1383,"Justrite AccuFlow 7225420 Type II Galvanized Steel Safety Can with 5/8"" Flexible Spout, 2.5 Gallon Capacity, Green",Justrite,2,27,1,0,502.5,999.0,0.1781035935540111,0.0,1.0,0.0,4,4,<a_241><b_15><c_146>,<a_20><b_70><c_70>,-1,-0.1781035935540111
2431,Ginsco 110pcs Male Red 22-18 Gauge Nylon Fully-Insulated Quick Disconnects Wiring Spade Wire Connector Crimp Terminal,Ginsco,2,6,2,1,5.5,502.0,0.3715299971712819,0.19342640361727081,1.5,0.5,8,7,<a_202><b_60><c_113>,<a_191><b_135><c_220>,-1,-0.17810359355401106
1249,"T-fal C51402 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 8-Inch, Red",T-fal,7,84,7,7,1.0,1.5714285714285714,1.0,0.8231227867347022,1.0,1.0,3,3,<a_50><b_26><c_0>,<a_20><b_182><c_0>,0,-0.17687721326529782
140,DuPont Teflon Silicone Lubricant,DuPont,12,104,11,11,84.66666666666667,85.41666666666667,0.83226141172329,0.6598177915627393,0.0,0.0,1,1,<a_225><b_26><c_144>,<a_173><b_61><c_241>,0,-0.1724436201605507
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3D,14,36,9,2,221.64285714285714,295.5,0.21214198979267154,0.04445701140365865,2.4285714285714284,1.8571428571428572,23,24,<a_222><b_68><c_19>,<a_184><b_137><c_15>,-7,-0.1676849783890129
283,Nitrile Exam Glove (non-latex) PF Medium Blue 100/BX,VersaPro,3,461,1,1,666.3333333333334,667.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,2,9,<a_254><b_254><c_116>,<a_91><b_193><c_105>,0,-0.16666666666666666
2332,Metal J-head V6 Hotend 1.75mm Filament 0.4mm Bowden Extruder Reprap 3D Printer with 1 Meter Tubing,Syhonic,2,105,1,0,9.5,999.0,0.16666666666666666,0.0,0.0,0.0,7,6,<a_186><b_249><c_4>,<a_251><b_204><c_207>,-1,-0.16666666666666666
2801,"Dixon BA74 Brass Fitting, Adapter, 3/4"" GHT Male x 1/2"" NPTF Male",Dixon Valve & Coupling,2,15,1,0,503.0,999.0,0.16666666666666666,0.0,0.0,0.0,4,1,<a_78><b_135><c_3>,<a_31><b_135><c_154>,-1,-0.16666666666666666
377,"Gorilla Tape, Black Tough & Wide Duct Tape, 2.88"" x 30 yd, Black, (Pack of 1)",Gorilla,4,208,1,0,749.75,754.5,0.15773243839286438,0.0,0.25,0.25,5,7,<a_150><b_83><c_15>,<a_42><b_40><c_21>,-1,-0.15773243839286438
3312,"TEMCo 3/4"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft BLACK",Temco,4,3,1,0,749.75,999.0,0.15773243839286438,0.0,0.25,0.25,7,7,<a_210><b_0><c_35>,<a_115><b_53><c_61>,-1,-0.15773243839286438
2605,Acid Blend - 1 lb.,Home Brew Ohio,2,60,1,0,503.5,999.0,0.15773243839286438,0.0,0.0,0.0,1,1,<a_142><b_16><c_246>,<a_12><b_228><c_20>,-1,-0.15773243839286438
1824,DTOL 10 X Mini Laser Dot Diode Module Head WL Red 650nm 6mm 5V 5mW Pack of 10,DTOL,6,170,2,1,503.8333333333333,342.5,0.21484413771964797,0.059367864518003695,0.0,0.0,2,2,<a_104><b_145><c_50>,<a_175><b_119><c_206>,-1,-0.15547627320164428
66,Brown & Sharpe 599-792-30 Adjustable Spring Tensioned Tap Guide,TESA Brown & Sharpe,2,66,1,0,504.0,999.0,0.1505149978319906,0.0,0.0,0.0,2,2,<a_160><b_18><c_146>,<a_88><b_234><c_175>,-1,-0.1505149978319906
3443,Inland 1.75mm Translucent Magenta PETG 3D Printer Filament - 1kg Spool (2.2 Lbs),Inland,8,22,3,0,503.625,505.625,0.14869256505516942,0.0,1.25,1.25,21,18,<a_186><b_178><c_0>,<a_251><b_78><c_19>,-3,-0.14869256505516942
332,DEWALT DW4523 4-1/2-Inch by 1/4-Inch by 5/8-Inch General Purpose Metal Grinding Wheel,DEWALT,2,198,1,0,504.5,505.5,0.14453241315894394,0.0,0.0,0.0,3,1,<a_122><b_197><c_166>,<a_71><b_75><c_250>,-1,-0.14453241315894394
356,"PORTER-CABLE PNS18075 3/4-Inch, 18 Gauge Narrow Crown (1/4-Inch) Staple (5000-Pack)",PORTER-CABLE,1,25,1,1,4.0,9.0,0.43067655807339306,0.3010299956639812,0.0,0.0,4,1,<a_191><b_93><c_11>,<a_255><b_153><c_117>,0,-0.12964656240941186
2871,"3M 468MP Adhesive Transfer Tape, 4"" width x 5yd length (1 roll)",TapeCase,3,88,1,0,667.6666666666666,678.0,0.1289509357448472,0.0,0.0,0.0,1,1,<a_192><b_87><c_134>,<a_226><b_111><c_144>,-1,-0.1289509357448472
2083,Applied Magnets Strong N52 Neodymium Magnet 1 inch Cube,Applied Magnets,3,106,2,2,333.6666666666667,334.0,0.6666666666666666,0.5436432511904858,0.6666666666666666,0.6666666666666666,1,4,<a_175><b_80><c_117>,<a_13><b_108><c_240>,0,-0.12302341547618079
1376,"Century Drill and Tool 97205 Plug Hand Pipe Tap, 3/4-14 NPT",Century Drill & Tool,3,53,1,0,351.6666666666667,999.0,0.11873572903600739,0.0,0.3333333333333333,0.3333333333333333,3,3,<a_182><b_186><c_135>,<a_71><b_150><c_145>,-1,-0.11873572903600739
2697,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,30,73,23,14,203.5,306.3,0.3663803065877497,0.25180210527147856,1.3333333333333333,0.9333333333333333,23,24,<a_222><b_68><c_4>,<a_184><b_137><c_243>,-9,-0.11457820131627117
3466,"3D Solutech Real Red 3D Printer PLA Filament 1.75MM, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - RA-I00I-DQUY",3D Solutech,11,53,4,0,103.54545454545455,475.90909090909093,0.11371438194972949,0.0,2.090909090909091,1.7272727272727273,23,24,<a_222><b_68><c_15>,<a_184><b_137><c_14>,-4,-0.11371438194972949
851,3M Aqua-Pure Whole House Replacement Water Filter &ndash; Model AP810,,2,46,1,1,501.0,504.5,0.25,0.14453241315894394,0.5,0.5,1,1,<a_186><b_130><c_142>,<a_163><b_183><c_85>,0,-0.10546758684105606
1805,PODOY 20PCS Photoresistor GL5537 5537 LDR Photo Resistors Light-Dependent,SUNKEE,3,70,1,0,339.6666666666667,999.0,0.10515495892857625,0.0,0.0,0.0,2,3,<a_104><b_63><c_6>,<a_175><b_107><c_123>,-1,-0.10515495892857625
1851,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",HATCHBOX,20,409,13,15,253.6,253.75,0.3839183891071559,0.2907665130371443,0.05,1.1,24,27,<a_222><b_109><c_168>,<a_184><b_67><c_130>,2,-0.09315187607001163
450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",X-Treme Tape,4,148,2,2,502.0,501.25,0.3252574989159953,0.23266913951834828,0.5,0.5,10,9,<a_210><b_80><c_172>,<a_42><b_148><c_37>,0,-0.09258835939764704
1154,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length",Small Parts,4,453,4,4,1.0,1.25,1.0,0.9077324383928644,1.0,1.0,9,9,<a_225><b_205><c_68>,<a_253><b_135><c_41>,0,-0.09226756160713556
1157,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2"" Diameter, 12"" Length",Small Parts,4,234,4,4,1.0,1.25,1.0,0.9077324383928644,4.0,4.0,9,9,<a_225><b_205><c_224>,<a_253><b_135><c_54>,0,-0.09226756160713556
175,"Gorilla Crystal Clear Duct Tape, 1.88&rdquo; x 9 yd, Clear, (Pack of 1)",Gorilla,8,320,2,2,139.875,381.625,0.2038662191964322,0.11633456975917414,0.0,0.375,2,7,<a_150><b_240><c_151>,<a_42><b_40><c_129>,0,-0.08753164943725805
159,"Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black",Etekcity,14,379,3,0,442.7857142857143,722.7857142857143,0.08484877163560878,0.0,0.07142857142857142,0.07142857142857142,2,7,<a_31><b_214><c_92>,<a_59><b_178><c_9>,-3,-0.08484877163560878
774,DuPont Teflon Non-Stick,DuPont,9,162,2,1,777.5555555555555,353.6666666666667,0.12565886150793973,0.047852950897043674,0.1111111111111111,0.1111111111111111,2,2,<a_51><b_225><c_0>,<a_163><b_79><c_0>,-1,-0.07780591061089606
172,"Gorilla Super Glue Gel, 15 Gram, Clear",Gorilla,5,214,3,2,403.4,404.4,0.2261859507142915,0.14861199886851276,0.0,0.0,1,2,<a_150><b_239><c_118>,<a_19><b_0><c_3>,-1,-0.07757395184577875
1553,Inland 1.75mm Red PLA 3D Printer Filament - 1kg Spool (2.2 lbs),Inland,8,35,4,4,377.375,380.625,0.2663662191964322,0.18959570110145588,1.0,1.0,21,18,<a_186><b_178><c_87>,<a_251><b_78><c_7>,0,-0.07677051809497634
181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,132,2351,114,106,63.371212121212125,94.43181818181819,0.7557131798730327,0.680685585421648,0.5454545454545454,0.5454545454545454,2,2,<a_31><b_221><c_0>,<a_59><b_52><c_0>,-8,-0.07502759445138463
340,Break-Free CLP-4 Cleaner Lubricant Preservative Squeeze Bottle (4 -Fluid Ounce),BreakFree,4,183,1,0,751.75,999.0,0.07226620657947197,0.0,0.0,0.0,2,1,<a_6><b_196><c_2>,<a_173><b_90><c_241>,-1,-0.07226620657947197
281,SE TL10 10-Piece Test Lead Set with Alligator Clips,SE,7,285,1,0,578.2857142857143,999.0,0.07142857142857142,0.0,0.0,0.0,1,1,<a_239><b_213><c_3>,<a_0><b_217><c_232>,-1,-0.07142857142857142
513,"Kimberly-Clark Professional Kimtech Science KimWipes Delicate Task Wipers, 4.4 x 8.4 in. 1-ply",Kimberly-Clark Professional,10,588,6,5,400.9,403.5,0.5315464876785729,0.4630929753571458,0.5,0.5,2,3,<a_254><b_197><c_7>,<a_83><b_87><c_215>,-1,-0.06845351232142716
125,"Gorilla 6100101 Tape Handy Roll, 1-Pack, Black",Gorilla,5,310,1,0,409.8,222.8,0.06666666666666667,0.0,0.0,0.0,1,1,<a_74><b_156><c_118>,<a_226><b_176><c_121>,-1,-0.06666666666666667
970,Wixey WR25 Mini Digital Height Gauge,Wixey,5,119,1,0,800.6,999.0,0.06666666666666667,0.0,0.0,0.0,3,2,<a_160><b_120><c_231>,<a_88><b_26><c_221>,-1,-0.06666666666666667
1255,"SE 82331TF 30-Piece Set of Titanium-Coated Diamond Burrs, Grits 120-150",SE,8,280,1,1,751.625,874.5,0.125,0.0625,0.125,0.0,2,1,<a_122><b_196><c_247>,<a_71><b_117><c_91>,0,-0.0625
