row_id,user_id,item_id,item_title,brand,history_len,train_item_events,main_l3_020_sid,main_l3_020_rank,main_l3_020_hit10,main_l3_020_ndcg10,main_l3_020_l1_rank,main_l3_020_l12_rank,main_l3_020_l1_hit1,main_l3_020_l12_hit10,main_l3_020_top1,main_l3_020_top1_title,main_l3_020_top1_in_history,main_l3_020_same_l1_hist_count,main_l3_020_same_l12_hist_count,main_l3_020_l1_bucket_size,main_l3_020_l12_bucket_size,main_l3_020_l1_train_events,main_l3_020_l12_train_events,main_l3_020_sid_train_events,l3_010_sid,l3_010_rank,l3_010_hit10,l3_010_ndcg10,l3_010_l1_rank,l3_010_l12_rank,l3_010_l1_hit1,l3_010_l12_hit10,l3_010_top1,l3_010_top1_title,l3_010_top1_in_history,l3_010_same_l1_hist_count,l3_010_same_l12_hist_count,l3_010_l1_bucket_size,l3_010_l12_bucket_size,l3_010_l1_train_events,l3_010_l12_train_events,l3_010_sid_train_events,ndcg10_delta_l3_minus_main,hit10_transition
10,A5867,2253,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",CS Hyde,5,30,<a_210><b_156><c_187>,999,0,0.0,999,999,0,0,<a_85><b_161><c_34>,"eSUN 3D 1.75mm PETG Orange Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparen",1,0,0,78,1,4508,30,30,<a_42><b_86><c_0>,999,0,0.0,999,999,0,0,<a_184><b_236><c_10>,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Trans",0,0,0,136,1,8406,30,30,0.0,0->0
11,A6006,450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",X-Treme Tape,4,148,<a_210><b_80><c_172>,9,1,0.3010299956639812,4,4,0,1,<a_6><b_47><c_154>,CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle,0,1,1,78,10,4508,728,148,<a_42><b_148><c_37>,3,1,0.5,2,2,0,1,<a_173><b_59><c_42>,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",1,1,1,136,9,8406,696,148,0.1989700043360188,1->1
12,A6172,59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),Loctite,5,233,<a_150><b_65><c_0>,999,0,0.0,999,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,1,0,65,2,4849,252,233,<a_19><b_24><c_186>,6,1,0.3562071871080222,6,6,0,1,<a_226><b_176><c_121>,"Gorilla 6100101 Tape Handy Roll, 1-Pack, Black",0,1,0,92,3,5739,294,233,0.3562071871080222,0->1
13,A6498,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,HHIP,3,0,<a_12><b_222><c_18>,999,0,0.0,999,999,0,0,<a_241><b_238><c_187>,Rubbermaid Commercial FG264600BLA Tandem Brute Trash Dolly,0,0,0,35,1,1210,0,0,<a_88><b_17><c_104>,999,0,0.0,999,999,0,0,<a_13><b_99><c_38>,"Keeper (07512) Koastal 12' x 1-1/2"" Lashing Strap with Protective Cover, (Pack of 2)",1,0,0,97,3,5001,72,0,0.0,0->0
14,A7420,3340,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",E-Projects,8,32,<a_239><b_66><c_228>,999,0,0.0,10,999,0,0,<a_182><b_239><c_7>,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threa",1,0,0,72,7,3416,207,32,<a_36><b_114><c_18>,999,0,0.0,999,999,0,0,<a_224><b_30><c_96>,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",0,0,0,62,3,2451,116,32,0.0,0->0
15,A300,352,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,General Tools Mfg Co In,3,122,<a_173><b_51><c_150>,999,0,0.0,999,999,0,0,<a_210><b_83><c_207>,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Out",1,0,0,56,1,2129,122,122,<a_167><b_171><c_226>,999,0,0.0,46,999,0,0,<a_19><b_166><c_11>,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,0,0,0,50,1,2672,122,122,0.0,0->0
16,A300,516,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",ProTool,4,23,<a_173><b_103><c_163>,999,0,0.0,2,43,0,0,<a_210><b_83><c_207>,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Out",1,1,0,56,2,2129,250,23,<a_167><b_225><c_189>,999,0,0.0,5,999,0,0,<a_19><b_22><c_222>,"Devcon Epoxy, 2 Ton Epoxy, 4.25 Ounce each, 2 Bottles",0,1,0,50,1,2672,23,23,0.0,0->0
17,A2094,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",Camco,10,420,<a_225><b_241><c_197>,999,0,0.0,999,999,0,0,<a_145><b_199><c_3>,Uxcell a10073000ux0031 2 Pcs 8 Position Double Row Screw Terminal Covered Barrier Strip 60,0,0,0,83,1,5783,420,420,<a_115><b_88><c_89>,29,0,0.0,2,29,0,0,<a_245><b_249><c_150>,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers wit",0,1,0,92,1,4746,420,420,0.0,0->0
18,A2094,1080,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",Pyrex,10,30,<a_178><b_104><c_123>,999,0,0.0,999,999,0,0,<a_51><b_147><c_85>,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers wit",0,0,0,68,5,3077,179,30,<a_223><b_0><c_29>,999,0,0.0,999,999,0,0,<a_115><b_175><c_3>,Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES,1,0,0,89,3,4110,70,30,0.0,0->0
19,A2177,326,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,J-B Weld,3,174,<a_89><b_124><c_1>,999,0,0.0,999,999,0,0,<a_210><b_10><c_25>,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Str",1,0,0,75,2,2986,676,174,<a_19><b_166><c_10>,999,0,0.0,39,46,0,0,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,0,0,92,6,5739,756,174,0.0,0->0
20,A2177,1098,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,J-B Weld,4,40,<a_89><b_99><c_210>,999,0,0.0,2,999,0,0,<a_210><b_10><c_25>,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Str",1,1,0,75,6,2986,166,40,<a_19><b_142><c_220>,999,0,0.0,1,999,1,0,<a_19><b_166><c_11>,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,0,1,0,92,1,5739,40,40,0.0,0->0
21,A2571,1305,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",RMP,2,6,<a_175><b_202><c_79>,999,0,0.0,1,999,1,0,<a_175><b_144><c_55>,"ABS Sheet - .118"" Thick, Black, 12"" x 24"" Nominal",1,1,0,48,3,1277,50,6,<a_253><b_80><c_1>,999,0,0.0,2,999,0,0,<a_19><b_53><c_56>,"Gorilla 5000408  Original Gorilla Glue, Waterproof Polyurethane Glue, 4 ounce Bottle, Brow",0,1,0,56,3,3830,50,6,0.0,0->0
22,A2890,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,4,2351,<a_31><b_221><c_0>,2,1,0.6309297535714575,2,2,0,1,<a_235><b_23><c_47>,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",1,0,0,61,2,7390,3869,3869,<a_59><b_52><c_0>,15,0,0.0,14,15,0,0,<a_226><b_117><c_150>,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",1,0,0,80,2,8035,3869,3869,-0.6309297535714575,1->0
23,A2890,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,5,2351,<a_31><b_221><c_0>,1,1,1.0,1,1,1,1,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,1,1,61,2,7390,3869,3869,<a_59><b_52><c_0>,1,1,1.0,1,1,1,1,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,1,1,80,2,8035,3869,3869,0.0,1->1
24,A2890,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,6,1518,<a_31><b_221><c_0>,1,1,1.0,1,1,1,1,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,2,2,61,2,7390,3869,3869,<a_59><b_52><c_0>,1,1,1.0,1,1,1,1,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,2,2,80,2,8035,3869,3869,0.0,1->1
25,A3799,3287,Pomona 1296 BNC (M) Binding Posts,Pomona,4,0,<a_239><b_220><c_96>,999,0,0.0,19,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,0,0,72,2,3416,0,0,<a_0><b_6><c_226>,999,0,0.0,2,999,0,0,<a_59><b_178><c_7>,Nubee Temperature Gun Non-contact Digital Laser Infrared IR Thermometer,0,1,0,66,3,2275,0,0,0.0,0->0
26,A4404,2899,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",Dynatex,7,7,<a_6><b_142><c_132>,999,0,0.0,999,999,0,0,<a_225><b_26><c_144>,DuPont Teflon Silicone Lubricant,1,0,0,55,1,2965,7,7,<a_173><b_168><c_70>,999,0,0.0,1,999,1,0,<a_173><b_166><c_75>,WD-40 300052 Specialist Dirt and Dust Resistant Dry Lube PTFE Spray 10 OZ (Pack of 1),0,1,0,76,1,3522,7,7,0.0,0->0
27,A4750,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",BSI,3,119,<a_89><b_200><c_47>,999,0,0.0,45,999,0,0,<a_210><b_10><c_25>,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Str",0,0,0,75,1,2986,119,119,<a_92><b_56><c_124>,999,0,0.0,999,999,0,0,<a_42><b_31><c_38>,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Str",0,0,0,28,1,1682,119,119,0.0,0->0
28,A4750,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",BSI,4,119,<a_89><b_200><c_47>,2,1,0.6309297535714575,2,2,0,1,<a_210><b_10><c_25>,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Str",0,1,1,75,1,2986,119,119,<a_92><b_56><c_124>,1,1,1.0,1,1,1,1,<a_92><b_56><c_124>,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",1,1,1,28,1,1682,119,119,0.36907024642854247,1->1
29,A6672,1392,Pomona 4970 Bnc (M) with 20 Awg Leads,Pomona,2,0,<a_239><b_215><c_252>,999,0,0.0,31,999,0,0,<a_50><b_236><c_103>,"Heathrow Scientific HD15906 Hayman-Type Spatula with Flat End and Spoon End, 6-1/4"" Overal",1,0,0,72,1,3416,0,0,<a_0><b_6><c_196>,999,0,0.0,999,999,0,0,<a_86><b_134><c_196>,"Diagnostics Direct 0P-PBFT-BFTO Dynarex Disposable Scalpels, Sterile, Number 11 (Pack of 1",0,0,0,66,3,2275,0,0,0.0,0->0
30,A6672,2175,Pomona 3788 Bnc (F) to Minigrabber Test Clips,Pomona,3,0,<a_239><b_220><c_22>,999,0,0.0,4,999,0,0,<a_50><b_236><c_103>,"Heathrow Scientific HD15906 Hayman-Type Spatula with Flat End and Spoon End, 6-1/4"" Overal",1,1,0,72,2,3416,0,0,<a_0><b_6><c_111>,999,0,0.0,23,999,0,0,<a_59><b_178><c_7>,Nubee Temperature Gun Non-contact Digital Laser Infrared IR Thermometer,0,1,1,66,3,2275,0,0,0.0,0->0
31,A6874,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,uxcell,6,11,<a_145><b_50><c_255>,999,0,0.0,999,999,0,0,<a_222><b_68><c_238>,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/-",1,0,0,109,6,3826,144,11,<a_67><b_223><c_239>,999,0,0.0,999,999,0,0,<a_184><b_137><c_8>,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/-",1,0,0,86,1,3495,11,11,0.0,0->0
32,A6893,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3D Solutech,3,155,<a_222><b_68><c_238>,15,0,0.0,2,15,0,0,<a_186><b_249><c_4>,Metal J-head V6 Hotend 1.75mm Filament 0.4mm Bowden Extruder Reprap 3D Printer with 1 Mete (+1),0,0,0,159,23,10557,895,155,<a_184><b_137><c_8>,999,0,0.0,4,999,0,0,<a_251><b_181><c_2>,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",0,0,0,210,24,12329,846,155,0.0,0->0
33,A1105,123,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",Red Devil,7,306,<a_247><b_64><c_117>,999,0,0.0,999,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",0,0,0,54,2,1863,334,306,<a_77><b_176><c_80>,27,0,0.0,27,27,0,0,<a_19><b_22><c_222>,"Devcon Epoxy, 2 Ton Epoxy, 4.25 Ounce each, 2 Bottles",0,0,0,62,1,2192,306,306,0.0,0->0
34,A1960,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,HHIP,10,0,<a_12><b_222><c_18>,999,0,0.0,999,999,0,0,<a_10><b_152><c_100>,"Keeper (07512) Koastal 12' x 1-1/2"" Lashing Strap with Protective Cover, (Pack of 2)",1,0,0,35,1,1210,0,0,<a_88><b_17><c_104>,999,0,0.0,999,999,0,0,<a_85><b_71><c_129>,Rubbermaid Commercial FG264600BLA Tandem Brute Trash Dolly,0,0,0,97,3,5001,72,0,0.0,0->0
35,A2846,1874,"FastenMaster FMHLGM278-50 HeadLOK Heavy-Duty Flathead Fastener, 2-7/8 Inches, 50-Count",FastenMaster,4,18,<a_182><b_139><c_154>,999,0,0.0,999,999,0,0,<a_247><b_24><c_143>,"Osborn International 59702SP Economy Stainless Steel Scratch Brush with Plastic Handle, 5-",1,0,0,134,2,4252,39,18,<a_224><b_116><c_35>,999,0,0.0,38,999,0,0,<a_88><b_152><c_63>,Jonard Tools Mid Span Slitter (1.2mm-3.3mm),0,0,0,150,1,5503,18,18,0.0,0->0
36,A3436,1344,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),VXB,4,80,<a_34><b_30><c_199>,999,0,0.0,999,999,0,0,<a_122><b_145><c_229>,"ZJchao 10 pieces Tungsten Carbide Rotary Burr SET 1/8"" shank [Misc.]",0,0,0,74,3,2902,251,80,<a_84><b_64><c_24>,999,0,0.0,999,999,0,0,<a_71><b_220><c_54>,PORTER-CABLE 740001201 4 1/2-Inch by 10yd 120 Grit Adhesive-Backed Sanding Roll,0,0,0,85,2,2652,217,80,0.0,0->0
37,A3548,2817,"PHARMEX 1-78G Permanent Paper Label,""FOR RECTAL USE"", 1 9/16"" x 3/8"", Blue (500 per Roll, 2 Rolls per Box)",PHARMEX,4,9,<a_127><b_118><c_168>,999,0,0.0,999,999,0,0,<a_202><b_97><c_123>,American Terminal E-FFB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Female Quick Dis,0,0,0,11,1,400,9,9,<a_62><b_12><c_113>,999,0,0.0,999,999,0,0,<a_42><b_46><c_37>,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Out",1,0,0,24,1,864,9,9,0.0,0->0
38,A3572,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,uxcell,3,11,<a_145><b_50><c_255>,999,0,0.0,999,999,0,0,<a_254><b_15><c_110>,"PhysiciansCare by First Aid Only 24-201 Eye Wash Solution, 32 ounce Bottle",1,0,0,109,6,3826,144,11,<a_67><b_223><c_239>,999,0,0.0,999,999,0,0,<a_92><b_90><c_105>,Propylene Glycol 1 Quart - USP - KOSHER - PURE,1,0,0,86,1,3495,11,11,0.0,0->0
39,A3757,725,"Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded",Bissell,5,93,<a_165><b_95><c_227>,999,0,0.0,34,999,0,0,<a_82><b_111><c_119>,Elkay LKSMHOOK SinkMate Hook,1,0,0,98,1,5516,93,93,<a_196><b_77><c_126>,999,0,0.0,999,999,0,0,<a_59><b_178><c_7>,Nubee Temperature Gun Non-contact Digital Laser Infrared IR Thermometer,0,0,0,55,1,3156,93,93,0.0,0->0
40,A4297,2216,SE 526SF 7&rdquo; Self-Locking Sponge Forceps,SE,4,24,<a_50><b_69><c_86>,999,0,0.0,2,999,0,0,<a_191><b_218><c_245>,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,0,1,0,73,3,3854,253,24,<a_86><b_234><c_38>,999,0,0.0,999,999,0,0,<a_134><b_146><c_0>,"Industrial & Scientific"" /> (+1)",1,0,0,51,2,2011,229,24,0.0,0->0
41,A4913,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,1,2351,<a_31><b_221><c_0>,1,1,1.0,1,1,1,1,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,1,1,61,2,7390,3869,3869,<a_59><b_52><c_0>,1,1,1.0,1,1,1,1,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,1,1,80,2,8035,3869,3869,0.0,1->1
42,A4913,831,"DEWALT DW8062B5 4-1/2-Inch by 0.045-Inch Metal and Stainless Cutting Wheel, 7/8-Inch Arbor, 5-Pack",DEWALT,2,147,<a_122><b_3><c_2>,999,0,0.0,999,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,0,0,72,2,3918,339,147,<a_71><b_147><c_122>,999,0,0.0,999,999,0,0,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,0,0,125,3,5886,395,147,0.0,0->0
43,A4913,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",AcuRite,3,1518,<a_31><b_221><c_0>,1,1,1.0,1,1,1,1,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,2,2,61,2,7390,3869,3869,<a_59><b_52><c_0>,1,1,1.0,1,1,1,1,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,2,2,80,2,8035,3869,3869,0.0,1->1
44,A4913,850,"HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25' Length, 0.375"" ID, Black",HBD Thermoid,4,72,<a_225><b_42><c_104>,999,0,0.0,43,999,0,0,<a_31><b_221><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,0,0,83,2,5783,81,72,<a_115><b_160><c_15>,999,0,0.0,8,999,0,0,<a_59><b_52><c_0>,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Ga (+1)",1,0,0,92,2,4746,81,72,0.0,0->0
45,A6263,2223,"250ml Narrow Mouth Erlenmeyer Flask with Rubber Stoppers, Karter Scientific 213G20 (Pack of 8)",Karter Scientific,1,61,<a_178><b_70><c_64>,999,0,0.0,999,999,0,0,<a_212><b_215><c_59>,Genie 34107R.S Screw Drive Carriage,0,0,0,68,1,3077,61,61,<a_223><b_56><c_147>,999,0,0.0,999,999,0,0,<a_88><b_109><c_44>,Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch,0,0,0,89,2,4110,223,61,0.0,0->0
