record_id,stage,run_finished_at,dataset_key,category,variant,tokenizer_record_id,tokenizer_variant,tokenizer_family,recipe,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,hr_at_1,hr_at_3,hr_at_5,hr_at_10,hr_at_50,test_example_count,constraint_invalid_total,result_json_path,model_path,notes
legacy_rl_industrial_refactor,rl_eval,-,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_off,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_off,0.07191705,0.08632164,0.09189485,0.09937582,0.07191705,0.09662475,0.11008162,0.13324509,0.22170748,4533,0,./results/recovered_legacy/final_result_rl_Industrial_and_Scientific_refactor.json,./output/rl_Industrial_and_Scientific_refactor__weights_moved_to_data/final_checkpoint,wandb_run=run-20260308_173725-gzx7wrje;output_dir=rl_Industrial_and_Scientific_refactor;source_sft=./output/sft_Industrial_and_Scientific_refactor/final_checkpoint; rl_model_path remapped to __weights_moved_to_data alias
legacy_sft_industrial_refactor,sft_eval,-,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_off,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_off,0.06618134,0.08176242,0.08899578,0.09930147,0.06618134,0.09243327,0.11008162,0.14206927,0.24398853,4533,0,./results/recovered_legacy/final_result_sft_Industrial_and_Scientific_refactor.json,./output/sft_Industrial_and_Scientific_refactor/final_checkpoint,wandb_run=run-20260306_224642-azsayp36;output_dir=sft_Industrial_and_Scientific_refactor;code_window=0c11c97-era
sft_industrial_mgr_stage3_r401b_title_on_desc_p05_20260415_003935,sft_eval,2026-04-15 00:39:35 CST,industrial,Industrial_and_Scientific,mgr_stage3_r401b_title_on_desc_p05,tok_industrial_stage3_r401b_g005,stage3_r401b_g005,stage3_prefix_retained,title_history2sid_on+desc_align_p05,0.06706375,0.08479311,0.09017463,0.09905007,0.06706375,0.09772777,0.11096404,0.13853960,0.24442974,4533,0,./results/experiments/mgr_sid_stage3_sft_eval_20260414/final_result_sft_mgr_stage3_r401b_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_sft_eval_20260414/r401b_title_on_desc_p05/sft/final_checkpoint,Industrial stage-3 first full downstream test of R401b candidate codebook space; title_history2sid_on + desc_align_p05 SFT/evaluate completed on 4 GPUs; result is negative relative to current v2_on_p05 and also slightly below stage2 R202a under the same recipe.
sft_industrial_noalign_20260323_235623,sft_eval,2026-03-24 02:46:05 CST,industrial,Industrial_and_Scientific,title_history2sid_on__desc_align_off,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_on+desc_align_off,0.06243106,0.07981905,0.08688172,0.09872236,0.06243106,0.09287448,0.11008162,0.14714317,0.24840062,4533,0,./results/final_result_sft_Industrial_and_Scientific_noalign_20260323_235623.json,./output/sft_Industrial_and_Scientific_noalign_20260323_235623/final_checkpoint,Industrial SFT baseline with TitleHistory2SidSFTDataset enabled and description alignment disabled; repo was dirty at record time with local changes in config/sft.yaml config/rl.yaml and src/onerec/sft/datasets.py
sft_industrial_align_20260325_004842,sft_eval,2026-03-25 07:08:54 CST,industrial,Industrial_and_Scientific,title_history2sid_on__desc_align_p05,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_on+desc_align_p05,0.06353408,0.08273148,0.08944313,0.0987037,0.06353408,0.09684536,0.11317009,0.14206927,0.24398853,4533,0,./results/final_result_sft_Industrial_and_Scientific_align_20260325_004842.json,./output/sft_Industrial_and_Scientific_align_20260325_004842/final_checkpoint,Industrial SFT baseline with TitleHistory2SidSFTDataset enabled and description alignment enabled at probability 0.5
sft_industrial_mgr_r680a_title_on_desc_p05_2gpu_20260418_114424,sft_eval,2026-04-18 11:44:24 CST,industrial,Industrial_and_Scientific,mgr_r680a_title_on_desc_p05_2gpu,tok_industrial_r680a_l1_smooth_l2_contrastive_multihop,r680a_l1_smooth_l2_contrastive_multihop,mgr_clean_l2_interface,title_history2sid_on+desc_align_p05,0.06882859,0.08496913,0.09038132,0.09863899,0.06882859,0.09706596,0.11008162,0.13567174,0.23362012,4533,0,./results/experiments/mgr_sid_r680a_sft_eval_20260418/final_result_sft_mgr_r680a_title_on_desc_p05_2gpu_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r680a_sft_eval_20260418/title_on_desc_p05_2gpu/sft/final_checkpoint,"R680a downstream adjudication for the clean L2 contrastive interface line; 2-GPU effective-batch-aligned SFT/evaluate. Better than R650a/R640c, but still below current v2_on_p05, so not promotable to RL."
sft_industrial_mgr_collab_ranking_local_multihop_mid_title_off_desc_p05_20260419_163520,sft_eval,2026-04-19 19:42:21 CST,industrial,Industrial_and_Scientific,mgr_collab_ranking_local_multihop_mid_title_off_desc_p05,tok_industrial_collab_ranking_local_multihop_mid,collab_ranking_local_multihop_mid,mgr_collab_ranking,title_history2sid_off+desc_align_p05,0.06596073,0.08221681,0.08868210,0.09806915,0.06596073,0.09419810,0.10986102,0.13920141,0.24685639,4533,0,./results/experiments/mgr_sid_collab_ranking_local_multihop_mid_sft_eval_20260419/final_result_sft_mgr_collab_ranking_local_multihop_mid_title_off_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_collab_ranking_local_multihop_mid_sft_eval_20260419/title_off_desc_p05/sft/final_checkpoint,"Strongest-recipe check（最强配方验证） for R720b local_multihop（局部多跳） tokenizer（分词器）. Switching to title_history2sid_off + desc_align_p05（关闭 title_history2sid 并开启 desc_align_p05） does not rescue downstream gap（无法挽救下游差距）: it is slightly worse than the title_on variant（title_on 版本） and still clearly below the strongest original SFT（原版最强监督微调）. Evaluate（评测） reported root_branch_count（根分支数）=247 and constraint_invalid_total（约束失配总数）=0, so the remaining gap is not explained by invalid constrained decoding（非法约束解码） or recipe mismatch（配方错配） alone."
sft_industrial_title_history2sid_off__desc_align_off_mb4_20260326_003015,sft_eval,2026-03-26 02:23:24 CST,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_off,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_off,0.06618134,0.08105079,0.08765776,0.09792588,0.06618134,0.09199206,0.10809618,0.13986323,0.22854622,4533,0,./results/final_result_sft_Industrial_and_Scientific_title_history2sid_off__desc_align_off_mb4_20260326_003015.json,./output/sft_Industrial_and_Scientific_title_history2sid_off__desc_align_off_mb4_20260326_003015/final_checkpoint,Industrial repo-faithful SFT baseline rerun with micro_batch_size 4 closer to the original open-source mainline
sft_industrial_mgr_tagcf_r510_title_on_desc_p05_20260415_172218,sft_eval,2026-04-15 17:22:18 CST,industrial,Industrial_and_Scientific,mgr_tagcf_r510_title_on_desc_p05,tok_industrial_tagcf_r510_attr_mid,tagcf_r510_attr_mid,tagcf_semantic_to_topology,title_history2sid_on+desc_align_p05,0.07103463,0.08504532,0.08945908,0.09758171,0.07103463,0.09530113,0.10611074,0.13148026,0.22567836,4533,0,./results/experiments/mgr_sid_tagcf_sft_eval_20260415/final_result_sft_mgr_tagcf_r510_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tagcf_sft_eval_20260415/r510_title_on_desc_p05/sft/final_checkpoint,"Industrial TAGCF first full downstream test of R510 candidate codebook space; title_history2sid_on + desc_align_p05 SFT/evaluate completed on 4 GPUs; result is negative relative to current v2_on_p05, R202a, and R401b, though still above R401d on NDCG@10."
sft_industrial_mgr_r693a_title_on_desc_p05_20260418_191146,sft_eval,2026-04-18 19:11:46 CST,industrial,Industrial_and_Scientific,mgr_r693a_title_on_desc_p05,tok_industrial_r693a_hier_collab_only_multihop,r693a_hier_collab_only_multihop,mgr_hier_collab_only,title_history2sid_on+desc_align_p05,0.06309287,0.07971921,0.08678189,0.09730760,0.06309287,0.09155085,0.10875800,0.14162806,0.24310611,4533,0,./results/experiments/mgr_sid_r693a_sft_eval_20260418/final_result_sft_mgr_r693a_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r693a_sft_eval_20260418/title_on_desc_p05/sft/final_checkpoint,R693a hierarchical collaboration-only multihop（层级纯协同多跳） SFT/evaluate result; negative versus current v2_on_p05 and R680a on NDCG@10; not promotable to RL（强化学习）.
sft_industrial_mgr_r690b_title_on_desc_p05_20260418_210710,sft_eval,2026-04-19 00:40:33 CST,industrial,Industrial_and_Scientific,mgr_r690b_title_on_desc_p05,tok_industrial_r690b_hier_cost_guided,r690b_hier_cost_guided,mgr_cost_inspired,title_history2sid_on+desc_align_p05,0.06706375,0.08148676,0.08858811,0.09719408,0.06706375,0.09221266,0.10941981,0.13611295,0.24310611,4533,0,./results/experiments/mgr_sid_r690b_sft_eval_20260418/final_result_sft_mgr_r690b_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r690b_sft_eval_20260418/title_on_desc_p05/sft/final_checkpoint,R690b CoST-inspired（受 CoST 启发） protected branch under the current v2 recipe（当前 v2 配方）. Result is negative versus current v2_on_p05（当前 v2_on_p05） and below the strict recipe-aligned original baseline（严格配方对齐原版基线）; not promotable to RL（强化学习）.
sft_industrial_mgr_r650a_title_on_desc_p05_20260417_173702,sft_eval,2026-04-17 17:37:02 CST,industrial,Industrial_and_Scientific,mgr_r650a_title_on_desc_p05,tok_industrial_r650a_seq2graph_mid_pull_push,r650a_seq2graph_mid_pull_push,mgr_seq2graph_push_pull,title_history2sid_on+desc_align_p05,0.06529892,0.08132393,0.08777955,0.09517630,0.06529892,0.09353629,0.10919921,0.13236267,0.22986984,4533,0,./results/experiments/mgr_sid_r650a_sft_eval_20260417/final_result_sft_mgr_r650a_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r650a_sft_eval_20260417/title_on_desc_p05/sft/final_checkpoint,"R650a downstream adjudication for Seq2Graph-lite high-order carrier plus mid-only pull-push under the current v2 recipe; result is negative versus current v2_on_p05 SFT and strongest original SFT, and only modestly above R640c/R630c, so it should not be promoted to RL."
sft_industrial_mgr_upstream_baseline_20260410,sft_eval,-,industrial,Industrial_and_Scientific,mgr_upstream_baseline,tok_industrial_mgr_upstream_baseline,mgr_upstream_baseline,mgr_v1_upstream,title_history2sid_on+desc_align_off,0.06309287,0.07771807,0.08560683,0.09430022,0.06309287,0.08824178,0.10743437,0.13434811,0.24244430,4533,-,./results/experiments/mgr_sid_sft_eval_industrial_20260410/final_result_sft_mgr_upstream_baseline_Industrial_and_Scientific.json,./output/experiments/mgr_sid_sft_eval_industrial_20260410/mgr_upstream_baseline/sft/final_checkpoint,backfilled from config + evaluate result + training log
sft_industrial_title_history2sid_off__desc_align_off_20260325_131408,sft_eval,2026-03-25 16:00:08 CST,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_off,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_off,0.05691595,0.07390207,0.08378435,0.09380221,0.05691595,0.08603574,0.11008162,0.14118685,0.23295831,4533,0,./results/final_result_sft_Industrial_and_Scientific_title_history2sid_off__desc_align_off_20260325_131408.json,./output/sft_Industrial_and_Scientific_title_history2sid_off__desc_align_off_20260325_131408/final_checkpoint,Industrial SFT baseline with TitleHistory2SidSFTDataset disabled and description alignment disabled
sft_industrial_mgr_upstream_hierarchy_20260410,sft_eval,-,industrial,Industrial_and_Scientific,mgr_upstream_hierarchy,tok_industrial_mgr_upstream_hierarchy,mgr_upstream_hierarchy,mgr_v1_upstream,title_history2sid_on+desc_align_off,0.06265167,0.08024707,0.08641766,0.09359572,0.06265167,0.09287448,0.10787558,0.13037723,0.23604677,4533,-,./results/experiments/mgr_sid_sft_eval_industrial_20260410/final_result_sft_mgr_upstream_hierarchy_Industrial_and_Scientific.json,./output/experiments/mgr_sid_sft_eval_industrial_20260410/mgr_upstream_hierarchy/sft/final_checkpoint,backfilled from config + evaluate result + training log
sft_industrial_mgr_stage3_r401d_title_on_desc_p05_20260415_034005,sft_eval,2026-04-15 03:40:05 CST,industrial,Industrial_and_Scientific,mgr_stage3_r401d_title_on_desc_p05,tok_industrial_stage3_r401d_g005_a005,stage3_r401d_g005_a005,stage3_prefix_retained,title_history2sid_on+desc_align_p05,0.06353408,0.07871079,0.08548844,0.09353784,0.06353408,0.08978601,0.10633135,0.13148026,0.23803221,4533,0,./results/experiments/mgr_sid_stage3_sft_eval_20260414/final_result_sft_mgr_stage3_r401d_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_sft_eval_20260414/r401d_title_on_desc_p05/sft/final_checkpoint,"Industrial stage-3 second full downstream test of R401d candidate codebook space; title_history2sid_on + desc_align_p05 SFT/evaluate completed on 4 GPUs; result is negative relative to current v2_on_p05, strongest original SFT, and also below R401b."
sft_industrial_mgr_r640c_title_on_desc_p05_20260417_044859,sft_eval,2026-04-17 04:48:59 CST,industrial,Industrial_and_Scientific,mgr_r640c_title_on_desc_p05,tok_industrial_r640c_seq2graph_rel_masked,r640c_seq2graph_rel_masked,mgr_seq2graph_lite,title_history2sid_on+desc_align_p05,0.06265167,0.07810151,0.08528820,0.09305728,0.06265167,0.08956541,0.10699316,0.13125965,0.22678138,4533,0,./results/experiments/mgr_sid_r640c_sft_eval_20260417/final_result_sft_mgr_r640c_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r640c_sft_eval_20260417/title_on_desc_p05/sft/final_checkpoint,"R645 downstream adjudication for R640c Seq2Graph-lite rel_masked carrier under the current v2 recipe; result is negative versus current v2_on_p05 SFT and strongest original SFT, so carrier-only smoothness is not promotable, but this does not by itself reject the later high-order carrier plus explicit push-pull direction."
sft_industrial_mgr_r630c_title_on_desc_p05_20260416_203557,sft_eval,2026-04-16 20:35:57 CST,industrial,Industrial_and_Scientific,mgr_r630c_title_on_desc_p05,tok_industrial_r630c_mid_pull_push,r630c_mid_pull_push,mgr_mid_pull_push,title_history2sid_on+desc_align_p05,0.06198985,0.07875537,0.08503064,0.09261199,0.06198985,0.09066843,0.10589014,0.12971542,0.22457534,4533,0,./results/experiments/mgr_sid_r630c_sft_eval_20260416/final_result_sft_mgr_r630c_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r630c_sft_eval_20260416/title_on_desc_p05/sft/final_checkpoint,"Current v2-recipe downstream adjudication for R630c; tokenizer-side gains did not survive SFT/evaluate, reinforcing that generated collision is not a reliable promotion metric."
sft_industrial_mgr_collab_ranking_mainline_title_on_desc_p05_20260419_010153,sft_eval,2026-04-19 04:44:46 CST,industrial,Industrial_and_Scientific,mgr_collab_ranking_mainline_title_on_desc_p05,tok_industrial_collab_ranking_mainline,collab_ranking_mainline,mgr_collab_ranking,title_history2sid_on+desc_align_p05,0.06243106,0.07755000,0.08420364,0.09234589,0.06243106,0.08868299,0.10500772,0.13015663,0.22986984,4533,0,./results/experiments/mgr_sid_collab_ranking_mainline_sft_eval_20260419/final_result_sft_mgr_collab_ranking_mainline_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_collab_ranking_mainline_sft_eval_20260419/title_on_desc_p05/sft/final_checkpoint,R720a collab-ranking（协同排序） mainline with fagsp_mid_base（基础中层图）. Negative versus v2_on_p05（当前 v2_on_p05） and strict recipe-aligned original baseline（严格配方对齐原版基线）; superseded by R720b local_multihop（R720b 局部多跳）.
sft_industrial_mgr_tokenizer_v2_title_off_desc_off_20260411_224557,sft_eval,2026-04-12 01:06:30 CST,industrial,Industrial_and_Scientific,mgr_tokenizer_v2_title_off_desc_off,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_off+desc_align_off,0.05890139,0.07413063,0.08105963,0.09125202,0.05890139,0.08537392,0.10236047,0.13390690,0.23825281,4533,0,./results/experiments/mgr_sid_v2_recipe_isolation_industrial_20260411/final_result_sft_mgr_tokenizer_v2_title_off_desc_off_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v2_recipe_isolation_20260411/title_off_desc_off/sft/final_checkpoint,Industrial v2 recipe isolation run (title_history2sid_off + desc_align_off); 4-GPU torchrun SFT and 4-GPU parallel evaluate; confirms that turning title_history2sid off is the main negative factor for current v2 downstream transfer.
sft_industrial_mgr_tokenizer_v2_desc_align_p05_20260411_141710,sft_eval,2026-04-11 18:43:49,industrial,Industrial_and_Scientific,mgr_tokenizer_v2_desc_align_p05,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_off+desc_align_p05,0.05912199,0.07366054,0.08019183,0.08993428,0.05912199,0.08427090,0.10015442,0.13081844,0.21597176,4533,0,./results/experiments/mgr_sid_v2_sft_desc_align_p05_industrial_20260411/final_result_sft_mgr_tokenizer_v2_desc_align_p05_Industrial_and_Scientific.json,./output/experiments/mgr_sid_v2_sft_desc_align_p05_industrial_20260411/mgr_tokenizer_v2_offline/sft/final_checkpoint,Industrial v2 tokenizer plugged into strongest original MiniOneRec SFT recipe (title_history2sid_off + desc_align_p05); 4-GPU torchrun SFT and 4-GPU parallel evaluate; underperforms strongest original MiniOneRec SFT and also underperforms recipe-aligned original noalign baseline.
legacy_rl_office_refactor_16,rl_eval,-,office,Office_Products,title_history2sid_off__desc_align_off,tok_office_original_semantic,original_semantic_office,original_semantic,title_history2sid_off+desc_align_off,0.08569667,0.10546401,0.11086730,0.11714102,0.08569667,0.11898890,0.13214139,0.15166461,0.21968763,4866,0,./results/recovered_legacy/final_result_rl_Office_Products_refactor_16.json,./output/rl_Office_Products_refactor_16/final_checkpoint,wandb_run=run-20260311_130824-584wytfg;output_dir=rl_Office_Products_refactor_16;source_sft=./output/sft_Office_Products_refactor/final_checkpoint; output_dir_reused_2_times_follow_latest_wandb
legacy_sft_office_refactor,sft_eval,-,office,Office_Products,title_history2sid_off__desc_align_off,tok_office_original_semantic,original_semantic_office,original_semantic,title_history2sid_off+desc_align_off,0.08117550,0.09911784,0.10634376,0.11486865,0.08117550,0.11200164,0.12946979,0.15536375,0.24743115,4866,0,./results/recovered_legacy/final_result_sft_Office_Products_refactor.json,./output/sft_Office_Products_refactor/final_checkpoint,wandb_run=run-20260309_151624-w9dovwp3;output_dir=sft_Office_Products_refactor;code_window=0d6158a-era
