idx,user_id,item_id,item_title,family,brand,target_sid,target_l1,target_l2,target_l1_bucket_size,target_l2_bucket_size,target_l1_family_purity,target_l2_family_purity,target_l1_dominant_family,target_l2_dominant_family,history_len,target_l1_in_history,target_l2_in_history,rank,rank_found,hit1,hit3,hit5,hit10,hit20,hit50,ndcg10,ndcg50,top1_sid,top1_item_repr,top1_item_titles,top1_families,top1_brands,top1_same_l1,top1_same_l2,top1_same_family,top1_same_brand,top1_history_repeat,top10_history_repeat_count,top50_history_repeat_count,top10_has_target_l1,top10_has_target_l2,top50_has_target_l1,top50_has_target_l2,failure_type_at10,top5_predictions
324,A2198,3202,"XiKe 30012X (300 Qty) 1/2"" Steel Balls, Slingshot Ammo Steel shot - G100",other,XiKe,<a_71><b_207><c_232>,<a_71>,<a_71><b_207>,118,3,0.6271186440677966,1.0,other,other,5,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_165><b_59><c_69>,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,J-B Weld,0,0,0,0,0,2,4,0,0,0,0,l1_routing_miss,<a_165><b_59><c_69> || <a_210><b_231><c_0> || <a_165><b_59><c_20> || <a_107><b_93><c_0> || <a_202><b_52><c_171>
325,A2564,2671,"Gardner Bender GHG-1538 5PK 3/8"" Grommet, Black",connector_fitting,Gardner Bender,<a_71><b_49><c_117>,<a_71>,<a_71><b_49>,118,1,0.6271186440677966,1.0,other,connector_fitting,10,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_73><b_8><c_168>,285,Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs,connector_fitting,Z&T,0,0,1,0,0,0,2,0,0,0,0,l1_routing_miss,<a_73><b_8><c_168> || <a_73><b_231><c_56> || <a_30><b_191><c_20> || <a_73><b_58><c_117> || <a_73><b_254><c_47>
326,A2564,3209,Ancor Heat Shrink Ring Terminals,adhesive_epoxy,Ancor,<a_67><b_199><c_0>,<a_67>,<a_67><b_199>,119,3,0.5714285714285714,1.0,connector_fitting,adhesive_epoxy,10,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_73><b_231><c_56>,734,"microtivity IL188 5mm Assorted Clear LED w/Resistors (8 Colors, Pack of 80)",other,microtivity,0,0,0,0,0,1,2,0,0,0,0,l1_routing_miss,<a_73><b_231><c_56> || <a_30><b_191><c_20> || <a_73><b_8><c_168> || <a_73><b_58><c_117> || <a_73><b_233><c_141>
327,A2564,3210,Ancor Heat Shrink Ring Terminals,adhesive_epoxy,Ancor,<a_67><b_199><c_0>,<a_67>,<a_67><b_199>,119,3,0.5714285714285714,1.0,connector_fitting,adhesive_epoxy,10,1,1,1,1,1,1,1,1,1,1,1.0,1.0,<a_67><b_199><c_0>,3209,Ancor Heat Shrink Ring Terminals || Ancor Heat Shrink Ring Terminals,adhesive_epoxy,Ancor,1,1,1,1,1,1,2,1,1,1,1,hit10,<a_67><b_199><c_0> || <a_67><b_230><c_156> || <a_73><b_185><c_122> || <a_73><b_58><c_117> || <a_73><b_36><c_154>
328,A2564,1152,"Irwin Tools 2629- 3 Piece High Carbon Steel- Tap 5/16"" - 24 NF",other,Irwin Tools,<a_224><b_140><c_169>,<a_224>,<a_224><b_140>,191,2,0.7329842931937173,1.0,fastener,other,10,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_67><b_199><c_0>,3209,Ancor Heat Shrink Ring Terminals || Ancor Heat Shrink Ring Terminals,adhesive_epoxy,Ancor,0,0,0,0,1,1,2,0,0,0,0,l1_routing_miss,<a_67><b_199><c_0> || <a_67><b_230><c_156> || <a_67><b_199><c_82> || <a_73><b_8><c_168> || <a_73><b_58><c_117>
329,A2925,1931,MALIDA 1/4 inch OD Tube push fit straight quick connect for water purifiers (10 pack),connector_fitting,Malida,<a_108><b_38><c_8>,<a_108>,<a_108><b_38>,143,1,0.5384615384615384,1.0,connector_fitting,connector_fitting,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_44><b_9><c_168>,283,Nitrile Exam Glove (non-latex) PF Medium Blue 100/BX,other,VersaPro,0,0,0,0,0,1,2,0,0,0,0,l1_routing_miss,<a_44><b_9><c_168> || <a_44><b_9><c_196> || <a_122><b_11><c_238> || <a_44><b_9><c_244> || <a_122><b_225><c_182>
330,A3845,2672,"JB Industries DVO-24 Bottle of Black Gold Vacuum Pump Oil, 1 gallon - GIDDS-2463009",other,JB Industries,<a_173><b_100><c_15>,<a_173>,<a_173><b_100>,64,2,0.75,1.0,other,other,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,0,0,0,0,0,2,3,0,0,1,0,l1_routing_miss,<a_107><b_93><c_0> || <a_23><b_231><c_219> || <a_73><b_231><c_56> || <a_67><b_23><c_3> || <a_228><b_187><c_137>
331,A3999,1764,SIEMENS WN2060U Non-Fused AC Disconnect,other,Siemens,<a_236><b_134><c_19>,<a_236>,<a_236><b_134>,84,1,0.7380952380952381,1.0,other,other,5,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_108><b_154><c_173>,2266,Supco BPV31 Bullet Piercing Valve,other,Supco,0,0,1,0,1,3,4,1,0,1,0,l2_routing_miss_after_l1_hit,<a_108><b_154><c_173> || <a_228><b_125><c_21> || <a_73><b_8><c_168> || <a_236><b_173><c_68> || <a_236><b_116><c_203>
332,A5517,294,Graham Conderser Kit,connector_fitting,MHB,<a_52><b_204><c_122>,<a_52>,<a_52><b_204>,28,1,0.6785714285714286,1.0,other,connector_fitting,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_94><b_75><c_129>,824,"213C2 Karter Scientific Glass Graduated Cylinder 3 Piece Set 10, 50 & 100ml",other,Karter Scientific,0,0,0,0,0,2,2,0,0,0,0,l1_routing_miss,<a_94><b_75><c_129> || <a_94><b_93><c_171> || <a_94><b_93><c_57> || <a_94><b_163><c_50> || <a_14><b_75><c_236>
333,A5976,2734,Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,Inland,<a_158><b_72><c_232>,<a_158>,<a_158><b_72>,109,19,0.5596330275229358,1.0,3d_filament,3d_filament,5,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_158><b_206><c_3>,2739,1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,3d_filament,AMZ3D,1,0,1,0,0,1,2,1,0,1,1,l2_routing_miss_after_l1_hit,<a_158><b_206><c_3> || <a_158><b_245><c_180> || <a_158><b_206><c_223> || <a_158><b_217><c_2> || <a_223><b_198><c_182>
334,A6679,2736,Signswise 2 Pack 5mm 40T Extruder Driver Feeder Gear Bore for Makerbot Mk7 Mk8 3D Printer,3d_filament,Signswise,<a_159><b_19><c_56>,<a_159>,<a_159><b_19>,52,1,0.5192307692307693,1.0,other,3d_filament,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_228><b_113><c_68>,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,Camco,0,0,0,0,0,1,2,0,0,0,0,l1_routing_miss,<a_228><b_113><c_68> || <a_251><b_228><c_231> || <a_150><b_94><c_10> || <a_251><b_228><c_19> || <a_150><b_94><c_120>
335,A7088,1758,Signswise 200x200mm 12V 220W Silicone Rubber Heating Heater for 3D Printer Heated Beds,3d_filament,Signswise,<a_79><b_182><c_24>,<a_79>,<a_79><b_182>,60,2,0.4,1.0,other,3d_filament,7,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_223><b_86><c_176>,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,SainSmart,0,0,1,0,1,2,2,0,0,0,0,l1_routing_miss,<a_223><b_86><c_176> || <a_223><b_160><c_251> || <a_91><b_162><c_93> || <a_197><b_78><c_121> || <a_91><b_105><c_64>
336,A7560,1640,"MakerBeam Regular Starter Kit Black anodized including beams (10x10mm in diameter), brackets, nuts and bolts",fastener,MakerBeam,<a_23><b_164><c_167>,<a_23>,<a_23><b_164>,50,1,0.46,1.0,other,fastener,5,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_223><b_172><c_97>,3558,"Professional Black 1.75mm PLA 3D Printer Filament, 1kg (2.2lb) Filament Weight, 0.05mm Tolerance, by ProMolt 3D",3d_filament,ProMolt 3D,0,0,0,0,1,2,4,0,0,0,0,l1_routing_miss,<a_223><b_172><c_97> || <a_223><b_31><c_151> || <a_91><b_162><c_93> || <a_223><b_86><c_176> || <a_223><b_78><c_41>
337,A157,628,WD-40 Multi-Use Product - Multi-Purpose Lubricant with EZ-REACH Flexible Straw. 14.4 oz. (6 Pack),other,WD-40,<a_173><b_94><c_213>,<a_173>,<a_173><b_94>,64,3,0.75,0.3333333333333333,other,fastener,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_24><b_249><c_10>,627,"Shop Vac, 37987, Black Plastic",other,Shop Vac,0,0,1,0,1,2,3,0,0,1,0,l1_routing_miss,<a_24><b_249><c_10> || <a_202><b_52><c_171> || <a_202><b_82><c_207> || <a_244><b_118><c_244> || <a_202><b_62><c_182>
338,A157,629,Ginsco 200pcs 3 Size Heat Shrink Butt Connectors Kit Electrical Insulated Wire Terminal 10-22 AWG Set,connector_fitting,Ginsco,<a_67><b_243><c_3>,<a_67>,<a_67><b_243>,119,2,0.5714285714285714,1.0,connector_fitting,connector_fitting,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_173><b_174><c_196>,268,WD-40 300052 Specialist Dirt and Dust Resistant Dry Lube PTFE Spray 10 OZ (Pack of 1),other,WD-40,0,0,0,0,0,1,3,0,0,0,0,l1_routing_miss,<a_173><b_174><c_196> || <a_173><b_16><c_141> || <a_173><b_128><c_25> || <a_173><b_129><c_245> || <a_66><b_78><c_36>
339,A157,630,Bellows Hand Duster BHD001 by Anteater,3d_filament,Anteater,<a_24><b_16><c_61>,<a_24>,<a_24><b_16>,119,1,0.7142857142857143,1.0,other,3d_filament,5,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_173><b_174><c_196>,268,WD-40 300052 Specialist Dirt and Dust Resistant Dry Lube PTFE Spray 10 OZ (Pack of 1),other,WD-40,0,0,0,0,0,0,2,0,0,1,0,l1_routing_miss,<a_173><b_174><c_196> || <a_173><b_16><c_141> || <a_173><b_128><c_25> || <a_173><b_162><c_142> || <a_173><b_129><c_245>
340,A1725,2881,yueton 10 Pcs AC 125V 6A Amps ON/ON 6 Terminals 2 Position DPDT Toggle Switch,other,yueton,<a_236><b_39><c_136>,<a_236>,<a_236><b_39>,84,2,0.7380952380952381,1.0,other,other,5,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_73><b_58><c_117>,2229,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,fastener,uxcell,0,0,0,0,0,0,3,0,0,1,1,l1_routing_miss,<a_73><b_58><c_117> || <a_73><b_37><c_53> || <a_73><b_37><c_0> || <a_73><b_231><c_56> || <a_30><b_149><c_83>
341,A1851,2757,Self Drilling Drywall Plastic Anchors with Screws Kit,fastener,Toofix,<a_17><b_171><c_187>,<a_17>,<a_17><b_171>,99,2,0.6363636363636364,1.0,other,fastener,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_165><b_15><c_16>,202,Loctite Liquid Professional Super Glue  20-Gram Bottle (1365882),adhesive_epoxy,Loctite,0,0,0,0,0,2,3,1,0,1,0,l2_routing_miss_after_l1_hit,<a_165><b_15><c_16> || <a_165><b_247><c_68> || <a_224><b_77><c_43> || <a_165><b_52><c_74> || <a_224><b_209><c_7>
342,A2637,225,"Anderson Metals Brass Hose Fitting, Connector, 5/16"" Barb x 3/8"" Male Pipe",connector_fitting,Anderson Metals,<a_108><b_88><c_41>,<a_108>,<a_108><b_88>,143,3,0.5384615384615384,1.0,connector_fitting,connector_fitting,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,0,0,0,0,1,1,1,0,0,0,0,l1_routing_miss,<a_107><b_93><c_0> || <a_107><b_135><c_157> || <a_107><b_133><c_57> || <a_107><b_183><c_251> || <a_107><b_90><c_50>
343,A2637,226,"Anderson Metals Brass Hose Fitting, Connector, 3/4"" Barb x 3/4"" Male Pipe",connector_fitting,Anderson Metals,<a_108><b_244><c_216>,<a_108>,<a_108><b_244>,143,4,0.5384615384615384,0.75,connector_fitting,connector_fitting,5,1,0,2,1,0,1,1,1,1,1,0.6309297535714575,0.6309297535714575,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,0,0,0,0,1,1,2,1,1,1,1,hit10,<a_107><b_93><c_0> || <a_108><b_244><c_216> || <a_107><b_135><c_157> || <a_107><b_133><c_57> || <a_108><b_88><c_113>
344,A3762,854,"Watts SVIG10 Pre-Cut 1/2-Inch Diameter by 3/8-Inch Clear Vinyl Tubing, 10-Foot Length",connector_fitting,Watts,<a_228><b_0><c_1>,<a_228>,<a_228><b_0>,96,3,0.5625,0.6666666666666666,other,connector_fitting,3,0,0,32,1,0,0,0,0,0,1,0.0,0.19823986317056053,<a_165><b_247><c_68>,57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",adhesive_epoxy,Gorilla,0,0,0,0,0,1,1,0,0,1,1,l1_routing_miss,<a_165><b_247><c_68> || <a_165><b_59><c_69> || <a_165><b_244><c_4> || <a_107><b_93><c_0> || <a_165><b_85><c_59>
345,A3762,1286,Accessbuy 180-Piece Rubber Grommet Shop Assortment,other,Industrial Tools,<a_71><b_201><c_34>,<a_71>,<a_71><b_201>,118,1,0.6271186440677966,1.0,other,other,4,0,0,33,1,0,0,0,0,0,1,0.0,0.1965616322328226,<a_165><b_247><c_68>,57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",adhesive_epoxy,Gorilla,0,0,0,0,0,2,2,1,0,1,1,l2_routing_miss_after_l1_hit,<a_165><b_247><c_68> || <a_165><b_59><c_69> || <a_228><b_0><c_14> || <a_165><b_244><c_4> || <a_165><b_85><c_59>
346,A3762,1128,Loctite Heavy Duty Epoxy Quick Set 8-Fluid Ounce Bottle (1365736),adhesive_epoxy,Loctite,<a_165><b_35><c_57>,<a_165>,<a_165><b_35>,72,3,0.8055555555555556,0.6666666666666666,adhesive_epoxy,adhesive_epoxy,5,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_228><b_0><c_1>,854,"Watts SVIG10 Pre-Cut 1/2-Inch Diameter by 3/8-Inch Clear Vinyl Tubing, 10-Foot Length",connector_fitting,Watts,0,0,0,0,1,2,4,1,0,1,0,l2_routing_miss_after_l1_hit,<a_228><b_0><c_1> || <a_228><b_0><c_14> || <a_165><b_247><c_68> || <a_107><b_93><c_0> || <a_71><b_242><c_21>
347,A3762,56,"RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity)",other,RhinoGear,<a_87><b_242><c_131>,<a_87>,<a_87><b_242>,71,3,0.7746478873239436,0.6666666666666666,other,other,6,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_228><b_0><c_1>,854,"Watts SVIG10 Pre-Cut 1/2-Inch Diameter by 3/8-Inch Clear Vinyl Tubing, 10-Foot Length",connector_fitting,Watts,0,0,0,0,1,2,4,0,0,0,0,l1_routing_miss,<a_228><b_0><c_1> || <a_107><b_93><c_0> || <a_228><b_0><c_14> || <a_165><b_247><c_68> || <a_17><b_14><c_32>
348,A3762,1343,"Shark Welding 26-6M Shark 3-Inch by 1/32-Inch by 3/8-Inch Cut-Off Wheel with Mandrel, 6-Pack.",other,SHARK,<a_193><b_233><c_195>,<a_193>,<a_193><b_233>,133,1,0.8045112781954887,1.0,other,other,7,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,0,0,0,0,0,3,4,0,0,1,0,l1_routing_miss,<a_107><b_93><c_0> || <a_228><b_0><c_14> || <a_87><b_242><c_131> || <a_228><b_0><c_1> || <a_71><b_242><c_21>
349,A3762,2236,"Bar Neodymium Magnet 3""x1/2""x1/4"" - Rare Earth Rectangle Magnet for Craftings, School Projects and Magnetic Therapy, One Pack",other,CMS MAGNETICS,<a_17><b_95><c_238>,<a_17>,<a_17><b_95>,99,3,0.6363636363636364,0.6666666666666666,other,other,8,1,1,999,0,0,0,0,0,0,0,0.0,0.0,<a_193><b_113><c_101>,265,"ZJchao 10 pieces Tungsten Carbide Rotary Burr SET 1/8"" shank [Misc.]",other,ZJchao,0,0,1,0,0,2,3,0,0,1,0,l1_routing_miss,<a_193><b_113><c_101> || <a_107><b_93><c_0> || <a_193><b_37><c_133> || <a_193><b_233><c_195> || <a_71><b_242><c_21>
350,A4213,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,<a_17><b_217><c_0>,<a_17>,<a_17><b_217>,99,4,0.6363636363636364,1.0,other,other,2,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,0,0,0,0,0,2,2,0,0,0,0,l1_routing_miss,<a_107><b_93><c_0> || <a_71><b_28><c_190> || <a_87><b_238><c_111> || <a_71><b_93><c_177> || <a_87><b_245><c_245>
351,A4213,217,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,<a_17><b_217><c_0>,<a_17>,<a_17><b_217>,99,4,0.6363636363636364,1.0,other,other,3,1,1,1,1,1,1,1,1,1,1,1.0,1.0,<a_17><b_217><c_0>,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,1,1,1,0,1,2,3,1,1,1,1,hit10,<a_17><b_217><c_0> || <a_17><b_217><c_143> || <a_71><b_93><c_177> || <a_71><b_28><c_190> || <a_17><b_120><c_238>
352,A4213,3312,"TEMCo 3/4"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft BLACK",adhesive_epoxy,Temco,<a_228><b_198><c_25>,<a_228>,<a_228><b_198>,96,6,0.5625,1.0,other,adhesive_epoxy,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_17><b_217><c_0>,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,0,0,0,0,1,2,3,0,0,1,0,l1_routing_miss,<a_17><b_217><c_0> || <a_71><b_28><c_190> || <a_71><b_93><c_177> || <a_67><b_56><c_2> || <a_71><b_74><c_245>
353,A4213,2311,"TEMCo 3/4"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft RED",adhesive_epoxy,Temco,<a_228><b_198><c_249>,<a_228>,<a_228><b_198>,96,6,0.5625,1.0,other,adhesive_epoxy,5,1,1,50,1,0,0,0,0,0,1,0.0,0.17629143438888212,<a_17><b_217><c_0>,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,0,0,0,0,1,2,2,1,1,1,1,leaf_or_ranking_miss_after_l2_hit,<a_17><b_217><c_0> || <a_228><b_198><c_1> || <a_228><b_217><c_216> || <a_228><b_217><c_2> || <a_228><b_217><c_7>
354,A4213,2312,"TEMCo 1"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft RED",adhesive_epoxy,Temco,<a_228><b_198><c_231>,<a_228>,<a_228><b_198>,96,6,0.5625,1.0,other,adhesive_epoxy,6,1,1,999,0,0,0,0,0,0,0,0.0,0.0,<a_17><b_217><c_0>,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,0,0,0,0,1,2,3,1,1,1,1,leaf_or_ranking_miss_after_l2_hit,<a_17><b_217><c_0> || <a_228><b_198><c_1> || <a_228><b_72><c_189> || <a_228><b_217><c_2> || <a_17><b_120><c_238>
355,A4213,1177,"Anderson Metals 56110 Brass Pipe Fitting, Hex Bushing, 1/2"" NPT Male Pipe x 3/8"" NPT Female Pipe",tape,Anderson Metals,<a_108><b_133><c_2>,<a_108>,<a_108><b_133>,143,3,0.5384615384615384,1.0,connector_fitting,tape,7,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_17><b_217><c_0>,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,0,0,0,0,1,3,4,0,0,0,0,l1_routing_miss,<a_17><b_217><c_0> || <a_228><b_198><c_1> || <a_228><b_198><c_25> || <a_228><b_72><c_189> || <a_251><b_198><c_140>
356,A4213,2313,"TEMCo 1"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft BLACK",adhesive_epoxy,Temco,<a_228><b_198><c_0>,<a_228>,<a_228><b_198>,96,6,0.5625,1.0,other,adhesive_epoxy,8,1,1,27,1,0,0,0,0,0,1,0.0,0.20801459767650948,<a_17><b_217><c_0>,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,,0,0,0,0,1,3,4,1,1,1,1,leaf_or_ranking_miss_after_l2_hit,<a_17><b_217><c_0> || <a_228><b_198><c_1> || <a_228><b_72><c_189> || <a_228><b_198><c_25> || <a_251><b_198><c_140>
357,A4699,2433,"Medline 1700222-X5 Oxygen Tubing, 7' Crush Resistant (Pack of 5)",other,Medline,<a_170><b_22><c_153>,<a_170>,<a_170><b_22>,25,1,0.6,1.0,other,other,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_202><b_62><c_182>,116,Rescue Tape RT1000201202USCO,tape,Rescue Tape,0,0,0,0,1,3,3,0,0,0,0,l1_routing_miss,<a_202><b_62><c_182> || <a_107><b_93><c_0> || <a_67><b_185><c_54> || <a_24><b_165><c_166> || <a_44><b_112><c_94>
358,A5113,2045,"X-Treme Tape TPE-XR1510ZLB Silicone Rubber Self Fusing Tape, 1.5"" x 10', Rectangular, Black",tape,X-Treme Tape,<a_202><b_198><c_10>,<a_202>,<a_202><b_198>,117,10,0.5470085470085471,1.0,adhesive_epoxy,tape,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_193><b_37><c_133>,1415,"SE 8436MVC 3"" Universal Table Vise",fastener,SE,0,0,0,0,1,2,3,0,0,1,0,l1_routing_miss,<a_193><b_37><c_133> || <a_193><b_37><c_145> || <a_173><b_23><c_0> || <a_193><b_37><c_150> || <a_173><b_100><c_244>
359,A5583,2149,"Quartet Rare Earth Magnets, Large, 6 Pack (85391)",other,Quartet,<a_251><b_209><c_205>,<a_251>,<a_251><b_209>,92,1,0.6956521739130435,1.0,other,other,7,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_193><b_104><c_195>,983,"3M(TM) Cubitron(TM) II Flap Disc 967A, T29 Giant (Multiple Sizes and Grit Types)",other,,0,0,1,0,1,2,4,0,0,1,0,l1_routing_miss,<a_193><b_104><c_195> || <a_193><b_104><c_1> || <a_87><b_176><c_34> || <a_15><b_155><c_49> || <a_159><b_169><c_154>
360,A6004,2912,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,Inland,<a_158><b_72><c_141>,<a_158>,<a_158><b_72>,109,19,0.5596330275229358,1.0,3d_filament,3d_filament,7,0,0,8,1,0,0,0,1,1,1,0.31546487678572877,0.31546487678572877,<a_158><b_245><c_180>,1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,eSUN,1,0,1,0,0,0,2,1,1,1,1,hit10,<a_158><b_245><c_180> || <a_158><b_72><c_88> || <a_158><b_217><c_2> || <a_17><b_14><c_32> || <a_91><b_162><c_93>
361,A6587,1566,"Electronics-Salon 0.47uF to 1000uF Electrolytic Capacitors Assortment Kit, 13 Values, Total 200 Pieces",other,Electronics-Salon,<a_236><b_183><c_115>,<a_236>,<a_236><b_183>,84,2,0.7380952380952381,1.0,other,other,6,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_73><b_58><c_117>,2229,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,fastener,uxcell,0,0,0,0,0,0,2,0,0,1,0,l1_routing_miss,<a_73><b_58><c_117> || <a_30><b_191><c_20> || <a_73><b_110><c_3> || <a_30><b_177><c_72> || <a_30><b_229><c_164>
362,A6823,2649,Joe Knows Electronics 1/2W 86 Value 860 Piece Resistor Kit,other,Joe Knows Electronics,<a_73><b_174><c_2>,<a_73>,<a_73><b_174>,114,2,0.5350877192982456,1.0,other,other,8,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_36><b_200><c_165>,1522,Yosoo GM328 Lcd Display Transistor Tester ESR Meter Cymometer Square Wave Generator,other,Yosoo,0,0,1,0,1,3,4,0,0,1,0,l1_routing_miss,<a_36><b_200><c_165> || <a_223><b_198><c_114> || <a_223><b_20><c_170> || <a_107><b_93><c_0> || <a_17><b_62><c_227>
363,A6998,562,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",3d_filament,HATCHBOX,<a_223><b_198><c_37>,<a_223>,<a_223><b_198>,247,47,0.9676113360323887,1.0,3d_filament,3d_filament,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_73><b_168><c_236>,1753,5pcs 6x8cm Double-Side Prototype PCB Universal Printed Circuit Board,other,Vktech,0,0,0,0,0,3,3,0,0,0,0,l1_routing_miss,<a_73><b_168><c_236> || <a_30><b_191><c_20> || <a_73><b_110><c_3> || <a_17><b_105><c_102> || <a_17><b_217><c_0>
364,A6998,1847,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,HATCHBOX,<a_223><b_20><c_170>,<a_223>,<a_223><b_20>,247,5,0.9676113360323887,1.0,3d_filament,3d_filament,4,1,0,8,1,0,0,0,1,1,1,0.31546487678572877,0.31546487678572877,<a_223><b_198><c_230>,1107,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",3d_filament,HATCHBOX,1,0,1,1,0,0,3,1,1,1,1,hit10,<a_223><b_198><c_230> || <a_73><b_110><c_3> || <a_223><b_86><c_176> || <a_223><b_198><c_114> || <a_223><b_198><c_36>
