variant,pred1_item_id,count,pred1_family,title,top_target_families
r720e,1847,62,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament:50; other:11; fastener:1
r720e,145,57,other,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelr",other:32; gauge_meter:6; tape:6; 3d_filament:5; fastener:4
r720e,2697,50,3d_filament,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament:43; other:4; gauge_meter:1; adhesive_epoxy:1; fastener:1
r720e,2912,49,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament:32; other:8; fastener:3; gauge_meter:2; tape:1
r720e,130,49,tape,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",other:20; tape:8; adhesive_epoxy:7; connector_fitting:5; gauge_meter:4
r720b,181,503,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",other:291; gauge_meter:45; tape:42; connector_fitting:27; 3d_filament:27
r720b,1850,382,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",3d_filament:299; other:52; gauge_meter:11; adhesive_epoxy:6; connector_fitting:5
r720b,2909,178,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PL",3d_filament:154; other:16; tape:2; connector_fitting:2; gauge_meter:2
r720b,280,127,ventilation_fan,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,other:61; adhesive_epoxy:24; tape:18; connector_fitting:11; gauge_meter:5
r720b,2934,119,3d_filament,Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament:93; other:17; gauge_meter:3; ventilation_fan:1; connector_fitting:1
r720b,1847,104,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament:65; other:24; gauge_meter:3; adhesive_epoxy:3; connector_fitting:3
r720b,635,101,other,Texas Instruments NE555N NE555 NE555P General Purpose Single Bipolar Timer DIP8 50 Pack,other:59; gauge_meter:11; connector_fitting:10; 3d_filament:10; tape:4
r720b,338,79,gauge_meter,"Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Bla",other:50; gauge_meter:8; tape:7; 3d_filament:5; connector_fitting:4
r720b,2926,68,3d_filament,HICTOP 5 Pieces 3D Printer Extruder Hotend 1.75mm Nozzle Throat for Reprap Prusa I3,3d_filament:47; other:13; gauge_meter:5; connector_fitting:1; tape:1
r720b,914,62,fastener,"The Hillman Group 591518 Small Machine Screws with Nuts Assortment, 195-Pack",other:29; tape:8; adhesive_epoxy:8; gauge_meter:6; fastener:5
r720b,145,60,other,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelr",other:35; gauge_meter:8; connector_fitting:7; tape:4; 3d_filament:3
r720b,216,59,other,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other:30; connector_fitting:11; adhesive_epoxy:6; tape:5; gauge_meter:3
r720b,296,58,3d_filament,"EISCO CH0688 Labs Clamp Retort, 3 PVC Coated Prongs (opens to 90mm in dia.) with Boss Head",other:31; 3d_filament:8; gauge_meter:6; connector_fitting:5; test_strip:2
r720b,2229,55,other,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,other:31; 3d_filament:11; adhesive_epoxy:3; tape:3; gauge_meter:3
r720b,42,50,connector_fitting,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)",other:24; connector_fitting:15; fastener:3; tape:3; adhesive_epoxy:2
orig_align,181,328,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",other:191; gauge_meter:27; tape:23; connector_fitting:22; fastener:17
orig_align,2909,255,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PL",3d_filament:206; other:27; gauge_meter:6; tape:5; adhesive_epoxy:4
orig_align,1847,82,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament:56; other:14; adhesive_epoxy:5; connector_fitting:2; fastener:2
orig_align,1107,78,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",3d_filament:64; other:5; gauge_meter:4; tape:3; fastener:2
orig_align,2979,73,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament:59; other:6; gauge_meter:4; fastener:3; adhesive_epoxy:1
orig_align,2544,70,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament:39; other:18; tape:4; adhesive_epoxy:4; metadata_placeholder:1
orig_align,176,69,other,URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size,other:35; connector_fitting:8; 3d_filament:7; gauge_meter:6; fastener:5
orig_align,3444,62,3d_filament,RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle,3d_filament:37; other:17; fastener:4; tape:1; gauge_meter:1
orig_align,2932,51,3d_filament,Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament:41; other:5; connector_fitting:2; gauge_meter:1; tape:1
orig_align,2477,50,3d_filament,BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,3d_filament:32; other:8; connector_fitting:3; gauge_meter:2; tape:2
orig_align,145,48,other,"Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelr",other:25; tape:8; 3d_filament:5; gauge_meter:5; adhesive_epoxy:2
orig_align,57,47,adhesive_epoxy,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",other:23; adhesive_epoxy:9; tape:7; fastener:4; gauge_meter:3
orig_align,50,47,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue",3d_filament:39; other:3; fastener:3; gauge_meter:1; adhesive_epoxy:1
orig_align,285,46,other,Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs,other:25; connector_fitting:7; tape:5; 3d_filament:5; gauge_meter:2
orig_align,119,43,other,"Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRA",other:21; tape:6; gauge_meter:5; connector_fitting:4; adhesive_epoxy:2
