item_id,item_title,family,eval_count,orig_failure_type,orig_l1_in_history,sem_l1_in_history,orig_l2_in_history,sem_l2_in_history,orig_l1_bucket_size,sem_l1_bucket_size,orig_l2_bucket_size,sem_l2_bucket_size,orig_l1_purity,sem_l1_purity,orig_l2_purity,sem_l2_purity,orig_target_l1,sem_target_l1,orig_target_l2,sem_target_l2,delta_l1_hist,delta_l2_hist
1466,Seek Thermal Compact Imager for iOS-Apple,other,9,l1_routing_miss,0.0,0.1111111111111111,0.0,0.0,54,45,1,1,0.5555555555555556,0.4888888888888889,1.0,1.0,<a_36>,<a_35>,<a_36><b_64>,<a_35><b_124>,0.1111111111111111,0.0
2044,"Gorilla 100 Percent Silicone Sealant Caulk, 2.8 ounce Squeeze Tube, Clear",3d_filament,9,l1_routing_miss,0.2222222222222222,0.2222222222222222,0.0,0.0,72,65,1,2,0.8333333333333334,0.9384615384615385,1.0,0.5,<a_244>,<a_254>,<a_244><b_52>,<a_254><b_196>,0.0,0.0
83,Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;,gauge_meter,9,l1_routing_miss,0.2222222222222222,0.1111111111111111,0.0,0.0,99,73,1,1,0.6363636363636364,0.726027397260274,1.0,1.0,<a_17>,<a_17>,<a_17><b_20>,<a_17><b_194>,-0.1111111111111111,0.0
152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,9,l1_routing_miss,0.1111111111111111,0.0,0.0,0.0,96,23,1,1,0.5625,0.5217391304347826,1.0,1.0,<a_228>,<a_125>,<a_228><b_113>,<a_125><b_98>,-0.1111111111111111,0.0
656,Uni-T B4Q094 UT210E True RMS AC/DC Current Mini Clamp M W Capacitance Tester,gauge_meter,9,l1_routing_miss,0.3333333333333333,0.2222222222222222,0.0,0.0,54,45,2,1,0.5555555555555556,0.4888888888888889,1.0,1.0,<a_36>,<a_35>,<a_36><b_235>,<a_35><b_153>,-0.1111111111111111,0.0
1923,POWERTEC 71007 110/220V Paddle Switch,other,9,l1_routing_miss,0.1111111111111111,0.0,0.0,0.0,84,13,1,1,0.7380952380952381,0.6153846153846154,1.0,1.0,<a_236>,<a_12>,<a_236><b_233>,<a_12><b_32>,-0.1111111111111111,0.0
821,"Apera Instruments AI209 PH20 Value Waterproof pH Pocket Tester, &plusmn;0.1 pH Accuracy, 0-14.0 pH Range, Complete Kit",gauge_meter,9,l2_routing_miss_after_l1_hit,0.4444444444444444,0.1111111111111111,0.0,0.0,66,52,2,4,0.7575757575757576,0.5769230769230769,1.0,1.0,<a_107>,<a_51>,<a_107><b_231>,<a_51><b_204>,-0.3333333333333333,0.0
1163,"AUTOTOOLHOME 1/8"" 3/16"" 1/4"" 5/16"" 3/8"" 1/2""high Speed Steel HSS 4 Flute Straight End Mill Cutter Set of 6",other,9,l1_routing_miss,0.4444444444444444,0.1111111111111111,0.0,0.0,133,53,6,2,0.8045112781954887,0.6037735849056604,0.6666666666666666,1.0,<a_193>,<a_121>,<a_193><b_19>,<a_121><b_201>,-0.3333333333333333,0.0
2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,9,l1_routing_miss,0.5555555555555556,0.2222222222222222,0.0,0.0,247,85,24,3,0.9676113360323887,0.9882352941176471,1.0,1.0,<a_223>,<a_66>,<a_223><b_80>,<a_66><b_63>,-0.33333333333333337,0.0
469,CO-Z 5pcs Hss Cobalt Multiple Hole 50 Sizes Step Drill Bit Set with Aluminum Case,other,8,l1_routing_miss,0.0,0.25,0.0,0.0,99,73,1,1,0.6363636363636364,0.726027397260274,1.0,1.0,<a_17>,<a_17>,<a_17><b_234>,<a_17><b_34>,0.25,0.0
176,URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size,other,8,l1_routing_miss,0.0,0.125,0.0,0.0,99,105,1,4,0.6363636363636364,0.5428571428571428,1.0,0.75,<a_17>,<a_223>,<a_17><b_80>,<a_223><b_102>,0.125,0.0
476,Primacare DL-9325 Reusable LED Penlight with Pupil Gauge - Batteries Included,other,8,l1_routing_miss,0.0,0.0,0.0,0.0,81,12,1,1,0.8888888888888888,1.0,1.0,1.0,<a_180>,<a_213>,<a_180><b_128>,<a_213><b_36>,0.0,0.0
774,DuPont Teflon Non-Stick,other,8,l1_routing_miss,0.125,0.125,0.0,0.0,60,73,2,6,0.4666666666666667,0.726027397260274,1.0,1.0,<a_197>,<a_17>,<a_197><b_204>,<a_17><b_206>,0.0,0.0
1851,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",3d_filament,8,l1_routing_miss,0.5,0.5,0.25,0.25,247,128,47,26,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_198>,<a_235><b_198>,0.0,0.0
1554,Inland 1.75mm Peak Green PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,8,leaf_or_ranking_miss_after_l2_hit,0.625,0.625,0.625,0.375,109,105,19,10,0.5596330275229358,0.5428571428571428,1.0,1.0,<a_158>,<a_223>,<a_158><b_72>,<a_223><b_63>,0.0,-0.25
2472,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",3d_filament,8,l1_routing_miss,0.625,0.625,0.5,0.25,247,128,47,20,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_198>,<a_235><b_17>,0.0,-0.25
3547,3D Solutech See Through Blue 1.75mm PETG 3D Printer Filament 2.2 LBS (1.0KG),3d_filament,8,l2_routing_miss_after_l1_hit,0.75,0.625,0.125,0.375,247,128,4,24,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_187>,<a_235><b_202>,-0.125,0.25
2993,"3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,8,l2_routing_miss_after_l1_hit,0.875,0.75,0.125,0.25,247,128,24,24,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_80>,<a_235><b_202>,-0.125,0.125
201,"ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D",connector_fitting,8,l1_routing_miss,0.125,0.0,0.0,0.0,119,35,1,1,0.5714285714285714,0.7428571428571429,1.0,1.0,<a_67>,<a_236>,<a_67><b_185>,<a_236><b_194>,-0.125,0.0
415,"Miller Electric 229895 Gage, Wire Metal Sizes",other,8,l1_routing_miss,0.125,0.0,0.0,0.0,60,27,1,1,0.5,0.6296296296296297,1.0,1.0,<a_104>,<a_255>,<a_104><b_251>,<a_255><b_207>,-0.125,0.0
278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,8,l2_routing_miss_after_l1_hit,0.5,0.25,0.0,0.0,117,85,1,1,0.5470085470085471,0.5294117647058824,1.0,1.0,<a_202>,<a_18>,<a_202><b_118>,<a_18><b_59>,-0.25,0.0
2969,BLTouch : Auto Bed Leveling Sensor / To be a Premium 3D Printer,3d_filament,8,l1_routing_miss,0.375,0.125,0.0,0.0,72,31,1,1,0.9305555555555556,0.9032258064516129,1.0,1.0,<a_91>,<a_123>,<a_91><b_212>,<a_123><b_231>,-0.25,0.0
1847,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,8,l2_routing_miss_after_l1_hit,0.625,0.25,0.125,0.0,247,85,5,1,0.9676113360323887,0.9882352941176471,1.0,1.0,<a_223>,<a_66>,<a_223><b_20>,<a_66><b_42>,-0.375,-0.125
1012,"4.5"" x 7/8"" Premium High Density Jumbo Zirconia Type 29 Flap Disc 40 Grit - 10 Pack",other,7,l1_routing_miss,0.0,0.14285714285714285,0.0,0.0,99,73,2,2,0.6363636363636364,0.726027397260274,1.0,1.0,<a_17>,<a_17>,<a_17><b_220>,<a_17><b_20>,0.14285714285714285,0.0
1402,Heat High Temperature Resistant Adhesive Gold Tape for Electric Task 30m 12mm,adhesive_epoxy,7,l1_routing_miss,0.0,0.14285714285714285,0.0,0.0,60,47,1,2,0.5,0.5319148936170213,1.0,0.5,<a_206>,<a_105>,<a_206><b_219>,<a_105><b_22>,0.14285714285714285,0.0
2743,OctagonStar Flexible Couplings 5mm to 8mm NEMA 17 Shaft for RepRap 3D Printer or CNC Machine2PCS,3d_filament,7,l1_routing_miss,0.14285714285714285,0.2857142857142857,0.0,0.0,52,16,2,1,0.5192307692307693,1.0,1.0,1.0,<a_159>,<a_154>,<a_159><b_179>,<a_154><b_176>,0.14285714285714285,0.0
3598,1.75mm Red PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,3d_filament,7,leaf_or_ranking_miss_after_l2_hit,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,109,105,19,20,0.5596330275229358,0.5428571428571428,1.0,1.0,<a_158>,<a_223>,<a_158><b_72>,<a_223><b_240>,0.0,0.2857142857142857
1305,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",other,7,l1_routing_miss,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,92,20,2,3,0.6956521739130435,0.65,1.0,1.0,<a_251>,<a_3>,<a_251><b_111>,<a_3><b_117>,0.0,0.14285714285714285
54,"Industrial & Scientific"" />",metadata_placeholder,7,l1_routing_miss,0.0,0.0,0.0,0.0,31,29,1,1,0.7741935483870968,0.8275862068965517,1.0,1.0,<a_15>,<a_190>,<a_15><b_206>,<a_190><b_240>,0.0,0.0
151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",tape,7,l1_routing_miss,0.0,0.0,0.0,0.0,67,41,1,1,0.4925373134328358,0.5609756097560976,1.0,1.0,<a_68>,<a_24>,<a_68><b_98>,<a_24><b_97>,0.0,0.0
220,Tach-It B-1 Single Edge Industrial Razor Blade (Pack of 100),other,7,l1_routing_miss,0.0,0.0,0.0,0.0,99,105,3,3,0.6363636363636364,0.5428571428571428,1.0,1.0,<a_17>,<a_223>,<a_17><b_91>,<a_223><b_253>,0.0,0.0
303,"AMMEX - AINPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 3 mil, Large, Indigo (Case of 1000)",other,7,l1_routing_miss,0.0,0.0,0.0,0.0,65,34,4,4,0.9230769230769231,0.9705882352941176,1.0,1.0,<a_44>,<a_233>,<a_44><b_217>,<a_233><b_220>,0.0,0.0
680,O-Cedar Multi-Use Scrunge Scrub Sponge (Pack of 6),other,7,l1_routing_miss,0.0,0.0,0.0,0.0,119,29,2,1,0.7142857142857143,0.6896551724137931,1.0,1.0,<a_24>,<a_1>,<a_24><b_38>,<a_1><b_60>,0.0,0.0
697,Waterpik Sensonic Professional Toothbrush (SR-3000),other,7,l1_routing_miss,0.14285714285714285,0.14285714285714285,0.0,0.0,119,47,1,2,0.7142857142857143,0.8936170212765957,1.0,1.0,<a_24>,<a_227>,<a_24><b_165>,<a_227><b_11>,0.0,0.0
803,Koehler Enterprises KE20BX 10 Piece Hose Clamp Box (Size SAE 20),connector_fitting,7,l2_routing_miss_after_l1_hit,0.14285714285714285,0.14285714285714285,0.0,0.0,118,28,1,3,0.6271186440677966,0.5714285714285714,1.0,1.0,<a_71>,<a_96>,<a_71><b_204>,<a_96><b_62>,0.0,0.0
1206,"eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black",3d_filament,7,l1_routing_miss,0.0,0.0,0.0,0.0,109,105,1,20,0.5596330275229358,0.5428571428571428,1.0,1.0,<a_158>,<a_223>,<a_158><b_245>,<a_223><b_240>,0.0,0.0
1248,"T-fal C51407 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 12-Inch, Red",fastener,7,l1_routing_miss,0.0,0.0,0.0,0.0,39,20,3,3,0.7692307692307693,0.65,1.0,1.0,<a_14>,<a_161>,<a_14><b_233>,<a_161><b_123>,0.0,0.0
1255,"SE 82331TF 30-Piece Set of Titanium-Coated Diamond Burrs, Grits 120-150",tape,7,l1_routing_miss,0.0,0.0,0.0,0.0,133,47,1,1,0.8045112781954887,0.723404255319149,1.0,1.0,<a_193>,<a_85>,<a_193><b_203>,<a_85><b_129>,0.0,0.0
3155,"HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange",3d_filament,7,l2_routing_miss_after_l1_hit,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,247,128,10,10,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_72>,<a_235><b_154>,0.0,0.0
3176,"Philips Sonicare 2 Series plaque control rechargeable electric toothbrush, HX6211/04",other,7,l1_routing_miss,0.0,0.0,0.0,0.0,119,47,8,8,0.7142857142857143,0.8936170212765957,1.0,1.0,<a_24>,<a_227>,<a_24><b_20>,<a_227><b_130>,0.0,0.0
3254,ETA hand2mind Dual-Dial Analog Platform Scale - Simple Enough for Kids and Great with Kitchen Food,fastener,7,l1_routing_miss,0.0,0.0,0.0,0.0,36,14,1,1,0.7222222222222222,0.9285714285714286,1.0,1.0,<a_229>,<a_14>,<a_229><b_105>,<a_14><b_42>,0.0,0.0
3443,Inland 1.75mm Translucent Magenta PETG 3D Printer Filament - 1kg Spool (2.2 Lbs),3d_filament,7,leaf_or_ranking_miss_after_l2_hit,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,109,105,19,10,0.5596330275229358,0.5428571428571428,1.0,1.0,<a_158>,<a_223>,<a_158><b_72>,<a_223><b_63>,0.0,0.0
3466,"3D Solutech Real Red 3D Printer PLA Filament 1.75MM, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - RA-I00I-DQUY",3d_filament,7,leaf_or_ranking_miss_after_l2_hit,1.0,1.0,0.8571428571428571,0.8571428571428571,247,128,24,24,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_80>,<a_235><b_202>,0.0,0.0
2932,Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,7,l2_routing_miss_after_l1_hit,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,109,105,19,20,0.5596330275229358,0.5428571428571428,1.0,1.0,<a_158>,<a_223>,<a_158><b_72>,<a_223><b_240>,0.0,-0.14285714285714285
1552,"3D Solutech Teal Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,7,leaf_or_ranking_miss_after_l2_hit,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.5714285714285714,247,128,24,24,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_80>,<a_235><b_202>,-0.1428571428571428,0.0
