idx,item_id,item_title,family,orig_failure_type_at10,orig_hit10,orig_hit1,orig_target_l1,orig_target_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_family_purity,orig_l2_family_purity,orig_l1_in_history,orig_l2_in_history,sem_target_l1,sem_target_l2,sem_l1_bucket_size,sem_l2_bucket_size,sem_l1_family_purity,sem_l2_family_purity,sem_l1_in_history,sem_l2_in_history,delta_l1_in_history,delta_l2_in_history,delta_l1_purity,delta_l2_purity,delta_l1_bucket_size,delta_l2_bucket_size
21,1305,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",other,l1_routing_miss,0,0,<a_251>,<a_251><b_111>,92,2,0.6956521739130435,1.0,0,0,<a_3>,<a_3><b_117>,20,3,0.65,1.0,1,0,1,0,-0.04565217391304344,0.0,-72,1
22,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,l1_routing_miss,0,0,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,0,0,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,0,0,0,0,0.17099567099567103,0.0,-52,0
23,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,hit10,1,1,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,1,1,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,1,1,0,0,0.17099567099567103,0.0,-52,0
24,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,hit10,1,1,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,1,1,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,1,1,0,0,0.17099567099567103,0.0,-52,0
25,3287,Pomona 1296 BNC (M) Binding Posts,other,l1_routing_miss,0,0,<a_170>,<a_170><b_226>,25,1,0.6,1.0,0,0,<a_168>,<a_168><b_35>,15,1,0.4666666666666667,1.0,0,0,0,0,-0.1333333333333333,0.0,-10,0
26,2899,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",connector_fitting,l2_routing_miss_after_l1_hit,0,0,<a_173>,<a_173><b_86>,64,1,0.75,1.0,1,0,<a_112>,<a_112><b_56>,61,1,0.7049180327868853,1.0,1,0,0,0,-0.04508196721311475,0.0,-3,0
27,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,l1_routing_miss,0,0,<a_99>,<a_99><b_170>,32,1,0.53125,1.0,0,0,<a_119>,<a_119><b_79>,31,1,0.8064516129032258,1.0,0,0,0,0,0.27520161290322576,0.0,-1,0
28,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,hit10,1,1,<a_99>,<a_99><b_170>,32,1,0.53125,1.0,1,1,<a_119>,<a_119><b_79>,31,1,0.8064516129032258,1.0,1,1,0,0,0.27520161290322576,0.0,-1,0
29,1392,Pomona 4970 Bnc (M) with 20 Awg Leads,connector_fitting,l1_routing_miss,0,0,<a_170>,<a_170><b_228>,25,1,0.6,1.0,0,0,<a_71>,<a_71><b_211>,35,1,0.5428571428571428,1.0,0,0,0,0,-0.05714285714285716,0.0,10,0
30,2175,Pomona 3788 Bnc (F) to Minigrabber Test Clips,other,l1_routing_miss,0,0,<a_170>,<a_170><b_208>,25,1,0.6,1.0,1,0,<a_114>,<a_114><b_144>,28,1,0.6785714285714286,1.0,0,0,-1,0,0.07857142857142863,0.0,3,0
31,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,other,l1_routing_miss,0,0,<a_236>,<a_236><b_35>,84,4,0.7380952380952381,0.75,0,0,<a_45>,<a_45><b_226>,47,2,0.6382978723404256,1.0,0,0,0,0,-0.09979736575481257,0.25,-37,-2
32,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,hit10,1,0,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,0,0,<a_66>,<a_66><b_63>,85,3,0.9882352941176471,1.0,0,0,0,0,0.02062395808525841,0.0,-162,-21
33,123,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",adhesive_epoxy,l1_routing_miss,0,0,<a_173>,<a_173><b_194>,64,2,0.75,1.0,0,0,<a_1>,<a_1><b_41>,29,1,0.6896551724137931,1.0,0,0,0,0,-0.06034482758620685,0.0,-35,-1
34,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,other,l1_routing_miss,0,0,<a_104>,<a_104><b_85>,60,1,0.5,1.0,0,0,<a_149>,<a_149><b_14>,19,2,0.631578947368421,1.0,0,0,0,0,0.13157894736842102,0.0,-41,1
35,1874,"FastenMaster FMHLGM278-50 HeadLOK Heavy-Duty Flathead Fastener, 2-7/8 Inches, 50-Count",fastener,l1_routing_miss,0,0,<a_224>,<a_224><b_33>,191,2,0.7329842931937173,1.0,0,0,<a_86>,<a_86><b_62>,50,2,0.92,1.0,0,0,0,0,0.18701570680628277,0.0,-141,0
36,1344,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),tape,l1_routing_miss,0,0,<a_251>,<a_251><b_44>,92,3,0.6956521739130435,1.0,1,0,<a_232>,<a_232><b_9>,74,2,0.7297297297297297,1.0,0,0,-1,0,0.034077555816686256,0.0,-18,-1
37,2817,"PHARMEX 1-78G Permanent Paper Label,""FOR RECTAL USE"", 1 9/16"" x 3/8"", Blue (500 per Roll, 2 Rolls per Box)",other,l1_routing_miss,0,0,<a_44>,<a_44><b_157>,65,1,0.9230769230769231,1.0,0,0,<a_206>,<a_206><b_255>,22,1,0.5,1.0,0,0,0,0,-0.42307692307692313,0.0,-43,0
38,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,other,l1_routing_miss,0,0,<a_236>,<a_236><b_35>,84,4,0.7380952380952381,0.75,0,0,<a_45>,<a_45><b_226>,47,2,0.6382978723404256,1.0,0,0,0,0,-0.09979736575481257,0.25,-37,-2
39,725,"Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded",3d_filament,l1_routing_miss,0,0,<a_197>,<a_197><b_33>,60,1,0.4666666666666667,1.0,0,0,<a_178>,<a_178><b_253>,98,3,0.336734693877551,0.6666666666666666,0,0,0,0,-0.12993197278911567,-0.33333333333333337,38,2
40,2216,SE 526SF 7&rdquo; Self-Locking Sponge Forceps,other,l1_routing_miss,0,0,<a_180>,<a_180><b_213>,81,1,0.8888888888888888,1.0,0,0,<a_209>,<a_209><b_103>,25,1,0.76,1.0,0,0,0,0,-0.12888888888888883,0.0,-56,0
41,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,hit10,1,1,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,1,1,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,1,1,0,0,0.17099567099567103,0.0,-52,0
42,831,"DEWALT DW8062B5 4-1/2-Inch by 0.045-Inch Metal and Stainless Cutting Wheel, 7/8-Inch Arbor, 5-Pack",other,l1_routing_miss,0,0,<a_193>,<a_193><b_42>,133,2,0.8045112781954887,1.0,0,0,<a_20>,<a_20><b_11>,39,3,0.8974358974358975,1.0,0,0,0,0,0.09292461924040873,0.0,-94,1
43,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,hit10,1,1,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,1,1,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,1,1,0,0,0.17099567099567103,0.0,-52,0
44,850,"HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25' Length, 0.375"" ID, Black",connector_fitting,l1_routing_miss,0,0,<a_79>,<a_79><b_169>,60,2,0.4,1.0,0,0,<a_189>,<a_189><b_54>,19,2,0.8421052631578947,1.0,0,0,0,0,0.44210526315789467,0.0,-41,0
45,2223,"250ml Narrow Mouth Erlenmeyer Flask with Rubber Stoppers, Karter Scientific 213G20 (Pack of 8)",other,l1_routing_miss,0,0,<a_94>,<a_94><b_195>,111,7,0.7747747747747747,0.8571428571428571,0,0,<a_117>,<a_117><b_147>,64,3,0.890625,1.0,0,0,0,0,0.11585022522522526,0.1428571428571429,-47,-4
46,3502,"3M Littmann Cardiology IV Diagnostic Stethoscope, Standard-Finish Chestpiece, Burgundy Tube, Stainless Stem and Headset, 27 inch, 6153",other,l1_routing_miss,0,0,<a_180>,<a_180><b_186>,81,4,0.8888888888888888,1.0,1,0,<a_217>,<a_217><b_128>,26,3,0.8846153846153846,1.0,0,0,-1,0,-0.004273504273504258,0.0,-55,-1
47,3337,"Vastar ESD Anti-Static Wrist Strap Components, Blue",other,l1_routing_miss,0,0,<a_23>,<a_23><b_38>,50,1,0.46,1.0,0,0,<a_168>,<a_168><b_76>,15,1,0.4666666666666667,1.0,0,0,0,0,0.006666666666666654,0.0,-35,0
48,2697,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,hit10,1,0,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,1,1,<a_235>,<a_235><b_202>,128,24,1.0,1.0,1,1,0,0,0.03238866396761131,0.0,-119,0
49,3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,leaf_or_ranking_miss_after_l2_hit,0,0,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,1,1,<a_235>,<a_235><b_202>,128,24,1.0,1.0,1,1,0,0,0.03238866396761131,0.0,-119,0
50,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,hit10,1,0,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,1,1,<a_66>,<a_66><b_63>,85,3,0.9882352941176471,1.0,0,0,-1,-1,0.02062395808525841,0.0,-162,-21
51,3468,"3D Solutech Real Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,l2_routing_miss_after_l1_hit,0,0,<a_223>,<a_223><b_246>,247,2,0.9676113360323887,1.0,1,0,<a_129>,<a_129><b_41>,11,2,0.45454545454545453,1.0,0,0,-1,0,-0.5130658814869342,0.0,-236,0
52,402,"Metabo Slicer Cut Off Wheel 6"" X .040"" Box 50",other,l1_routing_miss,0,0,<a_193>,<a_193><b_73>,133,1,0.8045112781954887,1.0,1,0,<a_20>,<a_20><b_93>,39,1,0.8974358974358975,1.0,0,0,-1,0,0.09292461924040873,0.0,-94,0
53,383,"EnviroCare Replacement Vacuum Bags for Panasonic Types U, U-3, U-6-9 Pack",other,l1_routing_miss,0,0,<a_24>,<a_24><b_74>,119,1,0.7142857142857143,1.0,0,0,<a_69>,<a_69><b_155>,19,1,0.7368421052631579,1.0,0,0,0,0,0.022556390977443552,0.0,-100,0
54,2899,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",connector_fitting,l1_routing_miss,0,0,<a_173>,<a_173><b_86>,64,1,0.75,1.0,0,0,<a_112>,<a_112><b_56>,61,1,0.7049180327868853,1.0,0,0,0,0,-0.04508196721311475,0.0,-3,0
55,506,"Stainless 1/4-20 Hex Nuts, USS Coarse Thread, 304 Stainless Steel, 100 pieces (1/4 Hex Nuts)",fastener,l2_routing_miss_after_l1_hit,0,0,<a_224>,<a_224><b_195>,191,2,0.7329842931937173,1.0,0,0,<a_140>,<a_140><b_54>,60,2,0.9,1.0,0,0,0,0,0.16701570680628275,0.0,-131,0
56,507,"Stainless Flat Washers 1/4 Inch, 304 Stainless Steel, 100 pieces (1/4 Flat Washer) by ""Chenango Supply Co., Inc.",fastener,hit10,1,0,<a_108>,<a_108><b_76>,143,2,0.5384615384615384,1.0,0,0,<a_19>,<a_19><b_54>,29,1,0.6896551724137931,1.0,0,0,0,0,0.1511936339522547,0.0,-114,-1
57,1346,"Aluminum Tape/Aluminum Foil Tape - 1.9 inch x 150 feet (3.4 mil) - Good for HVAC, Ducts, Insulation and More",adhesive_epoxy,l2_routing_miss_after_l1_hit,0,0,<a_202>,<a_202><b_232>,117,2,0.5470085470085471,1.0,1,0,<a_195>,<a_195><b_52>,30,1,0.6333333333333333,1.0,0,0,-1,0,0.08632478632478624,0.0,-87,-1
58,1758,Signswise 200x200mm 12V 220W Silicone Rubber Heating Heater for 3D Printer Heated Beds,3d_filament,l1_routing_miss,0,0,<a_79>,<a_79><b_182>,60,2,0.4,1.0,0,0,<a_206>,<a_206><b_232>,22,2,0.5,1.0,1,0,1,0,0.09999999999999998,0.0,-38,0
59,2512,Extech TG20 Wire Tracer and Tone Generator,connector_fitting,l1_routing_miss,0,0,<a_211>,<a_211><b_181>,45,1,0.4222222222222222,1.0,0,0,<a_71>,<a_71><b_204>,35,1,0.5428571428571428,1.0,0,0,0,0,0.1206349206349206,0.0,-10,0
60,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",adhesive_epoxy,l1_routing_miss,0,0,<a_202>,<a_202><b_52>,117,8,0.5470085470085471,0.75,1,0,<a_18>,<a_18><b_128>,85,3,0.5294117647058824,1.0,0,0,-1,0,-0.017596782302664704,0.25,-32,-5
61,444,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,hit10,1,0,<a_223>,<a_223><b_198>,247,47,0.9676113360323887,1.0,1,1,<a_235>,<a_235><b_17>,128,20,1.0,1.0,1,1,0,0,0.03238866396761131,0.0,-119,-27
62,1031,ABN Adhesive Sticky Back 80-Grit Sandpaper Roll 2-3/4&rdquo; Inch x 20 Yards Aluminum Oxide Golden Yellow Longboard Dura PSA,adhesive_epoxy,l1_routing_miss,0,0,<a_206>,<a_206><b_62>,60,3,0.5,0.6666666666666666,0,0,<a_105>,<a_105><b_61>,47,1,0.5319148936170213,1.0,0,0,0,0,0.03191489361702127,0.33333333333333337,-13,-2
63,895,Grizzly G8748 Hand Tapping Machine,fastener,l1_routing_miss,0,0,<a_159>,<a_159><b_159>,52,1,0.5192307692307693,1.0,0,0,<a_126>,<a_126><b_244>,29,1,0.6896551724137931,1.0,0,0,0,0,0.17042440318302388,0.0,-23,0
64,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,hit10,1,0,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,0,0,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,0,0,0,0,0.17099567099567103,0.0,-52,0
65,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,hit10,1,1,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,1,1,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,1,1,0,0,0.17099567099567103,0.0,-52,0
66,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,hit10,1,1,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,1,1,<a_252>,<a_252><b_88>,14,2,0.9285714285714286,1.0,1,1,0,0,0.17099567099567103,0.0,-52,0
67,2703,"eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black",3d_filament,l1_routing_miss,0,0,<a_223>,<a_223><b_126>,247,10,0.9676113360323887,1.0,0,0,<a_235>,<a_235><b_18>,128,8,1.0,1.0,0,0,0,0,0.03238866396761131,0.0,-119,-2
68,2106,"Noga NG8150 Heavy Duty Deburr Tool, with 10 S10 blades",other,l1_routing_miss,0,0,<a_193>,<a_193><b_113>,133,5,0.8045112781954887,1.0,0,0,<a_85>,<a_85><b_249>,47,2,0.723404255319149,1.0,0,0,0,0,-0.08110702287633975,0.0,-86,-3
69,1128,Loctite Heavy Duty Epoxy Quick Set 8-Fluid Ounce Bottle (1365736),adhesive_epoxy,l1_routing_miss,0,0,<a_165>,<a_165><b_35>,72,3,0.8055555555555556,0.6666666666666666,0,0,<a_175>,<a_175><b_75>,62,2,0.7741935483870968,1.0,0,0,0,0,-0.03136200716845883,0.33333333333333337,-10,-1
70,1271,"Tape-Me Duct Tape Silver, 1.88 in x 55 yd (Pack of 3)",tape,l1_routing_miss,0,0,<a_202>,<a_202><b_191>,117,1,0.5470085470085471,1.0,0,0,<a_18>,<a_18><b_221>,85,2,0.5294117647058824,1.0,0,0,0,0,-0.017596782302664704,0.0,-32,1
71,1432,"Sashco Pre-Caulking Filler Rope Backer Rod Roll, 100' Length x 3/8"" Width, Grey",adhesive_epoxy,l1_routing_miss,0,0,<a_244>,<a_244><b_185>,72,1,0.8333333333333334,1.0,0,0,<a_29>,<a_29><b_22>,46,1,0.7608695652173914,1.0,0,0,0,0,-0.07246376811594202,0.0,-26,0
72,1385,ARM & HAMMER Spinbrush Classic Clean Battery Toothbrush,other,l1_routing_miss,0,0,<a_24>,<a_24><b_227>,119,3,0.7142857142857143,1.0,0,0,<a_227>,<a_227><b_42>,47,1,0.8936170212765957,1.0,0,0,0,0,0.1793313069908814,0.0,-72,-2
73,1385,ARM & HAMMER Spinbrush Classic Clean Battery Toothbrush,other,hit10,1,0,<a_24>,<a_24><b_227>,119,3,0.7142857142857143,1.0,1,1,<a_227>,<a_227><b_42>,47,1,0.8936170212765957,1.0,1,1,0,0,0.1793313069908814,0.0,-72,-2
74,3135,"Industrial & Scientific"" />",metadata_placeholder,l1_routing_miss,0,0,<a_15>,<a_15><b_96>,31,1,0.7741935483870968,1.0,0,0,<a_190>,<a_190><b_1>,29,1,0.8275862068965517,1.0,0,0,0,0,0.05339265850945496,0.0,-2,0
75,962,Yobett Large Plastic 100ml Syringe +120cm (47in) handy plastic tubing,fastener,l1_routing_miss,0,0,<a_150>,<a_150><b_130>,116,2,0.7586206896551724,1.0,0,0,<a_13>,<a_13><b_190>,44,2,0.75,1.0,0,0,0,0,-0.008620689655172376,0.0,-72,0
76,1114,2 Needle Tip Bottle Liquid Flux Dispenser Oil Solvent Applicator Dropper 0.7 Oz,other,l1_routing_miss,0,0,<a_150>,<a_150><b_110>,116,3,0.7586206896551724,0.6666666666666666,0,0,<a_13>,<a_13><b_8>,44,1,0.75,1.0,0,0,0,0,-0.008620689655172376,0.33333333333333337,-72,-2
77,3466,"3D Solutech Real Red 3D Printer PLA Filament 1.75MM, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - RA-I00I-DQUY",3d_filament,leaf_or_ranking_miss_after_l2_hit,0,0,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,1,1,<a_235>,<a_235><b_202>,128,24,1.0,1.0,1,1,0,0,0.03238866396761131,0.0,-119,0
78,2697,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,hit10,1,0,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,1,1,<a_235>,<a_235><b_202>,128,24,1.0,1.0,1,1,0,0,0.03238866396761131,0.0,-119,0
79,3016,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",3d_filament,l2_routing_miss_after_l1_hit,0,0,<a_223>,<a_223><b_201>,247,3,0.9676113360323887,0.6666666666666666,1,0,<a_235>,<a_235><b_221>,128,1,1.0,1.0,1,0,0,0,0.03238866396761131,0.33333333333333337,-119,-2
80,2640,Uxcell a13052700ux0257 6mm to 8mm CNC Stepper Motor Shaft Coupling Coupler for Encoder,connector_fitting,l1_routing_miss,0,0,<a_159>,<a_159><b_18>,52,1,0.5192307692307693,1.0,0,0,<a_201>,<a_201><b_207>,17,1,0.7058823529411765,1.0,1,0,1,0,0.18665158371040724,0.0,-35,0
