item_a,item_b,semantic_affinity,mid_affinity,reliability,rule
2110,2849,0.01840953342616558,0.0,0.01840953342616558,semantic_near_multihop_weak
284,1333,0.018408555537462234,0.0,0.018408555537462234,semantic_near_multihop_weak
301,2176,0.018400393426418304,0.0,0.018400393426418304,semantic_near_multihop_weak
636,1805,0.018399594351649284,0.0,0.018399594351649284,semantic_near_multihop_weak
635,2931,0.018391473218798637,0.0,0.018391473218798637,semantic_near_multihop_weak
283,602,0.018391398712992668,0.0,0.018391398712992668,semantic_near_multihop_weak
287,2777,0.018378647044301033,0.0,0.018378647044301033,semantic_near_multihop_weak
1082,1608,0.018363839015364647,0.0,0.018363839015364647,semantic_near_multihop_weak
852,3336,0.018363354727625847,0.0,0.018363354727625847,semantic_near_multihop_weak
263,2176,0.01835922710597515,0.0,0.01835922710597515,semantic_near_multihop_weak
911,1776,0.01835382916033268,0.0,0.01835382916033268,semantic_near_multihop_weak
1157,2453,0.018352722749114037,0.0,0.018352722749114037,semantic_near_multihop_weak
1157,2454,0.018351752310991287,0.0,0.018351752310991287,semantic_near_multihop_weak
1068,2812,0.018349818885326385,0.0,0.018349818885326385,semantic_near_multihop_weak
494,1578,0.018347378820180893,0.0,0.018347378820180893,semantic_near_multihop_weak
323,2868,0.018346622586250305,0.0,0.018346622586250305,semantic_near_multihop_weak
1072,1608,0.018341291695833206,0.0,0.018341291695833206,semantic_near_multihop_weak
1157,2452,0.018338987603783607,0.0,0.018338987603783607,semantic_near_multihop_weak
1154,2453,0.01833445578813553,0.0,0.01833445578813553,semantic_near_multihop_weak
746,1993,0.018331680446863174,0.0,0.018331680446863174,semantic_near_multihop_weak
455,3327,0.0183266568928957,0.0,0.0183266568928957,semantic_near_multihop_weak
1158,2454,0.01832660287618637,0.0,0.01832660287618637,semantic_near_multihop_weak
121,3427,0.018322501331567764,0.0,0.018322501331567764,semantic_near_multihop_weak
1154,2454,0.01831916719675064,0.0,0.01831916719675064,semantic_near_multihop_weak
1154,2452,0.018315743654966354,0.0,0.018315743654966354,semantic_near_multihop_weak
645,3269,0.018313780426979065,0.0,0.018313780426979065,semantic_near_multihop_weak
1072,1389,0.018312722444534302,0.0,0.018312722444534302,semantic_near_multihop_weak
1158,2453,0.018311286345124245,0.0,0.018311286345124245,semantic_near_multihop_weak
455,3328,0.018310684710741043,0.0,0.018310684710741043,semantic_near_multihop_weak
2847,3623,0.0183064267039299,0.0,0.0183064267039299,semantic_near_multihop_weak
641,1133,0.018304985016584396,0.0,0.018304985016584396,semantic_near_multihop_weak
207,2264,0.01830229163169861,0.0,0.01830229163169861,semantic_near_multihop_weak
1158,2452,0.018301554024219513,0.0,0.018301554024219513,semantic_near_multihop_weak
1882,2625,0.018296848982572556,0.0,0.018296848982572556,semantic_near_multihop_weak
962,2435,0.01829548180103302,0.0,0.01829548180103302,semantic_near_multihop_weak
877,1318,0.018293347209692,0.0,0.018293347209692,semantic_near_multihop_weak
1153,2454,0.018291853368282318,0.0,0.018291853368282318,semantic_near_multihop_weak
1153,2453,0.018286438658833504,0.0,0.018286438658833504,semantic_near_multihop_weak
1602,2503,0.01828046515583992,0.0,0.01828046515583992,semantic_near_multihop_weak
1312,1622,0.01827799528837204,0.0,0.01827799528837204,semantic_near_multihop_weak
395,2637,0.018277738243341446,0.0,0.018277738243341446,semantic_near_multihop_weak
1153,2452,0.0182753074914217,0.0,0.0182753074914217,semantic_near_multihop_weak
381,2025,0.01827491633594036,0.0,0.01827491633594036,semantic_near_multihop_weak
231,2257,0.018256576731801033,0.0,0.018256576731801033,semantic_near_multihop_weak
1333,2690,0.01825653202831745,0.0,0.01825653202831745,semantic_near_multihop_weak
1155,2454,0.018256356939673424,0.0,0.018256356939673424,semantic_near_multihop_weak
602,1282,0.018251478672027588,0.0,0.018251478672027588,semantic_near_multihop_weak
1155,2452,0.018247945234179497,0.0,0.018247945234179497,semantic_near_multihop_weak
602,780,0.018246445804834366,0.0,0.018246445804834366,semantic_near_multihop_weak
1155,2453,0.018245350569486618,0.0,0.018245350569486618,semantic_near_multihop_weak
501,2798,0.018244480714201927,0.0,0.018244480714201927,semantic_near_multihop_weak
1156,2454,0.018240828067064285,0.0,0.018240828067064285,semantic_near_multihop_weak
1776,3192,0.01823890022933483,0.0,0.01823890022933483,semantic_near_multihop_weak
1156,2453,0.018231205642223358,0.0,0.018231205642223358,semantic_near_multihop_weak
1156,2452,0.018229901790618896,0.0,0.018229901790618896,semantic_near_multihop_weak
416,798,0.018222225829958916,0.0,0.018222225829958916,semantic_near_multihop_weak
1758,3471,0.01821405068039894,0.0,0.01821405068039894,semantic_near_multihop_weak
501,2517,0.018213758245110512,0.0,0.018213758245110512,semantic_near_multihop_weak
850,2391,0.01820528879761696,0.0,0.01820528879761696,semantic_near_multihop_weak
825,998,0.018205154687166214,0.0,0.018205154687166214,semantic_near_multihop_weak
70,2349,0.01820167526602745,0.0,0.01820167526602745,semantic_near_multihop_weak
580,1567,0.018200509250164032,0.0,0.018200509250164032,semantic_near_multihop_weak
1337,2650,0.018184565007686615,0.0,0.018184565007686615,semantic_near_multihop_weak
2838,3177,0.018182367086410522,0.0,0.018182367086410522,semantic_near_multihop_weak
1714,3425,0.018179230391979218,0.0,0.018179230391979218,semantic_near_multihop_weak
1715,2854,0.01817905530333519,0.0,0.01817905530333519,semantic_near_multihop_weak
219,769,0.01817740872502327,0.0,0.01817740872502327,semantic_near_multihop_weak
1822,2031,0.018177403137087822,0.0,0.018177403137087822,semantic_near_multihop_weak
645,2029,0.018169084563851357,0.0,0.018169084563851357,semantic_near_multihop_weak
2378,2390,0.01816255785524845,0.0,0.01816255785524845,semantic_near_multihop_weak
284,449,0.01816139928996563,0.0,0.01816139928996563,semantic_near_multihop_weak
2179,2264,0.01815692149102688,0.0,0.01815692149102688,semantic_near_multihop_weak
375,2307,0.018154514953494072,0.0,0.018154514953494072,semantic_near_multihop_weak
2110,2307,0.018154116347432137,0.0,0.018154116347432137,semantic_near_multihop_weak
1890,2810,0.018153183162212372,0.0,0.018153183162212372,semantic_near_multihop_weak
2067,3117,0.018146062269806862,0.0,0.018146062269806862,semantic_near_multihop_weak
1814,2558,0.01814257726073265,0.0,0.01814257726073265,semantic_near_multihop_weak
1945,2517,0.018133481964468956,0.0,0.018133481964468956,semantic_near_multihop_weak
280,978,0.018130900338292122,0.0,0.018130900338292122,semantic_near_multihop_weak
449,2798,0.018128573894500732,0.0,0.018128573894500732,semantic_near_multihop_weak
513,2148,0.018122833222150803,0.0,0.018122833222150803,semantic_near_multihop_weak
1966,2309,0.0181227196007967,0.0,0.0181227196007967,semantic_near_multihop_weak
777,1496,0.018120871856808662,0.0,0.018120871856808662,semantic_near_multihop_weak
330,2648,0.018105609342455864,0.0,0.018105609342455864,semantic_near_multihop_weak
1520,3170,0.01810178905725479,0.0,0.01810178905725479,semantic_near_multihop_weak
2690,2798,0.018094753846526146,0.0,0.018094753846526146,semantic_near_multihop_weak
2547,3464,0.018094634637236595,0.0,0.018094634637236595,semantic_near_multihop_weak
1435,2650,0.018093030899763107,0.0,0.018093030899763107,semantic_near_multihop_weak
1991,3219,0.018082862719893456,0.0,0.018082862719893456,semantic_near_multihop_weak
874,1748,0.018081320449709892,0.0,0.018081320449709892,semantic_near_multihop_weak
2307,2849,0.018074417486786842,0.0,0.018074417486786842,semantic_near_multihop_weak
501,2914,0.01807420700788498,0.0,0.01807420700788498,semantic_near_multihop_weak
2458,3137,0.018072443082928658,0.0,0.018072443082928658,semantic_near_multihop_weak
515,2235,0.018066057935357094,0.0,0.018066057935357094,semantic_near_multihop_weak
2123,2495,0.018066007643938065,0.0,0.018066007643938065,semantic_near_multihop_weak
625,1133,0.01805778406560421,0.0,0.01805778406560421,semantic_near_multihop_weak
1337,3251,0.01805592142045498,0.0,0.01805592142045498,semantic_near_multihop_weak
1619,2450,0.018055567517876625,0.0,0.018055567517876625,semantic_near_multihop_weak
653,1342,0.018053341656923294,0.0,0.018053341656923294,semantic_near_multihop_weak
1987,3176,0.01805160567164421,0.0,0.01805160567164421,semantic_near_multihop_weak
1462,3463,0.01804998703300953,0.0,0.01804998703300953,semantic_near_multihop_weak
2018,2026,0.018049582839012146,0.0,0.018049582839012146,semantic_near_multihop_weak
284,2690,0.018048560246825218,0.0,0.018048560246825218,semantic_near_multihop_weak
448,2479,0.018046680837869644,0.0,0.018046680837869644,semantic_near_multihop_weak
2086,2087,0.018039658665657043,0.0,0.018039658665657043,semantic_near_multihop_weak
2067,2790,0.01803911291062832,0.0,0.01803911291062832,semantic_near_multihop_weak
501,1945,0.018037129193544388,0.0,0.018037129193544388,semantic_near_multihop_weak
283,1256,0.018034351989626884,0.0,0.018034351989626884,semantic_near_multihop_weak
2264,2351,0.018034344539046288,0.0,0.018034344539046288,semantic_near_multihop_weak
1241,1635,0.018029261380434036,0.0,0.018029261380434036,semantic_near_multihop_weak
1588,1670,0.018029021099209785,0.0,0.018029021099209785,semantic_near_multihop_weak
625,641,0.01802719011902809,0.0,0.01802719011902809,semantic_near_multihop_weak
1337,2560,0.018020790070295334,0.0,0.018020790070295334,semantic_near_multihop_weak
2680,2913,0.018019715324044228,0.0,0.018019715324044228,semantic_near_multihop_weak
2026,3463,0.018017219379544258,0.0,0.018017219379544258,semantic_near_multihop_weak
1256,1282,0.018015749752521515,0.0,0.018015749752521515,semantic_near_multihop_weak
301,2670,0.018012600019574165,0.0,0.018012600019574165,semantic_near_multihop_weak
3102,3398,0.01801031269133091,0.0,0.01801031269133091,semantic_near_multihop_weak
833,3092,0.01800723187625408,0.0,0.01800723187625408,semantic_near_multihop_weak
1089,1253,0.01800684444606304,0.0,0.01800684444606304,semantic_near_multihop_weak
636,956,0.01800648681819439,0.0,0.01800648681819439,semantic_near_multihop_weak
2840,3177,0.01800495572388172,0.0,0.01800495572388172,semantic_near_multihop_weak
1314,2762,0.018001364544034004,0.0,0.018001364544034004,semantic_near_multihop_weak
1256,3219,0.017999742180109024,0.0,0.017999742180109024,semantic_near_multihop_weak
25,2540,0.01799941062927246,0.0,0.01799941062927246,semantic_near_multihop_weak
1945,2690,0.017998069524765015,0.0,0.017998069524765015,semantic_near_multihop_weak
319,1154,0.01799646206200123,0.0,0.01799646206200123,semantic_near_multihop_weak
319,1153,0.01799437217414379,0.0,0.01799437217414379,semantic_near_multihop_weak
319,1156,0.017992405220866203,0.0,0.017992405220866203,semantic_near_multihop_weak
319,1157,0.01799139566719532,0.0,0.01799139566719532,semantic_near_multihop_weak
2919,3251,0.017991280183196068,0.0,0.017991280183196068,semantic_near_multihop_weak
