l1_code,catalog_item_count,dominant_family,dominant_family_rate,family_counts,sample_titles
<a_163>,114,other,0.877193,other:100; gauge_meter:6; ventilation_fan:6; fastener:1; connector_fitting:1,"4 Pack Caster Wheels Swivel Plate Stem Brake Casters On Red Polyurethane Wheels (4 inch with brake) | Brush Research FLEX-HONE Cylinder Hone, GB Series, Silicon Carbide Abrasive, 3-1/4"" (83 mm) Diameter, 240 Grit Size | RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity) | WEN 73002 500-Pound Capacity Service Cart | Vestil FWD-1824-3R Fiberwood Dolly with 3"" Rubber Casters, 800 lbs Capacity, 23-3/4"" Length x 17-7/8"" Width x 4-11/16"" Height Deck"
<a_20>,113,other,0.725664,other:82; connector_fitting:12; gauge_meter:9; fastener:8; adhesive_epoxy:2,"Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10) | 10pcs Mini Cabinet Drawer Butt Hinge | Applied Magnets 2-pc, 1.5"" Strong NdFeB Neodymium Cup Magnet with Countersunk Hole. | SA180 Adhesive Standoffs, 24 Pack, 0.180"" Height, Offset 0.6x0.6"" Base, Fits 0.125"" PCB Hole | Wall Control ASM-SH-1606 R Deep Pegboard Shelf Assembly for Wall Control Pegboard Only, 6"", Red"
<a_226>,110,other,0.781818,other:86; gauge_meter:15; test_strip:6; fastener:3,Wine Yeast Red Star Premier Classique Formerly Montrachet For Wine Making x10 | 1 X Hydrometer - Triple Scale | Magnum Media DUAL SCALE 0-32% Brix and 1.000-1.130SG Wort Refractometer RSG-100ATC Beer Home Brew | Colgate Cavity Protection Toothpaste with Fluoride - 1 ounce (24 Pack) | Oral-B Deep Sweep Toothbrush
<a_198>,109,other,0.944954,other:103; ventilation_fan:4; connector_fitting:1; fastener:1,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon | CRC 5037 White Lithium Grease - 10 Wt Oz. | Hot Max 27050 Tap Magic Cutting Fluid, 4 oz. | Mist Coolant Lubrication Spray System For 8mm Air Pipe CNC Lathe Milling Drill | Rust Bullet MB24SP Metal Blast Rust Treatment and Rust Remover, 24 oz. Spray Bottle, Clear Liquid"
<a_44>,106,other,0.933962,other:99; connector_fitting:5; ventilation_fan:2,"Dico 541-774-21/2 Nyalox Cup Brush 21/2-Inch Grey 80 Grit | Shop-Vac 9064900 2-1/2-to-1-1/2-Inch Conversion Unit | Shark Navigator Lift-Away Professional NV356E | SharkNinja Rocket DeluxePro Ultra-Light Upright Corded Stick Vacuum, Bordeaux | POR-15 40204 Metal Prep - 1 quart"
<a_85>,104,3d_filament,0.538462,3d_filament:56; other:44; tape:3; adhesive_epoxy:1,"Geeetech I3 Pro C, Dual Extruder,double Head,reprap Pursa I3 3d Printer,two-color Printing, High Resolution | iRobot Roomba 880 Robot Vacuum | XYZprinting da Vinci 1.0 AiO All-in-One 3D Printer (Scan/Edit/Print) | Foreasy 3D Printer Tool 3D Print Removal Tool Enhanced Version Set of 2 | iRobot Roomba 980 Robot Vacuum with Wi-Fi Connectivity, Works with Alexa, Ideal for Pet Hair, Carpets, Hard Floors"
<a_202>,103,other,0.640777,other:66; connector_fitting:21; gauge_meter:5; ventilation_fan:4; fastener:3,"MLCS 9080 Billy Pedal Foot Switch, Deadman Style | Packard C230B 2 Pole 30 Amp Contactor, 120 Voltage Coil | uxcell 5 Pcs Dual Row 4 Position Covered Screw Terminal Strip 600V 25A | Genie 34107R.S Screw Drive Carriage | Uxcell a14092200ux1053 LED Pilot Light Panel Indicator (Pack of 3)"
<a_125>,101,other,0.831683,other:84; gauge_meter:13; fastener:3; tape:1,"T&Uuml;RLEN DIAL INDICATOR 0-1"" AGD SPEC 0.001"" w/LUG BACK | Eclipse Quick Release Woodworking Vise, Gray Cast Iron, 9"" Size | Set of Rubber Magnetic Vise Jaws. Protection for your Projects | Bessey BV-NVJ Multi-Purpose Vise Jaws (Jaws Only) | Olympia Tools 38-644 5-Inch Open End Multi-Purpose Vise"
<a_99>,97,gauge_meter,0.443299,gauge_meter:43; other:41; fastener:12; tape:1,"Stanley TRA708T Sharpshooter 1/2-Inch Leg Length Staples, Steel (1000 Count) | Stanley TRA708SST 1/2-Inch HD Stainless Steel Narrow Crown Staple | BOSTITCH BT1335B-1M 1-3/8-Inch 18-Gauge Brads, 1000 per Box | BOSTITCH BT1309B-1M 1-Inch 18-Gauge Brads, 1000 per Box | PORTER-CABLE (PBN18075-1) 18 Gauge Brad Nails, 3/4-Inch, 1000-Pack"
<a_1>,96,other,0.791667,other:76; gauge_meter:7; connector_fitting:4; 3d_filament:4; tape:3,"Vktech 5pcs 2M Waterproof Digital Temperature Temp Sensor Probe DS18b20 | 100 x 2N2222 NPN TO-92 Plastic-Encapsulate Power Transistors 75V 600mA | Texas Instruments NE555N NE555 NE555P General Purpose Single Bipolar Timer DIP8 50 Pack | SUNKEE 20pcs Photo Light Sensitive Resistor Photoresistor Optoresistor 5mm GM5539 5539 | microtivity IL188 5mm Assorted Clear LED w/Resistors (8 Colors, Pack of 80)"
<a_100>,85,other,0.741176,other:63; connector_fitting:12; 3d_filament:7; fastener:3,"Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs | TEKTRUM EXTERNALLY POWERED SOLDERLESS 1660 TIE-POINTS EXPERIMENT PLUG-IN BREADBOARD WITH ALUMINUM BACK PLATE AND JUMPER WIRES FOR PROTO-TYPING CIRCUIT/ARDUINO | Parts Express Cable TV In-Line Coaxial Surge Protector | Bluecell Pack of 9 PCS AA / AAA Battery Storage Hard Case Box | Uxcell a12041700ux0257 6"" SMA Male to SMA Right Angle Male Connector Jumper Pigtail Cable RG316"
<a_213>,83,other,0.903614,other:75; ventilation_fan:5; adhesive_epoxy:2; tape:1,"SafeTouch Nitrile Exam Gloves, Non Latex, Powder Free, Small, 100/Box | Pratt PRA0017 100% Recycled Corrugated Cardboard Box, 8"" Length x 6"" Width x 6"" Height, Kraft | South Main Hardware 810180, 12'/1"""", Silver Lashing Strap (2 Pack) | Master Lock Strap, 12 ft. Long Lashing Strap, 3060DAT (Pack of 2) | Sparco Folding Platform Truck, 660 lbs, 24-3/4 x 36 x 29-1/2 Inches, Blue (SPR02040)"
<a_106>,78,other,0.961538,other:75; gauge_meter:2; tape:1,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) | UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) | Augbunny 100% Cotton 5- by 7-Inch Muslin Bags with Drawstring, 12-Pack | Polar Ice PI125200CT 125 Count Plastic Jello Shot Cups with Lids, 2-Ounce | Silica Gel Desiccants 2-1/4 x 1 1/2 Inches - 25 Silica Gel Packets of 10 Grams Each by Dry-Packs"
<a_79>,77,other,0.766234,other:59; ventilation_fan:10; gauge_meter:4; fastener:2; tape:1,"Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY) | Rubbermaid Commercial Sanded Wood Handle with TapeRed Tip, 60-Inch Length, Natural (FG636200NAT) | Rubbermaid Commercial FG636400LAC Lacquered-Wood Handle with Threaded Metal Tip, Natural | Georgia-Pacific 53010 Automated Soap and Sanitizer Dispenser, Black (WxDxH) 5.680"" x 5.250"" x 10.750"" (1 Each) | Rust-Oleum 278146 NeverWet 11-Ounce Outdoor Fabric Spray, Clear"
<a_189>,62,other,0.806452,other:50; gauge_meter:10; ventilation_fan:1; tape:1,"Titan Tools 11185 Telescoping Inspection Mirror | LEDMart(tm) 50w LED Flood Light (2) Cool White Lamp Landscape Outdoor Waterproof 90-240v, 120 Degree Beam Angle (2) | Fantronics 7mm Android Endoscope OTG Micro USB Endoscope Waterproof Borescopes Inspection Camera with 6 LED and 3.5M Cable | Solar Eclipse SE001CAM Wall and Pipe Inspection Camera with 2.4"" Color LCD Monitor | General Tools 80560 Telescoping LED Lighted Inspection Mirror, 360 Swivel  for Extra Viewing"
<a_31>,61,other,0.967213,other:59; gauge_meter:1; ventilation_fan:1,"Spectra 360 Electrode Gel - Parker Laboratories - 60g (2oz) Tube - (Pack of 3) | Dynarex 2201 Medical Surgical Face Masks (Pack of 50) | Science Purchase Disposable Luer-Slip Tip 3mL Syringe, Sterile without Needle, 100 Count | First Aid Only Scissors & Metal Forcep Pack | PhysiciansCare by First Aid Only by First Aid Only 90293 First Aid Titanium Non Stick Bandage Shears, 7"" Bent, Blue"
<a_204>,59,other,0.508475,other:30; metadata_placeholder:15; 3d_filament:10; gauge_meter:3; fastener:1,"Ludell 11604 High Grade Steel Splitting Wedge, 4lb | Industrial & Scientific"" /> | Jumbo 51pc Drum Sanding Kit - Fits Dremel - Includes Rubber Drum Mandrels - 1/2, 3/8 & 1/4 | Industrial & Scientific"" /> | Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length"
<a_64>,59,other,0.762712,other:45; gauge_meter:6; connector_fitting:3; ventilation_fan:3; fastener:2,"SUPCO SPP6 Relay/Capacitor Hard Start Kit with 500% Increase Starting Torque | ZING 6063 RecycLockout Mini Lockout Station - Stocked | KNAPE & VOGT 208TI550 Hardware Brackets | NATIONAL MFG CO #N104-349 #10SGL Box Rail Bracket Galvanized | Koch 7640040 Roller Chain Offset Link, 4-Pack, 40"
<a_138>,58,other,0.672414,other:39; gauge_meter:10; metadata_placeholder:7; 3d_filament:2,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | RADEX RD1503+ w/o dosimeter: High accuracy Geiger counter, radiation detector (English) | American Educational Double Burette Clamp with Rubber-Coated Rotating Jaws, 3/8"" - 1-3/8"" Holding Size | Graham Conderser Kit"
<a_244>,50,other,0.48,other:24; tape:11; adhesive_epoxy:8; 3d_filament:3; ventilation_fan:2,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle | System Three 1100K16 T-88 Kit, 1 quart Bottle, Amber | Industrial & Scientific"" /> | GT-5000 (3 strips) Grip Tape for guns, cell phones, cameras, knives, tools - makes anything""Grippy"". | Rothco Duct Tape"
<a_38>,10,other,0.9,other:9; metadata_placeholder:1,"Omron Sprague Rappaport Stethoscope, Black | Science Purchase INSTANT Single Panel Drug Test Kit - Test For THC (marijuana) - 10 pk | Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue | Seek Thermal Compact Imager for iOS-Apple | CloSYS Trial Size Intro Kit TSA Compliant"
