row_id,item_id,item_title,user_id,history_len,baseline_target_sid,hierarchy_target_sid,baseline_rank,hierarchy_rank,baseline_rank_bucket,hierarchy_rank_bucket,baseline_target_l2_fanout,hierarchy_target_l2_fanout,baseline_target_l1_fanout,hierarchy_target_l1_fanout,baseline_collision_group_size,hierarchy_collision_group_size,baseline_fanout_bucket,baseline_pred1_lcp,hierarchy_pred1_lcp,baseline_top1_hit,hierarchy_top1_hit,baseline_best_lcp_top1,hierarchy_best_lcp_top1,baseline_top1_same_l1,baseline_top1_same_l2,hierarchy_top1_same_l1,hierarchy_top1_same_l2,improved_at_1,worsened_at_1,baseline_top3_hit,hierarchy_top3_hit,baseline_best_lcp_top3,hierarchy_best_lcp_top3,baseline_top3_same_l1,baseline_top3_same_l2,hierarchy_top3_same_l1,hierarchy_top3_same_l2,improved_at_3,worsened_at_3,baseline_top5_hit,hierarchy_top5_hit,baseline_best_lcp_top5,hierarchy_best_lcp_top5,baseline_top5_same_l1,baseline_top5_same_l2,hierarchy_top5_same_l1,hierarchy_top5_same_l2,improved_at_5,worsened_at_5,baseline_top10_hit,hierarchy_top10_hit,baseline_best_lcp_top10,hierarchy_best_lcp_top10,baseline_top10_same_l1,baseline_top10_same_l2,hierarchy_top10_same_l1,hierarchy_top10_same_l2,improved_at_10,worsened_at_10,baseline_top20_hit,hierarchy_top20_hit,baseline_best_lcp_top20,hierarchy_best_lcp_top20,baseline_top20_same_l1,baseline_top20_same_l2,hierarchy_top20_same_l1,hierarchy_top20_same_l2,improved_at_20,worsened_at_20,baseline_top50_hit,hierarchy_top50_hit,baseline_best_lcp_top50,hierarchy_best_lcp_top50,baseline_top50_same_l1,baseline_top50_same_l2,hierarchy_top50_same_l1,hierarchy_top50_same_l2,improved_at_50,worsened_at_50
10,2253,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",A5867,5,<a_223><b_82><c_36>,<a_223><b_82><c_36>,999,999,>50,>50,1,1,22,22,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",A6006,4,<a_177><b_238><c_163>,<a_177><b_238><c_163>,13,44,11-20,21-50,10,10,34,34,1,1,l2>=4,2,0,0,0,2,0,1,1,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,2,2,1,1,1,1,0,0,0,0,2,2,1,1,1,1,0,0,1,0,3,2,1,1,1,1,0,1,1,1,3,3,1,1,1,1,0,0
12,59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),A6172,5,<a_63><b_21><c_254>,<a_63><b_21><c_254>,50,999,21-50,>50,4,4,18,18,1,1,l2>=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,1
13,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,A6498,3,<a_111><b_5><c_215>,<a_111><b_5><c_215>,999,999,>50,>50,1,1,21,21,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3340,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",A7420,8,<a_76><b_76><c_122>,<a_76><b_76><c_122>,999,999,>50,>50,9,9,36,36,1,1,l2>=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,352,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,A300,3,<a_254><b_133><c_113>,<a_254><b_133><c_113>,999,999,>50,>50,1,1,32,32,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,516,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",A300,4,<a_254><b_119><c_212>,<a_254><b_119><c_212>,999,999,>50,>50,1,1,32,32,1,1,l2<=2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
17,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",A2094,10,<a_101><b_228><c_95>,<a_101><b_228><c_95>,25,17,21-50,11-20,2,2,16,16,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1,0,1,1,3,3,1,1,1,1,0,0
18,1080,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",A2094,10,<a_251><b_35><c_218>,<a_251><b_35><c_218>,999,999,>50,>50,4,4,19,19,1,1,l2>=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,326,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,A2177,3,<a_135><b_25><c_215>,<a_135><b_25><c_215>,999,999,>50,>50,4,4,26,26,1,1,l2>=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1098,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,A2177,4,<a_135><b_7><c_254>,<a_135><b_7><c_254>,999,999,>50,>50,2,2,26,26,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
21,1305,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",A2571,2,<a_47><b_118><c_3>,<a_47><b_118><c_3>,999,999,>50,>50,3,3,17,17,1,1,l2=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",A2890,4,<a_154><b_37><c_0>,<a_154><b_37><c_0>,11,2,11-20,2-3,2,2,12,12,2,2,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1,0,0,1,0,3,0,0,1,1,1,0,0,1,0,3,0,0,1,1,1,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
23,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",A2890,5,<a_154><b_37><c_0>,<a_154><b_37><c_0>,1,1,1,1,2,2,12,12,2,2,l2<=2,3,3,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
24,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",A2890,6,<a_154><b_37><c_0>,<a_154><b_37><c_0>,1,1,1,1,2,2,12,12,2,2,l2<=2,3,3,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
25,3287,Pomona 1296 BNC (M) Binding Posts,A3799,4,<a_85><b_225><c_84>,<a_85><b_225><c_84>,999,999,>50,>50,1,1,21,21,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2899,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",A4404,7,<a_106><b_113><c_3>,<a_106><b_113><c_3>,999,999,>50,>50,1,1,26,26,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",A4750,3,<a_102><b_122><c_97>,<a_102><b_122><c_97>,999,999,>50,>50,1,1,14,14,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",A4750,4,<a_102><b_122><c_97>,<a_102><b_122><c_97>,1,1,1,1,1,1,14,14,1,1,l2<=2,3,3,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
29,1392,Pomona 4970 Bnc (M) with 20 Awg Leads,A6672,2,<a_101><b_167><c_57>,<a_101><b_167><c_57>,999,999,>50,>50,1,1,16,16,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2175,Pomona 3788 Bnc (F) to Minigrabber Test Clips,A6672,3,<a_149><b_175><c_57>,<a_149><b_175><c_57>,999,999,>50,>50,1,1,15,15,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,A6874,6,<a_196><b_7><c_127>,<a_196><b_7><c_127>,999,999,>50,>50,2,2,32,32,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",A6893,3,<a_22><b_122><c_191>,<a_22><b_122><c_191>,999,9,>50,6-10,1,1,24,24,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1,0,0,1,0,3,0,0,1,1,1,0,0,1,1,3,1,0,1,1,1,0
33,123,"Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",A1105,7,<a_18><b_139><c_248>,<a_18><b_139><c_248>,21,999,21-50,>50,2,2,20,20,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,1
34,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,A1960,10,<a_111><b_5><c_215>,<a_111><b_5><c_215>,999,999,>50,>50,1,1,21,21,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1874,"FastenMaster FMHLGM278-50 HeadLOK Heavy-Duty Flathead Fastener, 2-7/8 Inches, 50-Count",A2846,4,<a_87><b_170><c_54>,<a_87><b_170><c_54>,999,999,>50,>50,2,2,37,37,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
36,1344,Bearing 608ZZ Shielded 8x22x7 Miniature Ball Bearings(Pack of 10),A3436,4,<a_0><b_81><c_21>,<a_0><b_81><c_21>,999,999,>50,>50,3,3,24,24,1,1,l2=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2817,"PHARMEX 1-78G Permanent Paper Label,""FOR RECTAL USE"", 1 9/16"" x 3/8"", Blue (500 per Roll, 2 Rolls per Box)",A3548,4,<a_179><b_226><c_33>,<a_179><b_226><c_33>,999,999,>50,>50,1,1,30,30,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
38,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,A3572,3,<a_196><b_7><c_127>,<a_196><b_7><c_127>,999,999,>50,>50,2,2,32,32,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,725,"Bissell Zing Bagged Canister Vacuum, Maroon, 4122 - Corded",A3757,5,<a_103><b_65><c_156>,<a_103><b_65><c_156>,999,999,>50,>50,5,5,22,22,1,1,l2>=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,2216,SE 526SF 7&rdquo; Self-Locking Sponge Forceps,A4297,4,<a_178><b_171><c_246>,<a_178><b_171><c_246>,999,999,>50,>50,1,1,23,23,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
41,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",A4913,1,<a_154><b_37><c_0>,<a_154><b_37><c_0>,1,1,1,1,2,2,12,12,2,2,l2<=2,3,3,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
42,831,"DEWALT DW8062B5 4-1/2-Inch by 0.045-Inch Metal and Stainless Cutting Wheel, 7/8-Inch Arbor, 5-Pack",A4913,2,<a_53><b_250><c_178>,<a_53><b_250><c_178>,999,999,>50,>50,4,4,16,16,1,1,l2>=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",A4913,3,<a_154><b_37><c_0>,<a_154><b_37><c_0>,1,1,1,1,2,2,12,12,2,2,l2<=2,3,3,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
44,850,"HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25' Length, 0.375"" ID, Black",A4913,4,<a_161><b_179><c_107>,<a_161><b_179><c_107>,999,999,>50,>50,2,2,16,16,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2223,"250ml Narrow Mouth Erlenmeyer Flask with Rubber Stoppers, Karter Scientific 213G20 (Pack of 8)",A6263,1,<a_251><b_214><c_134>,<a_251><b_214><c_134>,999,999,>50,>50,2,2,19,19,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3502,"3M Littmann Cardiology IV Diagnostic Stethoscope, Standard-Finish Chestpiece, Burgundy Tube, Stainless Stem and Headset, 27 inch, 6153",A6290,4,<a_158><b_21><c_113>,<a_158><b_21><c_113>,999,999,>50,>50,4,4,15,15,1,1,l2>=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3337,"Vastar ESD Anti-Static Wrist Strap Components, Blue",A6386,9,<a_85><b_241><c_118>,<a_85><b_241><c_118>,999,999,>50,>50,1,1,21,21,1,1,l2<=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2697,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",A7485,1,<a_112><b_122><c_79>,<a_112><b_122><c_79>,5,27,4-5,21-50,25,25,97,97,1,1,l2>=4,0,2,0,0,0,2,0,0,1,1,0,0,0,0,2,2,1,1,1,1,0,0,1,0,3,2,1,1,1,1,0,1,1,0,3,2,1,1,1,1,0,1,1,0,3,2,1,1,1,1,0,1,1,1,3,3,1,1,1,1,0,0
49,3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",A7485,2,<a_112><b_122><c_213>,<a_112><b_122><c_213>,3,19,2-3,11-20,25,25,97,97,1,1,l2>=4,2,0,0,0,2,0,1,1,0,0,0,0,1,0,3,2,1,1,1,1,0,1,1,0,3,2,1,1,1,1,0,1,1,0,3,2,1,1,1,1,0,1,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
50,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",A7485,3,<a_22><b_122><c_191>,<a_22><b_122><c_191>,7,1,6-10,1,1,1,24,24,1,1,l2<=2,0,3,0,1,0,3,0,0,1,1,1,0,0,1,0,3,0,0,1,1,1,0,0,1,0,3,0,0,1,1,1,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0,1,1,3,3,1,1,1,1,0,0
